Game ID,Year,Region,Round,Game Location,Better Seed,Team - Better Seed,Spread,Over/Under Total,Worse Seed,Team - Worse Seed,Better Seed Ken Pom,Worse Seed Ken Pom,Better Seed and Worse Ken Pom?,Ken Pom Ranking Margin,KP EM Diff,Better Seed KP Expected Margin,Worse Seed KP Expected Marg.,Better Seed Adj Off. Eff Rank,Worse Seed Adjusted Off Eff. Rank,Better Seed Adj. Def Eff. Rank,Worse Seed Adjusted Def. Rank,Futures Better to F4,Futures Worse to F4,Peoples Choice ,PC Worse,Advanced data calculated in R using sports-reference.com/cbb
1,2018,East,1) Round of 64,Pittsburgh,1,Villanova,-25,140,16,Radford,2,170,No,168,31.43,31.41,-0.02,1,202,22,133,0.523809524,0.00069971,0.152982035,9.99E-12,
2,2018,East,1) Round of 64,Pittsburgh,8,Virginia-tech,-2,141.5,9,Alabama,32,51,No,19,2.81,16.63,13.82,39,117,54,13,0.024390244,0.024390244,,,
3,2018,East,1) Round of 64,San Diego_,5,west Virginia,-10,146,12,murray-state,13,59,No,46,9.08,21.77,12.69,14,56,39,82,0.125,0.003322259,,,
4,2018,East,1) Round of 64,San Diego_,4,wichita-state,-12,166.5,13,marshall,20,113,No,93,14.68,20.07,5.39,5,96,107,143,0.111111111,0.003322259,,,
5,2018,East,1) Round of 64,Dallas,6,Florida,-3,140,11,UCLA,23,49,No,26,4.33,18.71,14.38,37,23,25,110,0.0625,0.019715702,,,
6,2018,East,1) Round of 64,Dallas,3,Texas Tech,-11.5,138,14,stephen F. Austin,12,111,No,99,16.32,21.94,5.62,46,176,3,67,0.111111111,0.003322259,,,
7,2018,East,1) Round of 64,Detroit,7,arkansas,1,152,10,butler,37,25,Yes,-12,-2.23,15.63,17.86,19,32,103,48,0.024390244,0.024390244,,,
8,2018,East,1) Round of 64,Detroit,2,purdue,-20.5,145.5,15,cal-state-fullerton,5,153,No,148,25.34,26.66,1.32,2,177,29,134,0.285714286,0.010989011,,,
16,2018,West,1) Round of 64,Nashville,1,Xavier,-25,140,16,north-carolina-central,14,249,No,235,29.34,21.69,-7.65,7,173,59,315,0.2,0.00039992,,,
17,2018,West,1) Round of 64,Nashville,8,Missouri,0,148,9,Florida-state,38,35,Yes,-3,-0.35,15.47,15.82,53,30,47,76,0.047619048,0.024390244,,,
