Game ID,Year,Region,Round,Game Location,Better Seed,Team - Better Seed,Spread,Over/Under Total,Worse Seed,Team - Worse Seed,Better Seed - Score,Worse Seed - Score,Game Winner - Team,Game Winner - Seed,Better Seed vs. Spread,Better Seed vs. Spread (Points),O/U,O/U Margin,Margin of Victory,Total Points Scored,Better Seed Conference,Worse Seed - Conference,Better Seed Ken Pom,Worse Seed Ken Pom,Better Seed and Worse Ken Pom?,Ken Pom Ranking Margin,KP EM Diff,Better Seed KP Expected Margin,Worse Seed KP Expected Marg.,Better Seed Adj Off. Eff Rank,Worse Seed Adjusted Off Eff. Rank,Better Seed Adj. Def Eff. Rank,Worse Seed Adjusted Def. Rank,Futures Better to F4,Futures Worse to F4,
4,2023,West,1) Round of 64,XXXXXX,1,kansas,XXXXXXX,XXXXXXX,16,howard,,,,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX
5,2023,West,1) Round of 64,XXXXXX,8,arkansas,XXXXXXX,XXXXXXX,9,illinois,,,,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX
6,2023,West,1) Round of 64,XXXXXX,5,Saint-Marys-Ca,XXXXXXX,XXXXXXX,12,Virginia-commonwealth,,,,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX
7,2023,West,1) Round of 64,XXXXXX,4,connecticut,XXXXXXX,XXXXXXX,13,iona,,,,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX
8,2023,West,1) Round of 64,XXXXXX,6,texas-christian,XXXXXXX,XXXXXXX,11,arizona-state,,,,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX
9,2023,West,1) Round of 64,XXXXXX,3,gonzaga,XXXXXXX,XXXXXXX,14,Grand-canyon,,,,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX
10,2023,West,1) Round of 64,XXXXXX,7,Northwestern,XXXXXXX,XXXXXXX,10,boise-state,,,,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX
11,2023,West,1) Round of 64,XXXXXX,2,ucla,XXXXXXX,XXXXXXX,15,north-carolina-asheville,,,,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX
12,2023,East,1) Round of 64,XXXXXX,1,purdue,XXXXXXX,XXXXXXX,16,texas-southern,,,,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX
13,2023,East,1) Round of 64,XXXXXX,8,memphis,XXXXXXX,XXXXXXX,9,florida-atlantic,,,,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX,XXXXXXX
