Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jaren Lewis,33,33,1021,22.1,0.522,0.48,0.108,0.357,472,8.9,15.8,12.3,17.8,3.1,2.3,11.6,25,,2.5,2.4,4.9,0.192,,-0.2,1.9,1.8
2,Jaylen Franklin,33,32,1057,17.9,0.573,0.557,0.077,0.528,380,1.7,13.3,7.4,28.1,3.3,0.8,19,17.9,,2.2,2.4,4.5,0.171,,-0.5,1.2,0.7
3,Payten Ricks,33,32,1062,15.8,0.601,0.566,0.685,0.259,343,0.7,10.4,5.4,11,3,0.1,12.3,17.9,,2.1,2.2,4.3,0.162,,1.8,-0.5,1.3
5,Hayden Farquhar,33,5,463,21.9,0.61,0.602,0.509,0.211,199,9.2,14.2,11.6,11.5,2.8,2.1,11.9,22.6,,1.4,1,2.4,0.207,,3,-0.3,2.7
7,Joe Pleasant,33,2,485,15.4,0.597,0.569,0.114,0.634,177,8.5,13.8,11.1,4,1.2,1.2,17.9,20.9,,0.8,0.9,1.7,0.141,,-3.1,-2.3,-5.4
8,Damien Daniels,33,5,484,10.5,0.482,0.44,0.463,0.222,138,3,9.9,6.4,21.4,2.2,0.2,20.1,16.1,,0.4,0.9,1.3,0.107,,-2.9,-1.2,-4.1
9,Trey Lenox,33,8,498,6.4,0.587,0.55,0.6,0.167,76,1.5,8.6,5,7.2,1.7,0.2,22.7,8.8,,0.3,0.9,1.1,0.091,,-2.7,-0.5,-3.2
10,Kolton Kohl,30,5,129,27.4,0.561,0.5,0,0.972,66,20.7,24.5,22.6,7.4,1.8,12,17.3,25.7,,0.4,0.4,0.7,0.231,,-2.7,4.3,1.5
11,Clay Gayman,30,2,153,16.6,0.557,0.542,0.396,0.375,63,11.1,13.2,12.2,10.1,2.7,2.3,23.1,25,,0.1,0.3,0.5,0.122,,-2.5,-0.5,-3
12,Tobias Cameron,23,0,84,9.1,0.516,0.5,0.647,0.176,22,10.1,16.6,13.3,10.3,1.4,0,30.3,16.4,,0,0.2,0.2,0.076,,-3.8,-1.4,-5.3
13,Chase Cobb,16,0,44,13.4,0.758,0.813,0.75,0.5,11,2.8,8.6,5.6,0,2.7,0,23.3,15.3,,0.1,0.1,0.1,0.123,,-1,-3.5,-4.5
14,Paul Hiepler,14,0,26,8.5,0.471,0.417,0.667,0.5,7,4.7,9.7,7.2,6.6,2.3,0,11.9,16.9,,0,0,0.1,0.106,,-2.9,-2.4,-5.2
