Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Enrique Freeman,33,33,954,29,0.664,0.661,0.012,0.584,439,14.3,31,22.8,11,1,4.6,15.7,22,,3.9,2.1,6,0.253,,4,0.7,4.6
2,Xavier Castaneda,33,33,1050,18.8,0.571,0.515,0.593,0.398,428,2.7,10.8,6.9,15.2,1.8,0.4,11.2,22.5,,3.1,1.5,4.6,0.177,,2.9,-0.6,2.3
3,Ali Ali,33,31,1127,15.8,0.569,0.534,0.327,0.381,458,3.8,6.9,5.4,16.3,0.8,0.8,17.9,24.1,,2.3,1.2,3.5,0.124,,1,-2.4,-1.4
4,Greg Tribble,32,25,824,14.4,0.531,0.471,0.153,0.624,249,2,10.7,6.4,17,2.7,0.8,15,17,,1.4,1.4,2.8,0.134,,-1.9,0.8,-1.1
5,Mikal Dawson,33,9,796,13,0.56,0.543,0.832,0.217,197,5.5,11.1,8.3,6.4,2.6,0.3,11.9,13.7,,1.4,1.3,2.6,0.132,,0.5,0.6,1.1
6,Bryan Trimble,23,22,649,11.5,0.506,0.496,0.793,0.093,202,0.2,8.6,4.5,5.4,1.6,0,7.1,21.2,,0.9,0.8,1.7,0.105,,-0.3,-0.9,-1.2
7,Aziz Bandaogo,32,5,389,16.3,0.495,0.487,0,0.756,111,9,23.6,16.5,5.5,1.1,11.7,19.1,18.2,,0.2,0.9,1.2,0.12,,-2.9,2.8,-0.1
8,Garvin Clarke,33,1,469,9.4,0.479,0.448,0.625,0.323,120,4.5,16,10.4,14.3,2.1,0.2,23.5,16.7,,0.1,0.8,0.9,0.079,,-3.3,0,-3.3
9,Michael Wynn,22,0,223,14,0.558,0.557,0.386,0.295,59,6.7,14.4,10.7,9.7,3.9,3.1,19.3,15.1,,0.3,0.5,0.8,0.139,,-3,3.4,0.4
10,K.J. Walton,6,6,117,24.2,0.717,0.72,0,0.48,43,7.5,12.2,9.9,15,4.3,0,18.6,17.4,,0.4,0.2,0.6,0.214,,-1.3,0.8,-0.5
11,Sekou Kalle,6,0,13,62.6,0.712,0.857,0,0.429,8,19.2,36.7,28.1,52.4,4.8,17.5,10.6,39.2,,0.1,0.1,0.1,0.344,,11.9,9.4,21.3
12,Brandon Ford,1,0,0,,1,1,0,0,,,,,0,,,0,,,0,0,0,,,0,0,0
13,Evan Wilson,6,0,14,7.1,0.25,0.25,0.75,0,3,0,0,0,26.6,4.4,0,0,15.4,,0,0,0,0.051,,2.9,1,3.9
