Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Nate Johnson,G,34,33,1020,19.5,0.544,0.322,0.346,482.0,3.8,14.3,9.2,19.4,3.2,1.9,12.4,23.3,2.4,1.8,4.2,0.163,1.0,1.1,2.2,
2.0,Tavari Johnson,G,34,34,840,17.7,0.568,0.395,0.157,435.0,0.5,7.8,4.2,28.2,1.8,1.3,15.8,26.1,1.9,1.0,2.9,0.138,2.1,-1.1,1.0,
3.0,Isaiah Gray,G,34,34,826,16.7,0.601,0.353,0.303,334.0,5.7,15.0,10.4,16.5,2.4,0.3,18.6,19.2,1.6,1.3,2.9,0.141,0.1,0.3,0.4,
4.0,Shammah Scott,G,33,1,804,17.3,0.583,0.532,0.288,314.0,3.2,12.2,7.8,17.9,1.9,1.8,11.1,17.6,2.1,1.1,3.2,0.158,2.4,0.8,3.2,
5.0,James Okonkwo,F,34,27,618,21.0,0.626,0.0,0.711,253.0,16.8,26.8,21.9,4.2,1.7,5.5,18.5,17.9,1.5,1.3,2.8,0.181,-0.8,0.1,-0.7,
6.0,Seth Wilson,G,33,21,618,12.3,0.557,0.836,0.033,193.0,4.0,7.1,5.6,9.3,2.0,0.2,8.4,15.6,1.1,0.7,1.8,0.116,0.3,-1.0,-0.7,
7.0,Amani Lyles,F,33,7,595,22.7,0.633,0.333,0.282,261.0,12.4,19.6,16.1,13.7,1.9,7.1,16.3,19.1,1.6,1.2,2.8,0.189,2.1,1.8,3.9,
8.0,Sharron Young,G,34,0,545,17.5,0.605,0.566,0.184,246.0,3.9,8.8,6.4,18.3,3.5,0.0,16.8,22.3,1.2,0.8,2.0,0.15,1.1,1.1,2.2,
9.0,Bowen Hardman,G,34,3,526,13.1,0.617,0.921,0.09,169.0,0.2,7.1,3.7,1.2,0.6,0.6,4.1,17.5,1.1,0.5,1.5,0.117,1.3,-2.4,-1.1,
10.0,Marvin Musiime-Kamali,F,31,3,258,13.1,0.643,0.0,0.31,73.0,14.3,19.9,17.1,7.8,0.6,1.2,19.9,11.1,0.5,0.4,0.9,0.132,-2.7,-0.3,-3.0,
11.0,Josiah Harris,F,6,6,141,16.9,0.468,0.702,0.383,56.0,6.3,17.4,12.0,12.7,2.0,3.0,1.8,19.0,0.3,0.2,0.6,0.165,3.8,1.2,5.0,
12.0,Evan Wilson,G,9,1,35,10.1,0.442,0.913,0.174,17.0,0.0,3.1,1.6,0.0,1.6,0.0,3.9,35.1,0.0,0.0,0.0,0.043,-8.0,-9.2,-17.2,
,Team Totals,,34,34,6826,,0.583,0.461,0.259,,,,,,,,,,15.3,10.3,25.6,0.15,1.0,0.1,1.1,
