Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Collin Sexton,31,30,924,23.9,0.566,0.496,0.305,0.571,581,4.2,9.6,7,27.3,1.7,0.4,13.6,32.5,,3.1,1.2,4.3,0.185,,6.7,0.3,7.1
2,Donta Hall,32,29,764,27.9,0.694,0.721,0,0.527,317,11.1,20.2,15.9,5.6,1.6,9.7,14.3,19.1,,2.4,1.7,4,0.212,,4.1,6.9,11.1
3,Dazon Ingram,33,31,952,14.4,0.539,0.469,0.29,0.754,345,3.6,17.5,10.8,17,1.7,1.3,19.3,19.8,,1.1,1.6,2.7,0.115,,1.2,3.3,4.5
4,John Petty,34,29,973,10.8,0.54,0.527,0.766,0.144,319,1.4,8.3,5,12.4,1,1,18,20,,0.6,1.1,1.7,0.07,,2.1,0.4,2.6
5,Braxton Key,24,15,610,13.6,0.501,0.464,0.395,0.329,192,6.7,17,12.1,13.9,2.4,1.6,19.7,17.9,,0.4,1.1,1.5,0.098,,1,4.1,5
6,Daniel Giddens,33,18,440,13.4,0.579,0.573,0,0.49,130,7.4,13.7,10.7,3.6,1.7,8.6,22.3,17.3,,0.3,0.9,1.1,0.1,,-2,6.1,4.1
7,Herb Jones,33,11,692,9,0.437,0.424,0.188,0.319,156,4.4,13.6,9.2,11.5,3.5,3.3,24.3,15.1,,-0.4,1.4,1,0.056,,-2.2,6.2,4
8,Avery Johnson,34,0,478,9.1,0.466,0.42,0.464,0.254,142,2.9,5.8,4.4,10.2,1.9,0.2,10.4,18,,0.3,0.6,0.9,0.075,,0.1,0.3,0.4
9,Alex Reese,30,1,349,13.3,0.505,0.491,0.616,0.089,111,7,18.8,13.2,4.5,2.3,1.9,15.2,19.7,,0.2,0.7,0.8,0.096,,0.2,1.6,1.8
10,Galin Smith,31,3,369,8.6,0.546,0.61,0,0.508,78,8.2,10,9.2,1,0.3,6.8,23.9,13,,0,0.5,0.5,0.055,,-2.9,3.6,0.7
11,Riley Norris,9,3,-166,9.7,0.527,0.514,0.541,0.216,42,4.2,10.2,7.4,6.7,1.4,0,10.9,13.8,,0.2,0.2,0.4,0.093,,1.3,0.9,2.2
12,Tyler Barnes,3,0,4,-11.3,0,,,,0,0,0,0,0,0,0,0,11.8,,0,0,0,-0.18,,-11.8,-1,-12.9
13,Landon Fuller,2,0,5,31.7,1.5,1.5,1,0,1,0,0,0,0,0,0,0,10,,0,0,0,0.209,,16.1,-3.6,12.5
14,Lawson Schaffer,13,0,51,2.8,0.4,0.4,0.9,0,12,0,0,0,34.2,4.5,0,44.4,17.6,,-0.1,0.1,0,-0.025,,-6.5,-4.6,-11
