Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1,Mark Sears,G,33,33,1073,19,0.568,0.526,0.494,627,1.5,7.5,4.7,25,1.4,0.2,13.8,26.4,3.4,0.9,4.2,0.158,6,1.4,7.4,
2,Grant Nelson,F,33,31,764.1,18.8,0.596,0.315,0.483,377,6.9,22,15,10.3,0.9,4.4,15.7,20.6,1.8,1.3,3.1,0.146,3.7,4,7.7,
3,Labaron Philon,G,33,25,807,17.8,0.547,0.386,0.266,387,4.3,8.9,6.8,24.2,2.8,1,14.9,21.7,1.8,1,2.8,0.138,4.1,3.8,7.9,
4,Aden Holloway,G,33,0,696,17.7,0.623,0.67,0.179,333,1.2,7.9,4.8,15.5,1.5,0.1,11.4,22.1,2,0.6,2.6,0.149,5.9,2.4,8.3,
5,Clifford Omoruyi,C,33,33,628,21.8,0.736,0.008,0.614,249,11.4,22.9,17.5,7.2,0.7,4.9,13.7,14.2,2.1,1,3.1,0.197,4.9,4.3,9.1,
6,Jarin Stevenson,F,33,21,628,12.1,0.559,0.66,0.431,192,6,12.9,9.7,6.2,1.4,2.9,13.9,14.4,0.9,0.8,1.6,0.103,2,3.6,5.6,
7,Chris Youngblood,G,24,14,601,12.6,0.596,0.698,0.214,209,3.4,5.3,4.5,5.5,1.5,0.9,10.7,16.8,1.1,0.5,1.6,0.107,3.7,2.6,6.3,
8,Mouhamed Dioubate,F,33,0,525,24.3,0.639,0.149,0.617,249,13.8,23.2,18.9,12.2,3.2,3.8,16.1,18.6,1.6,1.1,2.7,0.205,5.7,5.5,11.2,
9,Derrion Reid,F,20,3,301,13,0.499,0.343,0.52,125,7.2,12.6,10.1,8,0.9,1.5,11.8,21.6,0.4,0.3,0.7,0.089,1.3,1.9,3.3,
10,Aiden Sherrell,F,32,0,276,16.9,0.555,0.442,0.481,113,14.1,19.5,17,6.9,1.3,2,12.9,17.7,0.6,0.4,1,0.142,3.1,2.3,5.4,
11,Latrell Wrightsell Jr.,G,8,5,206,16.3,0.702,0.804,0.357,83,2.1,4.6,3.4,12.2,1,0.4,13.2,16.5,0.6,0.1,0.8,0.149,6.6,2.4,9.1,
12,Houston Mallette,G,6,0,47,24,0.792,0.833,0,17,13.8,14.1,14,3.4,3.4,0,0,11.5,0.2,0.1,0.3,0.228,8.6,5.2,13.7,
13,Max Scharnowski,F,8,0,14,7.6,0.5,0,0,2,0,27,14.4,0,0,0,0,6.4,0,0,0,0.067,-0.2,2.7,2.4,
,Team Totals,,33,33,6651,,0.594,0.462,0.401,,,,,,,,,,16.5,7.9,24.4,0.147,4.5,3.1,7.6,
