Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Keon Ellis,32,32,982,19.9,0.61,0.552,0.663,0.378,373,6.2,14.4,10.3,10.5,3.4,2,13.7,17.1,,2.8,1.3,4.1,0.166,,5.6,4,9.6
2,Jaden Shackelford,32,31,1087,16,0.536,0.502,0.625,0.254,476,3.7,12.9,8.3,8,1.3,0.5,11.2,23.8,,2.4,0.8,3.2,0.117,,4.6,0,4.6
3,Charles Bediako,32,29,569,23.9,0.687,0.698,0.008,0.532,210,12.1,14.3,13.2,7.2,2,9.1,15.5,15.1,,1.7,0.8,2.5,0.178,,3.9,4.3,8.2
4,Jahvon Quinerly,32,26,988,14,0.51,0.476,0.441,0.261,463,1.2,9.3,5.2,26.4,1.2,0.5,17.9,25.4,,1.5,0.6,2.1,0.084,,2.3,-0.3,2
5,JD Davison,32,5,816,16,0.557,0.517,0.4,0.395,320,4.7,15.2,10,28.6,1.9,1.5,26.8,18.7,,1.2,0.8,2,0.1,,3.5,1.9,5.4
6,Juwan Gary,28,16,428,18.8,0.566,0.549,0.293,0.383,168,11.3,12.1,11.7,3.5,1.9,3.1,10.3,18.8,,1.1,0.4,1.5,0.14,,2.9,1.3,4.2
7,Noah Gurley,32,13,579,14,0.547,0.534,0.398,0.301,206,8.2,12.2,10.2,5.4,1.3,4.4,17.9,19.5,,0.7,0.5,1.2,0.086,,0.6,1.7,2.3
8,Darius Miles,29,3,497,13.4,0.514,0.468,0.585,0.345,169,6.6,14.2,10.4,8.7,2.1,3.3,16.2,18.3,,0.7,0.6,1.2,0.098,,1.3,2.4,3.7
9,James Rojas,16,3,222,16.2,0.567,0.492,0.441,0.695,87,8.6,10.9,9.7,6.3,3,0.9,15.1,19.2,,0.5,0.2,0.7,0.135,,2,2.7,4.7
10,Tyler Barnes,4,1,11,34,0.588,0.5,0.6,0.4,7,0,9.6,4.8,35.9,5,0,0,24.9,,0.1,0,0.1,0.326,,11.4,6.7,18.1
11,Keon Ambrose-Hylton,11,0,60,6.6,0.443,0.455,0,0.273,14,10.6,5.3,7.9,11,0.9,1.7,24.4,12.6,,0,0,0,0.029,,-2.2,1.6,-0.6
12,Adam Cottrell,2,0,4,9.5,,,,,1,0,0,0,36.3,0,0,,0,,0,0,0,0.085,,3.4,2.9,6.2
13,Delaney Heard,1,0,1,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,-0.005,,-1.8,0.2,-1.6
14,Jusaun Holt,21,0,153,3,0.274,0.24,0.76,0.2,21,6.9,17.2,12.1,5,0.4,1.3,18,10,,-0.1,0.1,0,0,,-2.3,0.7,-1.6
15,Alex Tchikou,3,0,5,-11,0,0,0,0,1,21.1,63.2,42.2,0,0,0,33.3,27.6,,0,0,0,-0.265,,-16.5,-6.5,-23
16,Britton Johnson,7,1,20,2.8,0.218,0.227,0.818,0.091,7,31.7,10.5,21.1,0,2.7,0,14.8,31,,-0.1,0,-0.1,-0.101,,-5.3,-6.7,-12.1
17,Jaden Quinerly,3,0,3,-37.9,0,0,0,1.5,1,35.2,70.3,52.8,48.4,0,0,22.6,67.8,,-0.1,0,-0.1,-0.753,,-42.3,-15.6,-58
