Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jordan Walker,33,33,1044,23.3,0.558,0.51,0.53,0.272,660,0.4,9.6,5,29,2.7,0.1,16.1,33.4,,3.5,1.9,5.4,0.206,,6,-0.3,5.7
2,Quan Jackson,34,33,980,21.4,0.538,0.505,0.17,0.358,400,4.4,18.7,11.5,12.1,4.6,1.7,14.1,21.8,,2,2.6,4.5,0.185,,1.7,3.8,5.5
3,KJ Buffen,34,32,911,19.1,0.572,0.526,0.052,0.414,350,10.6,17.3,14,5.9,2.1,2.9,15.6,18.8,,2.1,1.9,4,0.178,,0.6,0.7,1.2
4,Trey Jemison,33,32,801,19.1,0.629,0.623,0,0.416,256,12.9,21.1,17,5.7,1,7.3,19.6,13.9,,1.8,1.8,3.6,0.18,,0.5,1.8,2.3
5,Michael Ertel,33,11,832,16.7,0.556,0.54,0.556,0.135,307,0.8,5,2.9,10.3,3.1,0,7,19.2,,2.1,1.4,3.5,0.17,,1.7,1.2,2.9
6,Tavin Lovan,32,19,713,17.7,0.506,0.489,0.032,0.311,258,5.7,11.4,8.6,10.1,2.9,1.1,7.9,18.8,,1.5,1.4,2.9,0.16,,1.3,1.4,2.6
7,Josh LeBlanc,21,1,386,19,0.637,0.594,0,0.375,101,10.5,19.7,15.1,1.6,3.1,6.5,15.7,11.2,,0.8,1,1.8,0.187,,1.7,3.1,4.8
8,Justin Brown,30,1,275,15.3,0.566,0.546,0.816,0.171,88,6.5,12.6,9.6,4.1,1.4,0.4,6.8,15.5,,0.7,0.5,1.1,0.167,,3.5,-0.5,3
9,Jamal Johnson,27,3,299,14,0.567,0.552,0.833,0.177,102,1.9,8.6,5.2,5,1.7,2.3,11.9,19.1,,0.6,0.5,1.1,0.142,,1.5,-0.1,1.4
10,Tony Toney,28,1,239,17.6,0.66,0.676,0.333,0.176,68,2.8,9.8,6.3,9.6,3.1,1.9,11.2,12.6,,0.6,0.5,1.1,0.178,,1.4,2.7,4.1
11,Rongie Gordon,21,1,246,12.6,0.48,0.464,0.167,0.19,56,9.6,13.6,11.6,7.4,1.8,6,13.3,10.4,,0.3,0.5,0.8,0.136,,-0.6,2.8,2.2
12,Tyreke Locure,8,1,87,14.6,0.487,0.483,0.567,0.2,32,1.3,11.6,6.4,17.4,5.2,0,19.6,22.7,,0,0.2,0.3,0.116,,-3.6,2.7,-0.9
13,Elijah Tate,10,1,27,43.3,0.646,0.633,0.733,0.067,21,24.9,8.3,16.6,23.4,2.1,4.2,0,27.8,,0.2,0,0.3,0.443,,5.6,0.5,6
14,Jon Coleman,4,0,10,45.8,0.772,0.833,0.5,0.167,7,0,0,0,30,0,0,0,31.4,,0.1,0,0.1,0.368,,4.5,-4,0.5
15,AD Diedhiou,7,1,24,12.7,0.4,0.4,0,0,6,14,9.3,11.7,6.4,2.4,0,0,10.1,,0,0,0.1,0.137,,-4.2,-3.1,-7.2
16,Ryan Donohoo,1,0,1,39.5,,,,,1,0,0,0,100,0,0,,0,,0,0,0,0.397,,22.6,5.9,28.4
