Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Tony Wroblicky,33,33,1055,21.8,0.619,0.586,0,0.466,419,8.6,20.8,15.3,22.5,2.1,6.9,23.4,23.7,,2,2.6,4.6,0.176,,-0.1,5.7,5.6
2,Darius Gardner,33,33,1222,16.9,0.596,0.564,0.264,0.381,411,5,8.6,7,24.9,3.7,0.8,23.3,19.7,,1.9,2.5,4.4,0.143,,1.1,1.8,2.9
3,Jesse Reed,31,31,1095,17.9,0.627,0.604,0.44,0.299,367,2.1,13.8,8.5,11.1,2.2,1.7,14.3,21.4,,2.1,2.1,4.3,0.155,,1.7,0.6,2.4
4,John Schoof,33,33,1208,11.8,0.565,0.535,0.611,0.245,349,2.1,8.4,5.6,12.4,0.9,0.4,14.6,19,,1.5,1.7,3.2,0.105,,0.3,-1.5,-1.3
5,Kyle Kager,33,33,589,14.6,0.579,0.536,0.307,0.416,180,5.1,19.3,12.9,11,1.9,1.2,21.1,20.9,,0.5,1.2,1.7,0.116,,-2.6,0.3,-2.3
6,Marko Vasic,32,0,497,11,0.528,0.533,0.43,0.206,132,5.5,14.7,10.5,17.4,0.9,1.2,18.1,17,,0.4,0.9,1.3,0.102,,-1.8,-0.4,-2.2
7,Charlie Jones,26,2,349,8.6,0.49,0.478,0.413,0.37,66,6.5,11,9,12.4,1.7,2,21.7,11.7,,0.2,0.6,0.8,0.089,,-2.7,1.2,-1.5
8,Austin Carroll,25,0,169,9,0.544,0.526,0.895,0.184,42,1.8,11,6.8,11.1,1.2,0,14.5,16.9,,0.1,0.3,0.4,0.097,,-1,-2.7,-3.7
9,Jalen Rhea,13,0,55,24.3,0.659,0.639,0.833,0.556,25,8.3,6.7,7.4,4.3,0,0,4.2,25.5,,0.2,0.1,0.3,0.217,,6.9,-7.4,-0.5
10,Zach Elcano,16,0,91,5.2,0.791,0.833,0,1,14,5,10.9,8.2,6.5,1.4,1.3,44.2,10.3,,0,0.2,0.2,0.074,,-4.1,0.5,-3.6
11,Yilret Yiljep,13,0,147,5.6,0.521,0.5,0,0.462,41,8.2,16,12.5,21.4,0.4,2.4,37.5,20.4,,-0.1,0.3,0.1,0.035,,-7.2,0.5,-6.7
12,Jordan Borucki,1,0,1,-68.3,,,,,0,0,0,0,0,0,0,100,59,,0,0,0,-1.118,,-60.8,0.8,-60
13,Kade Kager,3,0,2,-15.1,0,,,,0,0,61.8,34,0,0,0,0,28,,0,0,0,-0.327,,-34,-10.7,-44.7
14,Langdon Neal,1,0,1,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.033,,-5.7,0.1,-5.6
15,Justice Montgomery,21,0,145,-4.9,0.24,0.205,0.318,0.682,23,2.1,4.3,3.3,19.3,1.8,0,35.5,18.4,,-0.5,0.2,-0.3,-0.084,,-12,-2.2,-14.2
