Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Matt Rogers,F,34,34,923,25.7,0.647,0.371,0.256,496.0,5.3,21.6,13.4,13.7,1.5,1.8,13.4,31.2,2.8,1.5,4.3,0.187,4.9,-0.9,4.0,
2.0,Elijah Stephens,G,30,27,913,14.7,0.527,0.304,0.312,347.0,2.3,9.4,5.8,26.2,3.3,0.3,18.6,22.6,0.9,1.4,2.3,0.101,-1.6,-0.5,-2.1,
3.0,Lincoln Ball,G,34,19,880,11.2,0.447,0.244,0.362,188.0,8.5,20.6,14.5,13.7,1.9,1.5,13.9,10.9,0.8,1.4,2.2,0.1,-2.3,0.4,-1.9,
4.0,Greg Jones,F,32,32,860,16.8,0.665,0.455,0.515,306.0,4.6,14.4,9.5,7.9,2.0,0.3,15.3,19.0,2.1,1.2,3.3,0.153,0.7,-0.7,0.0,
5.0,Colin Smalls,G,32,31,850,14.1,0.551,0.523,0.378,291.0,1.8,6.6,4.2,10.2,2.0,0.1,6.3,19.9,1.6,1.0,2.6,0.123,-1.2,-1.5,-2.7,
6.0,Matt Mayock,F,34,18,834,11.7,0.548,0.603,0.261,235.0,1.7,10.6,6.1,10.9,1.0,1.8,12.2,17.0,0.9,1.0,1.9,0.091,-0.7,-1.7,-2.4,
7.0,Geoff Sprouse,G,19,8,435,8.5,0.484,0.844,0.033,118.0,1.2,11.4,6.3,14.4,1.7,0.0,13.9,18.4,0.1,0.5,0.6,0.055,-2.3,-1.6,-3.9,
8.0,Wyatt Nausadis,G,34,1,425,8.0,0.435,0.619,0.186,115.0,3.0,8.6,5.8,14.5,3.1,0.0,15.2,19.0,-0.1,0.6,0.5,0.045,-4.8,-0.4,-5.3,
9.0,Eric Michaels,F,28,0,309,11.8,0.493,0.0,0.39,91.0,8.7,19.4,14.1,5.6,0.8,5.7,16.5,19.7,0.0,0.5,0.5,0.069,-5.9,-1.0,-6.9,
10.0,Julen Iturbe,F,25,0,203,11.4,0.532,0.672,0.164,68.0,7.6,14.1,10.9,7.4,2.4,1.7,18.6,22.2,0.1,0.3,0.4,0.074,-4.8,-1.6,-6.4,
11.0,Mason Whittaker,F,23,0,118,9.1,0.446,0.111,0.778,22.0,15.3,16.6,15.9,7.5,3.7,2.0,32.7,8.7,0.1,0.2,0.3,0.101,-6.8,0.2,-6.6,
12.0,Adrian Samuels,G,15,0,105,-0.7,0.238,0.615,0.615,10.0,1.2,17.4,9.3,6.6,1.8,0.0,26.3,12.1,-0.2,0.2,-0.1,-0.036,-10.2,-1.9,-12.2,
13.0,Alex Daniels,G,3,0,23,-0.1,0.288,0.5,0.333,4.0,0.0,0.0,0.0,8.0,5.4,0.0,12.6,19.3,-0.1,0.0,0.0,-0.036,-11.9,-7.6,-19.5,
14.0,Noah Jones,F,7,0,16,3.1,0.333,0.0,0.0,2.0,0.0,16.3,8.1,11.9,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.032,-7.0,-2.0,-9.0,
15.0,Adam Holod,G,3,0,7,15.0,0.5,0.667,0.0,2.0,0.0,37.3,18.5,0.0,0.0,0.0,0.0,23.9,0.0,0.0,0.0,0.097,-16.1,-9.2,-25.3,
,Team Totals,,34,34,6901,,0.555,0.449,0.304,,,,,,,,,,8.9,10.0,18.8,0.109,-1.2,-0.9,-2.1,
