,teams,KP,seed,ws.40,aBPM,BPM.R,TS,TOV,StlBlk,OR,PER,depth (PP),LinReg,LinReg rank,KP norm,BPM norm,Rank ->,KP+BPM*2,<- *(SoS-min(SoS))^.15,<- *WS/40,KP SOS,WS/40*PP*BPM*Sos^.15,<- Rank,Rough 4Factors,4F ranks,Best D*SOS,Ranks added,538 PR,Bracket Placement,538 rank,Combox5 Rank
1,villanova,31.41,1,7.698062764,9.165781533,1,6.288597097,-6.125759466,9.915841883,0.500515993,2.124355763,8,19.18827517,7,0.981407035,1,1,2.981407035,4.59528893,35.3748226,10.21,877.1537612,1,25.29383944,9,43.09685433,9,94.92,East,1,19
63,cincinnati,27,2,8.36067187,8.283271123,7,5.607141585,-6.609855587,12.51211401,0.631094333,1.936002715,8,21.07426052,2,0.870603015,0.9296963,5,2.729995616,3.902619571,32.62852167,3.15,802.5659947,2,20.97034334,28,43.03512467,9,91.06,South,6,43
15,purdue,26.66,2,7.418879351,8.650756985,4,6.146529908,-6.852774608,10.41112845,0.453580459,1.980830342,8,22.03819145,1,0.862060302,0.95897144,4,2.780003182,4.22194669,31.32211312,8.53,786.7731638,3,22.77068834,21,43.19050082,8,91.08,East,5,34
43,michigan-state,26.34,3,7.554543273,8.321028278,6,6.14756453,-8.335294621,10.70503856,0.568594687,1.970207369,8,18.59279763,10,0.854020101,0.93270416,6,2.719428421,4.045319581,30.56054182,6.44,755.8018781,4,20.64325534,30,41.62594745,20,91.67,Midwest,4,54
11,texas-tech,21.94,3,6.531836543,7.152919994,12,5.677689111,-7.468999149,11.55666197,0.587701581,1.743779552,10,17.58875459,17,0.743467337,0.839648789,13,2.422764915,3.703806476,24.19265849,9.26,720.4304181,5,24.90236775,11,48.94897813,35,87.27,East,16,62
47,duke,29.13,2,7.372611312,8.872528795,3,5.909299413,-7.436906728,11.10952381,0.692334537,2.092535671,7,18.17945647,13,0.924120603,0.976638516,3,2.877397636,4.456615614,32.85689469,10.8,714.8338975,6,27.30526186,4,49.03316424,22,92.59,Midwest,3,29
49,virginia,32.15,1,7.236633872,8.979181307,2,5.565531216,-6.07807296,11.3667428,0.421611033,1.750050949,7,15.87478355,20,1,0.985134809,2,2.970269617,4.565354956,33.03780231,9.88,704.9496144,7,24.95031138,10,48.96942663,29,93.07,South,2,41
27,michigan,23.2,3,6.793974157,7.309186889,10,5.775384941,-5.677581274,9.118988339,0.45729751,1.858326505,8,19.29188582,6,0.775125628,0.852097527,9,2.479320682,3.772581895,25.6308239,8.74,609.874067,8,22.52976711,25,38.06017104,23,88.54,West,12,60
5,west-virginia,21.77,5,6.651598437,7.32965857,9,5.488659173,-6.38913316,13.58703924,0.5951894,1.911182266,8,20.24810998,4,0.73919598,0.853728369,11,2.446652717,3.780170694,25.14417748,10.5,607.4730909,9,29.13845926,1,59.50440694,24,88.58,East,11,36
23,gonzaga,24.73,4,7.69682453,6.99560122,13,6.045284243,-6.739951914,9.118157008,0.539250281,2.009091347,7,14.94829965,23,0.813567839,0.827116255,10,2.467800349,3.913257036,30.11965275,13.94,601.7395552,10,27.75599215,2,43.36639951,43,89.54,West,9,54
