,teams,KP,seed,ws.40,ws.40.R,aBPM,BPM.R,TS,TOV,StlBlk,OR,PER,depth,LinReg,LinReg rank,KP SOS,ws/40*BPM*Depth*sos^.15,<- Rank,norm bpm,norm kp,2*BPM+KP,<- Rank,norm rankx3,Rankx3
1,villanova,31.41,1,7.698062764,7.698062764,9.165781533,1,6.288597097,-6.125759466,9.915841883,0.500515993,2.124355763,8,19.18827517,7,10.21,870.0265128,1,0.981407035,1,2.981407035,1,0.946543107,9
63,cincinnati,27,2,8.36067187,8.36067187,8.283271123,7,5.607141585,-6.609855587,12.51211401,0.631094333,1.936002715,8,21.07426052,2,3.15,792.0038837,2,0.870603015,0.9296963,2.729995616,5,0.916050093,9
15,purdue,26.66,2,7.049029265,7.049029265,8.90162384,3,6.045713624,-6.966202529,10.04016774,0.386746966,1.850554961,7,22.85326956,1,8.53,667.0586865,7,0.862060302,0.978956324,2.81997295,4,0.904187937,12
43,michigan-state,26.34,3,7.554543273,7.554543273,8.321028278,6,6.14756453,-8.335294621,10.70503856,0.568594687,1.970207369,8,18.59279763,10,6.44,748.0840628,3,0.854020101,0.93270416,2.719428421,6,0.8618475,19
47,duke,29.13,2,7.372611312,7.372611312,8.872528795,4,5.909299413,-7.436906728,11.10952381,0.692334537,2.092535671,7,18.17945647,13,10.8,709.2054932,5,0.924120603,0.976638516,2.877397636,3,0.858584632,21
49,virginia,32.15,1,7.236633872,7.236633872,8.979181307,2,5.565531216,-6.07807296,11.3667428,0.421611033,1.750050949,7,15.87478355,20,9.88,699.1173148,6,1,0.985134809,2.970269617,2,0.8314875,28
11,texas-tech,21.94,3,6.531836543,6.531836543,7.152919994,12,5.677689111,-7.468999149,11.55666197,0.587701581,1.743779552,10,17.58875459,17,9.26,714.2589425,4,0.743467337,0.839648789,2.422764915,13,0.801075126,34
5,west-virginia,21.77,5,6.651598437,6.651598437,7.32965857,9,5.488659173,-6.38913316,13.58703924,0.5951894,1.911182266,8,20.24810998,4,10.5,602.6134716,9,0.73919598,0.853728369,2.446652717,11,0.799759979,24
27,michigan,23.2,3,6.793974157,6.793974157,7.309186889,10,5.775384941,-5.677581274,9.118988339,0.45729751,1.858326505,8,19.29188582,6,8.74,604.4897164,8,0.775125628,0.852097527,2.479320682,9,0.790183936,23
31,north-carolina,25.03,2,6.17929975,6.17929975,8.376866738,5,5.58674052,-6.375494502,9.09021079,0.617704537,1.900460879,6,20.78274369,3,1.15,430.5922663,18,0.821105528,0.937152437,2.695410401,7,0.769463655,28
