,teams,seed,ws.40,aBPM,TS,TOV,StlBlk,OR,PER,depth,depth (5+.5 after),KP SoS,KP Overall,538 ranking,People's choice bracket: Average points,normWSp40,normBPM,normDepth,normSoS,normKP,norm538,ws/40*BPM*Depth,normGeoAve,normArthAve,teams,W+P,W-P,QRUVnormJ
1,duke,XXXXXX,7.217962507,9.509094018,5.669270101,-7.602359367,13.43076542,0.592486264,2.00163286,8,6.5,13.13,31.9,96.3,51.96031746,0.619195591,0.929630263,0.285714286,0.969842657,0.907449784,1,557.8317663,0.724601104,0.78530543,duke,609.7920838,505.8714488,0.187167664
33,north-carolina,XXXXXX,6.576603003,8.377043462,5.64481165,-7.369780198,8.942773307,0.579938506,1.806388535,8,6.5,13.55,29.06,93.24,33.73174603,0.488060504,0.832370182,0.285714286,0.988199301,0.835240275,0.882080925,490.6803486,0.662441841,0.718610912,north-carolina,524.4120946,456.9486026,0.06995372
49,virginia,XXXXXX,8.295530946,10.32815667,5.895868566,-6.178634442,10.61754902,0.520391032,1.996440868,8,6.5,10.39,35.54,95.22,23.73650794,0.839519809,1,0.285714286,0.850087413,1,0.958381503,617.7630213,0.76177635,0.822283835,virginia,641.4995292,594.0265134,0.285630753
17,gonzaga,XXXXXX,9.080412387,9.528885651,6.328458455,-6.469441738,11.82946092,0.532730803,2.256720159,8,6.5,3.3,32.71,95.02,21.76190476,1,0.93133066,0.285714286,0.54020979,0.92804475,0.950674374,571.5525622,0.708815439,0.77266231,gonzaga,593.314467,549.7906574,0.428183455
63,tennessee,XXXXXX,6.882909753,7.875662061,5.943679104,-6.899768699,11.32943431,0.541822661,1.954667898,8,6.5,10.65,27.05,91.34,17.27142857,0.550689283,0.789294018,0.285714286,0.861451049,0.784134249,0.808863198,475.8376226,0.638649019,0.680024347,tennessee,493.1090512,458.566194,0.090520213
47,kentucky,XXXXXX,6.769475449,8.008005722,5.763552576,-7.789757748,11.26522226,0.68010862,1.880645911,8,6.5,11.08,27.47,91.24,16.98253968,0.527496023,0.800664319,0.285714286,0.880244755,0.79481312,0.805009634,470.6921014,0.638820036,0.682323689,kentucky,487.6746411,453.7095617,0.075964883
15,michigan-state,XXXXXX,7.325017572,9.674569665,5.976790881,-7.87181998,10.84996529,0.635202908,1.950416658,7,6,13.51,31.31,92.28,15.86507937,0.641084524,0.943847097,0.142857143,0.986451049,0.892448513,0.845086705,553.7078764,0.63296517,0.741962505,michigan-state,569.5729558,537.842797,0.148604775
31,michigan,XXXXXX,7.058300034,8.795814507,5.558962766,-5.834261494,10.06782964,0.367902376,1.802278806,7,6,11.55,29.36,91.04,14.23174603,0.586550324,0.868348881,0.142857143,0.900786713,0.84286804,0.797302505,461.8838491,0.59427076,0.689785601,michigan,476.1155951,447.6521031,0.079101034
27,texas-tech,XXXXXX,7.407431452,8.167297228,5.844676772,-7.75555033,12.57838148,0.50071432,1.768186387,8,6.5,8.29,26.72,89.65,7.385714286,0.657935216,0.814349842,0.285714286,0.758304196,0.775743707,0.743737958,476.0440461,0.637261912,0.672630867,texas-tech,483.4297604,468.6583318,0.064713095
23,florida-state,XXXXXX,5.425540346,6.229253897,5.520810484,-8.152700425,10.93543561,0.570830754,1.566411014,11,8,10.6,22.46,88.44,6.442857143,0.252709347,0.647842923,0.714285714,0.859265734,0.667429443,0.697109827,430.0969727,0.600204861,0.639773831,florida-state,436.5398298,423.6541156,0.006137913
43,houston,XXXXXX,7.21229556,6.605860686,5.550615447,-7.118596922,11.36218198,0.627563393,1.787975584,10,7.5,3.13,22.42,87.89,6.301587302,0.618036903,0.680199081,0.571428571,0.53277972,0.666412408,0.675915222,400.1587977,0.621535441,0.624128651,houston,406.460385,393.8572104,0.042032429
59,purdue,XXXXXX,6.093208875,7.630196378,5.643645833,-6.80372482,11.10826189,0.636297373,1.822805407,10,7.5,12.97,26,89.04,5.99047619,0.389223689,0.768204843,0.571428571,0.96284965,0.757437071,0.720231214,513.5809488,0.669117731,0.69489584,purdue,519.571425,507.5904726,0.039832633
11,louisiana-state,XXXXXX,5.879076016,6.14588828,5.646750199,-7.621957751,12.6008237,0.69859498,1.880288308,8,6.5,9.59,21.06,86.37,5.663492063,0.345441176,0.640680569,0.285714286,0.815122378,0.631833206,0.61734104,349.863325,0.521454401,0.556022109,louisiana-state,355.5268171,344.1998329,0.024247538
57,villanova,XXXXXX,6.020577606,5.950534908,5.801390306,-6.775802855,8.603558551,0.549606619,1.782248499,7,6,8,18.57,86.96,5.065079365,0.374373191,0.623896792,0.142857143,0.745629371,0.568522756,0.640077071,316.9831644,0.456531166,0.515892721,villanova,322.0482438,311.918085,0.018556077
39,kansas,XXXXXX,4.843992413,5.993600841,5.43420412,-8.071398653,10.2789126,0.546195729,1.547088613,9,7,13.82,20.65,86.3,5.011111111,0.133803588,0.6275968,0.428571429,1,0.621408594,0.614643545,364.6197652,0.489435401,0.571003993,kansas,369.6308763,359.6086541,0.002188982
7,virginia-tech,XXXXXX,6.90108523,7.38138964,5.971530832,-7.72838431,9.645335645,0.508143052,1.834964933,8,6.5,8.52,24.38,89.26,4.723809524,0.554405518,0.746828622,0.285714286,0.768356643,0.71624714,0.728709056,440.4432891,0.601672361,0.633376877,virginia-tech,445.1670986,435.7194796,0.054449667
37,auburn,XXXXXX,6.44846489,6.987329449,5.730058759,-7.374830322,14.52,0.595662341,1.879945116,10,7.5,10.93,23.39,89.02,4.458730159,0.461860842,0.712972956,0.571428571,0.873688811,0.691075515,0.719460501,470.6016857,0.658778218,0.671747866,auburn,475.0604159,466.1429555,0.045951776
55,kansas-state,XXXXXX,5.415437831,5.920336461,5.197715674,-7.304995744,10.70063091,0.363404204,1.448853614,6,5.5,10,20.18,86.65,3.928571429,0.250643744,0.621302293,0,0.833041958,0.609458429,0.628131021,263.3540684,0,0.490429574,kansas-state,267.2826398,259.425497,0.000331406
41,iowa-state,XXXXXX,6.10560065,6.867104291,5.852132941,-6.8985666,10.89052094,0.47849982,1.925448598,7,6,10.3,21.8,86.12,3.226984127,0.391757364,0.702643816,0.142857143,0.846153846,0.65064836,0.607707129,376.0753598,0.485874448,0.556961276,iowa-state,379.3023439,372.8483757,0.033708283
53,wisconsin,XXXXXX,5.848266619,6.94764241,5.383380865,-6.146312495,9.127926526,0.403563632,1.613107331,8,6.5,13.49,23.61,86.54,3.134920635,0.339141755,0.709563245,0.285714286,0.985576923,0.696669209,0.6238921,387.9519173,0.55571889,0.606759586,wisconsin,391.0868379,384.8169967,0.011545009
25,buffalo,XXXXXX,6.886135482,5.296478663,5.675837201,-6.848178888,9.983868066,0.549753805,1.822315727,9,7,2.79,20.33,85.74,3.106349206,0.551348829,0.567703574,0.428571429,0.51791958,0.613272311,0.593063584,304.9109,0.541707324,0.545313218,buffalo,308.0172492,301.8045508,0.02776456
9,maryland,XXXXXX,5.577727414,6.194496859,5.626517056,-8.167855198,9.443192869,0.583357974,1.679328022,8,6.5,11.02,19.93,84.82,2.584126984,0.283826161,0.644856774,0.285714286,0.877622378,0.603101958,0.55761079,355.2823147,0.498975865,0.542122058,maryland,357.8664417,352.6981877,0.009395078
