"","teams","seed","ws.40","aBPM","TS","TOV","StlBlk","OR","PER","depth"
"1","duke","XXXXXX",7.21796250683468,9.50909401800792,5.66927010148322,-7.60235936667022,13.4307654157712,0.592486263845711,2.00163285961505,8
"2","north-dakota-state","XXXXXXX",4.18958172200593,-1.09942171466515,5.87855723542117,-7.03663723334936,6.86005634684614,0.356377393749612,1.6187504909722,10
"3","virginia-commonwealth","XXXXXX",6.21812080024147,4.66372247979516,5.39549486461251,-8.56088177828302,11.9831207065751,0.53158774927288,1.54038075837817,10
"4","central-florida","XXXXXXX",5.77186660530756,4.54093388556527,5.58256669733211,-7.54022681102107,10.2232326530612,0.477736462647645,1.63668955361252,9
"5","mississippi-state","XXXXXX",5.74360085299394,6.38079748163694,5.7767119684349,-8.18109311278639,12.9760966415353,0.667851944623092,1.87642656466845,7
"6","liberty","XXXXXXX",7.05525113224781,2.21089942357474,6.04369958847737,-7.48053315153835,9.10443675740713,0.423873238738158,1.80557793552657,9
"7","virginia-tech","XXXXXX",6.90108523027423,7.38138963992439,5.97153083225528,-7.72838430961965,9.64533564450047,0.508143051646707,1.83496493301055,8
"8","saint-louis","XXXXXXX",4.76430139615613,2.28649556471741,4.97132572431958,-7.86974760825217,11.3430530973451,0.615685577203167,1.49609502346669,8
"9","maryland","XXXXXX",5.57772741410413,6.19449685860617,5.6265170556553,-8.16785519797679,9.44319286871961,0.583357973749145,1.67932802164762,8
"10","belmont","XXXXXXX",7.01509553455524,3.45556521193611,6.12848270440252,-6.86136109226126,9.36689413823272,0.447493837294034,2.02650010068276,8
"11","louisiana-state","XXXXXX",5.87907601614003,6.1458882798192,5.64675019888624,-7.6219577511416,12.6008236971329,0.698594980278069,1.88028830767211,8
"12","yale","XXXXXXX",6.09464849599639,2.85652236346355,6.02762656758012,-7.71101452085518,9.88896672504378,0.449610716410358,1.89883686740562,7
"13","louisville","XXXXXX",5.41462746993178,6.5112224689715,5.58399494310999,-7.7026967218485,7.00945904645477,0.478728257662905,1.55128784695405,9
"14","minnesota","XXXXXXX",4.4285428132363,4.72309391967534,5.30893741557857,-7.15124672619047,8.43635479163289,0.503449278213209,1.55607388142311,8
"15","michigan-state","XXXXXX",7.32501757216493,9.67456966508256,5.97679088119246,-7.87181997994729,10.8499652898299,0.635202907712386,1.95041665792239,7
"16","bradley","XXXXXXX",4.53134254864594,0.177114159820873,5.43589394650399,-8.16331608874474,9.10851332177203,0.48737096992243,1.44014239909668,9
"17","gonzaga","XXXXXX",9.08041238697189,9.52888565133509,6.3284584548105,-6.46944173849759,11.8294609208586,0.53273080266441,2.25672015885066,8
"18","fairleigh-dickinson","XXXXXXX",5.18733070481791,-1.31125950303022,5.86002464065708,-8.01745444576957,10.7119273179065,0.497141529977663,1.73886056852237,7
"19","syracuse","XXXXXX",4.79838633586364,5.17273780539275,5.34083928571429,-7.72366525699292,14.0401688411358,0.499512991114262,1.55038322479705,9
"20","baylor","XXXXXXX",4.64253105889763,3.93635691227207,5.27613202933985,-8.51119295358304,9.66948661095003,0.653575314720824,1.50640540074069,9
"21","marquette","XXXXXX",6.00781510089216,5.71096141947588,5.82862657456319,-8.26635419133266,8.29702304737516,0.475560146099036,1.66183961040257,8
"22","murray-state","XXXXXXX",7.25693165994582,3.18294194453833,5.95448586644818,-7.61840871095352,10.8748754937318,0.546370173823629,1.92925932723491,9
"23","florida-state","XXXXXX",5.42554034592398,6.22925389684065,5.52081048387097,-8.1527004253681,10.9354356116163,0.570830753993603,1.56641101446172,11
"24","vermont","XXXXXXX",6.66710464509288,2.52591341130569,5.7493587994543,-7.4171230691766,10.1794112699748,0.456190050069071,1.78590415886167,8
"25","buffalo","XXXXXX",6.88613548194569,5.29647866308565,5.67583720099964,-6.84817888755054,9.98386806596702,0.549753804834378,1.82231572664876,9
"26","arizona-state","XXXXXXX",4.97105213013962,3.70106341046483,5.47161477791615,-7.73884246383522,8.9928231184503,0.52948681239047,1.55435997498248,8
"27","texas-tech","XXXXXX",7.40743145218642,8.16729722753396,5.84467677218012,-7.75555033045468,12.5783814839133,0.500714319578994,1.76818638683882,8
"28","northern-kentucky","XXXXXXX",6.360385966161,2.18786827026997,5.80054865839007,-7.55476948216588,10.4185822544995,0.519841462797889,1.8092031182979,8
"29","nevada","XXXXXX",7.05553638446723,5.85386977489514,5.83746348962337,-6.4186742983116,9.69688613477924,0.457949990864869,1.84223492893629,8
"30","florida","XXXXXXX",5.36347143241228,5.98078699734692,5.42346452866861,-7.41977772436947,11.0870518906531,0.534311207381968,1.60975617489055,8
"31","michigan","XXXXXX",7.05830003389327,8.79581450675369,5.55896276595745,-5.83426149357748,10.0678296401069,0.36790237559883,1.80227880610104,7
"32","montana","XXXXXXX",5.74274829871617,0.843968862596577,5.91774308652988,-7.67875082467486,8.92172963895886,0.362829158369585,1.70539397906636,7
"33","north-carolina","XXXXXX",6.57660300333375,8.37704346150366,5.64481165048544,-7.36978019830581,8.9427733065057,0.57993850574703,1.80638853541436,8
"34","iona","XXXXXXX",4.4099167326015,-1.21056751147076,5.75415662650602,-7.59908692437193,8.8433164983165,0.440177017538239,1.64158054989105,8
"35","utah-state","XXXXXX",6.95073511886749,5.1221142989521,5.90003330557868,-7.41321036999939,10.220277324633,0.557062884667962,1.84713042135295,8
"36","washington","XXXXXXX",5.21795539589882,4.27434515791049,5.56620346320346,-8.67790745050155,14.5338326524436,0.499651249812902,1.61434066756474,8
"37","auburn","XXXXXX",6.4484648896894,6.98732944917833,5.730058758722,-7.37483032219321,14.52,0.595662341474685,1.87994511630294,10
"38","new-mexico-state","XXXXXXX",7.06150759494953,3.96294377747669,5.64986739469579,-7.54401421950164,8.22972284644195,0.725803937658283,1.80532180854722,13
"39","kansas","XXXXXX",4.84399241286263,5.99360084104378,5.43420411985019,-8.07139865292845,10.278912601626,0.546195728660943,1.54708861308676,9
"40","northeastern","XXXXXXX",5.2518708564653,1.89652161815002,6.08147501015847,-7.39901932671495,7.88780487804878,0.391054551529544,1.75648274617973,10
"41","iowa-state","XXXXXX",6.10560065018432,6.86710429072527,5.85213294068153,-6.89856660022118,10.8905209363666,0.478499820261547,1.92544859815171,7
"42","ohio-state","XXXXXXX",4.62880222121692,5.32089726060282,5.45940057088487,-8.05338144930091,8.03502843216897,0.468154265976661,1.4781741414998,8
"43","houston","XXXXXX",7.21229556005708,6.60586068612969,5.5506154465004,-7.11859692223506,11.3621819814427,0.627563393156542,1.78797558432129,10
"44","georgia-state","XXXXXXX",5.00812445340654,1.43861307327226,5.74457845905607,-7.16325566623258,12.3491767629699,0.395389988912283,1.71802705302033,8
"45","wofford","XXXXXX",7.94030045629275,5.19901713553695,6.06717505634861,-6.89427405517438,9.48926897844424,0.622402683130834,2.02996135887301,10
"46","seton-hall","XXXXXXX",4.45080678056696,4.0635935781884,5.40215179316097,-7.5682722582053,10.4161602418745,0.513983520807924,1.54880536049365,10
"47","kentucky","XXXXXX",6.76947544867354,8.00800572156538,5.7635525764558,-7.78975774800878,11.265222257755,0.680108620342847,1.88064591109224,8
"48","abilene-christian","XXXXXXX",6.39175542406312,-0.194990138067061,5.64960224089636,-7.67587558500392,10.0569230769231,0.438033530571992,1.65960355029586,7
"49","virginia","XXXXXX",8.29553094647624,10.3281566740185,5.89586856617647,-6.17863444152788,10.6175490196078,0.520391032184134,1.99644086781172,8
"50","gardner-webb","XXXXXXX",5.53084474986934,-0.809498757506988,5.9320145631068,-7.44525908866867,8.84004002463054,0.352310102541949,1.74634180815554,8
"51","mississippi","XXXXXX",5.24745981312318,4.79438167603838,5.72466608846487,-7.89840009059293,10.2598146040007,0.47549823365873,1.6761754008236,8
"52","oklahoma","XXXXXXX",4.54274247372431,5.00096191974052,5.30696339810212,-7.57106884992073,8.26149834044571,0.423879490481049,1.47071740767308,9
"53","wisconsin","XXXXXX",5.84826661889655,6.94764240984835,5.38338086476541,-6.14631249496325,9.12792652552926,0.403563631530589,1.61310733059426,8
"54","oregon","XXXXXXX",5.49210351347075,4.4770315314538,5.44792933810376,-7.75085893827538,12.462730571515,0.502043188833859,1.59059392643215,9
"55","kansas-state","XXXXXX",5.4154378308724,5.92033646088623,5.19771567436209,-7.30499574378864,10.7006309148265,0.36340420351351,1.44885361404205,6
"56","california-irvine","XXXXXXX",6.41548407294357,2.79513709530145,5.52491495076097,-7.3543380184123,10.0237743892441,0.576736844851426,1.75942161696799,9
"57","villanova","XXXXXX",6.02057760643963,5.95053490805237,5.80139030612245,-6.77580285483855,8.6035585514971,0.549606618721311,1.78224849895846,7
"58","saint-marys-ca","XXXXXXX",6.19062438122178,5.22915193385193,5.7444848750548,-6.86414884613575,8.44022951864839,0.547019909699179,1.81754958385465,8
"59","purdue","XXXXXX",6.09320887528692,7.63019637847488,5.64364583333333,-6.80372481967129,11.1082618862042,0.636297373119102,1.82280540678398,10
"60","old-dominion","XXXXXXX",5.43659744361644,1.94120800110701,5.06169294990723,-7.6582163533614,11.0268477086869,0.583329188869202,1.52108152304217,9
"61","cincinnati","XXXXXX",6.19680781876124,5.24195865863642,5.31038461538462,-6.22547473968972,11.2251816354923,0.627697448842543,1.71084389571195,9
"62","iowa","XXXXXXX",4.97898409590672,5.04108934881127,5.69027822580645,-7.45366377033841,8.90587053916268,0.521997277480281,1.7015869757384,9
"63","tennessee","XXXXXX",6.88290975293967,7.87566206070676,5.94367910447761,-6.89976869887344,11.3294343093669,0.54182266096924,1.95466789806497,8
"64","colgate","XXXXXXX",5.36873507926254,0.63902400238533,5.86205800556218,-8.29960996917978,9.56535793357934,0.513822143815534,1.73754430253938,8
