,teams,WS/40*BPM*Depth*SOS^.15,Formula Adjusted,Formula Adjusted 2.0,SOS,SOS adjusted,ws.40,aBPM,TS,TOV,StlBlk,OR,PER,depth,depth adjusted,538,Kenpom
1,gonzaga,886.6035226257,759.9458765363,497.6467792576,3.38,14.34,9.26308589,9.1705070443,6.4454073034,-6.987611259,9.9372733231,0.4794620253,2.2798228206,7,6,,
63,houston,783.1105706828,636.2773386798,423.2989134536,4.16,15.12,8.788354502,7.4112721879,5.546023823,-6.6947948229,13.0411940937,0.7343068579,1.9751275253,8,6.5,,
33,baylor,761.2853024308,618.544308225,420.8485320276,5.36,16.32,8.1568790757,7.6740638993,5.9776947536,-7.5336610135,11.9726444444,0.6686492428,2.0772665203,8,6.5,,
15,iowa,713.7944955643,555.17349655,402.6407537928,11.36,22.32,6.7264019644,7.4002048134,5.7583713784,-6.0593327632,9.5467563147,0.5462469987,2.0293056044,9,7,,
49,illinois,685.5287029555,556.9920711513,402.4223979812,12.65,23.61,6.9069557045,7.7211961858,5.9029019435,-7.8674447887,7.4252979897,0.5682683853,1.841287818,8,6.5,,
17,michigan,521.2042374052,477.7705509548,345.8944299264,12.45,23.41,6.8388569074,7.91521942,5.9072875092,-7.4924829472,8.7450660669,0.4707466702,1.898560954,6,5.5,,
31,alabama,555.6570429156,432.1777000455,320.0334552358,10.38,21.34,6.1334775108,6.360311331,5.4783142988,-8.0303836315,10.8215760187,0.4988781779,1.6369205668,9,7,,
47,ohio-state,525.481007617,408.7074503688,310.3953432131,13.56,24.52,5.7002450145,6.3385937966,5.7838041002,-6.4876050593,7.8485521407,0.4960257077,1.8286565075,9,7,,
21,colorado,527.9907098577,410.6594410004,294.388422617,6.98,17.94,6.7454173932,5.6402918642,5.7163206181,-6.8689272453,7.818519173,0.5173383021,1.770578498,9,7,,
23,florida-state,499.5350432868,388.5272558898,289.6190698634,9.39,20.35,5.9168454838,5.9696457592,5.7331936508,-8.487351733,11.7657409683,0.6374807776,1.7999726425,9,7,,
51,loyola-il,530.8754737614,431.3363224311,287.0892430861,-0.09,10.87,8.211875428,5.6497065438,6.023784546,-7.8721695868,9.6054274354,0.4731933944,1.8665029161,8,6.5,,
43,arkansas,486.2250414976,378.1750322759,274.2920894215,6.36,17.32,6.3918688747,5.5104208964,5.5173497758,-7.4016073417,11.6980221811,0.5706333295,1.7844230966,9,7,,
44,colgate,443.1176071329,406.1911398718,271.5866879911,1.43,12.39,8.277556044,6.1165274725,5.9954091816,-5.7053636226,9.043032967,0.4413494505,2.1537846154,6,5.5,,
7,virginia,431.8474103859,370.1549231879,271.3773036726,8.49,19.45,6.266484196,6.3076907099,6.0026218257,-6.8040434197,10.4431358885,0.3019062682,1.9134583863,7,6,,
29,connecticut,447.1213082819,363.2860629791,269.1377369996,9.21,20.17,6.0539348383,5.8829038931,5.2937281009,-6.7192610541,11.4680644336,0.5876014432,1.7814421743,8,6.5,,
5,creighton,446.4094406463,362.7076705251,267.6210492322,8.91,19.87,6.1345888039,5.8093594069,5.8443007519,-6.9756072394,9.8607996939,0.3900023962,1.8218060482,8,6.5,,
