0,teams,sos,sos adj,sos adj2,seed,ws.40,aBPM,TS,TOV,StlBlk,OR,PER,depth,depth adj,BPM*WS/40*SOSa2*deptha
5,gonzaga,4.29,14.59,1.4948867544,1,8.7896666059,8.3861176899,6.2529875519,-7.1423631447,11.0389324103,0.478883221,2.1085680452,8,6.5,716.2341196147
33,arizona,6.97,17.27,1.5331824899,1,7.7475656141,7.4238618835,5.9299344023,-7.6520249987,11.2515736535,0.6546228487,1.9935250669,8,6.5,573.1949476849
37,houston,5.34,15.64,1.5105514159,XXXXXX,7.9026158421,7.0878898636,5.5473392461,-6.9266418172,14.4044850498,0.7428228502,1.9432414631,8,6.5,549.9670876661
13,texas-tech,8.55,18.85,1.5534479388,XXXXXX,6.7016235864,6.3850648309,5.5974772036,-8.7249628929,12.1426378013,0.541249852,1.6514196736,10,7.5,498.5437874949
53,iowa,7.33,17.63,1.5379345262,XXXXXX,6.6906675004,6.3191148594,5.6782841727,-5.5875635096,10.7924659562,0.5725760324,2.0136409486,10,7.5,487.6686159334
43,tennessee,10.42,20.72,1.5756453157,XXXXXX,6.3433980686,6.7380630515,5.3789990557,-7.3690016718,12.6370761629,0.5103425705,1.6554337584,9,7,471.426008574
31,kentucky,8.39,18.69,1.5514629015,XXXXXX,7.0810361245,7.1466192204,5.6485016978,-6.7644157191,9.6462085308,0.6175657613,1.9442706455,7,6,471.075045356
49,kansas,11.38,21.68,1.5863860846,1,6.2656126988,6.742017688,5.7165867306,-7.5975948802,9.3788242731,0.5485210743,1.7934446177,9,7,469.0945262066
27,purdue,8.74,19.04,1.5557866538,XXXXXX,6.3701793713,6.2333770706,6.0043002641,-7.2942400274,8.1087250294,0.6047792626,1.9016687525,10,7.5,463.3256732362
23,ucla,8.78,19.08,1.5562764855,XXXXXX,6.5627921189,6.4353894792,5.4390382138,-5.7764411299,10.1164567183,0.558966252,1.8252809463,9,7,460.0958114678
19,baylor,9.01,19.31,1.559076197,1,6.6121921024,6.807203547,5.4883602771,-7.5439485777,11.9542344045,0.5426201773,1.7430280553,8,6.5,456.1365749413
17,duke,6.13,16.43,1.5217581435,XXXXXX,6.9879276138,6.1753704779,5.8860891279,-6.3503528504,11.1711053356,0.5376920651,2.0312526505,8,6.5,426.8452039225
47,villanova,9.97,20.27,1.5704642779,XXXXXX,6.6253462633,6.831011595,5.7466076174,-6.2919689303,8.7216751186,0.5022522945,1.8334974483,7,6,426.4547107479
63,auburn,8.72,19.02,1.5555414098,XXXXXX,6.2752383159,6.1487065264,5.4426387124,-6.8763372069,16.0951392322,0.5149545917,1.7753513776,9,7,420.1395883781
9,connecticut,7.24,17.54,1.5367543048,XXXXXX,6.3831395925,5.6882584803,5.3502570694,-7.0693654593,12.028858739,0.6833638456,1.8006848736,9,7,390.585524111
57,louisiana-state,8.5,18.8,1.5528291581,XXXXXX,6.227459278,5.9225832044,5.3918785746,-8.7238147506,15.4171787036,0.5894163217,1.6666360188,8,6.5,372.2709101305
25,texas,8.47,18.77,1.552457218,XXXXXX,6.1373638984,5.4117522567,5.4194065591,-7.43182226,10.8412886598,0.5385463053,1.5929480482,9,7,360.9420346867
46,loyola-il,3.02,13.32,1.4746047677,XXXXXXX,6.7132871374,4.6095513138,5.9275671918,-7.9501579367,8.7724212631,0.420971121,1.6953599976,9,7,319.4240050244
39,illinois,9.64,19.94,1.5666023479,XXXXXX,5.8670770544,5.6430328176,5.5968035626,-7.2687125424,7.0214626391,0.5266821989,1.7369691828,7,6,311.2034417658
4,saint-marys-ca,6.48,16.78,1.5265772764,5,6.2037580779,5.0437945319,5.6075292969,-7.5074351505,8.8738193869,0.4002154101,1.6153173157,8,6.5,310.4876928997
30,san-francisco,5.53,15.83,1.5132899129,XXXXXXX,6.3101735608,4.89622233,5.6753363787,-7.528975977,10.8390667575,0.4964913605,1.7184195462,8,6.5,303.9050583461
51,san-diego-state,6.23,16.53,1.5231438737,XXXXXX,5.8158496539,4.8333564237,5.3137546272,-8.4149509114,12.6686617831,0.4737721266,1.4922886778,9,7,299.709812054
