,teams,seed,ws.40,aBPM,TS,TOV,StlBlk,OR,PER,depth,SOSp^0.5,depthp,model D*E*L*M,model upset plus
49,houston,1,8.442306748,7.759450072,5.596585956,-6.295972321,14.66831563,0.684896626,1.987961855,9,3.670149861,7,1682.960446,1682.960446
33,alabama,1,6.690174823,7.209456034,5.636353503,-7.879848442,9.114975148,0.552863531,1.669133209,9,4.341658669,7,1465.864008,1465.864008
23,tennessee,4,7.259708533,6.744758493,5.408949516,-6.937216903,11.91460021,0.7154422,1.688973024,9,4.10487515,7,1406.96593,1989.7503
17,purdue,1,6.775623319,6.621116794,5.693605274,-6.958647795,8.505852341,0.713381601,1.839286223,9,4.216633728,7,1324.172063,1324.172063
63,texas,2,6.285957727,6.597773576,5.658262042,-6.915065175,10.83482896,0.501751037,1.722570731,9,4.421538194,7,1283.631258,1526.503425
7,connecticut,4,6.909011028,6.503331142,5.709909428,-8.112587861,10.89048454,0.688894656,1.804949204,9,4.01248053,7,1262.009814,1784.751395
11,gonzaga,3,7.115840846,6.526935033,6.127932032,-6.160747212,10.02857365,0.540045073,2.050156979,8,4.026164428,6.5,1215.459185,1599.634247
15,ucla,2,6.968191747,6.822800787,5.512839259,-6.477244339,10.8329535,0.519733106,1.765917216,7,4.191658383,6,1195.693628,1421.92737
5,saint-marys-ca,5,6.895845386,6.145082553,5.544286357,-6.340461604,10.23128941,0.535654006,1.752636937,8,3.97743636,6.5,1095.549067,1638.227962
47,arizona,2,6.346221594,6.319327271,5.948892344,-8.014251921,8.222394071,0.520682509,1.769462708,7,4.171330723,6,1003.718559,1193.629252
1,kansas,1,5.582012963,6.391031866,5.565921788,-7.625697187,10.4889501,0.437571389,1.671861864,7,4.63788745,6,992.7348756,992.7348756
41,creighton,6,5.80821535,5.546978791,5.822562526,-7.289021632,8.240602317,0.457585523,1.709658492,9,4.262628297,7,961.3349224,1504.570463
31,marquette,2,5.997122346,5.52233376,5.876589118,-6.775934872,11.56921157,0.434002515,1.835803028,9,4.071854614,7,943.9649371,1122.56982
37,san-diego-state,5,6.049742982,5.328668471,5.487734205,-6.999857286,11.0287667,0.56450922,1.668900214,9,4.135214626,7,933.1505593,1395.385551
43,baylor,3,5.526111467,5.728071857,5.747485139,-7.862875435,8.746499735,0.553877728,1.688799735,8,4.453088816,6.5,916.2264226,1205.821785
9,texas-christian,6,5.575013879,5.293458378,5.387805643,-7.011798289,12.34724662,0.479444176,1.669992383,9,4.2,7,867.6264555,1357.908787
52,auburn,9,5.439867893,5.305389835,5.44572026,-7.493658441,13.0601163,0.556729725,1.683432483,9,4.239103679,7,856.4021177,1483.331979
35,maryland,8,5.884237076,5.481320151,5.552569632,-6.684402228,9.167511557,0.547400521,1.692054105,8,4.076763422,6.5,854.6812913,1437.396868
21,duke,5,5.966654332,5.025050978,5.582619647,-7.541590738,10.03595353,0.62131619,1.704475982,9,3.966106403,7,832.4032203,1244.733141
57,iowa-state,6,5.27882614,5.047834526,5.324391179,-8.430400828,12.02875261,0.555555925,1.486407362,9,4.417012565,7,823.889832,1289.457272
25,kentucky,6,5.964426348,5.554965831,5.541105081,-6.258540109,9.304251733,0.689597736,1.823705575,7,4.112177039,6,817.4724517,1279.413529
55,indiana,4,5.473996174,5.418455903,5.737148031,-7.028235058,10.49717391,0.505571361,1.73557338,8,4.215447782,6.5,812.7128068,1149.349474
27,kansas-state,3,5.369727393,4.999565463,5.601366512,-8.487878204,9.570265652,0.541795212,1.518137824,9,4.303486958,7,808.7290224,1064.34725
3,arkansas,8,5.401555275,4.932526216,5.558404444,-8.018287449,12.6881011,0.533590124,1.649330876,9,4.274342055,7,797.1784327,1340.688973
36,west-virginia,9,5.043945197,5.035616332,5.55176445,-7.74152623,8.759677685,0.522491357,1.56566596,9,4.467661581,7,794.3306147,1375.820983
61,texas-am,7,5.615204643,4.621237211,5.491817804,-7.620257255,9.205316265,0.630430607,1.583893189,10,4.058324778,7.5,789.8268861,1284.713901
46,utah-state,10,6.026923091,4.940890621,6.05534638,-7.523813708,7.781524746,0.480469691,1.742080178,8,3.989987469,6.5,772.2995427,1373.364375
19,memphis,8,5.355558821,4.497858789,5.720948469,-7.993422473,12.37341883,0.506091307,1.644404263,11,3.97617907,8,766.2430212,1288.66202
59,xavier,3,5.727557114,5.615568452,5.874721977,-7.124038872,8.483696818,0.514407558,1.786487449,6,4.208325083,5.5,744.4492972,979.750374
39,virginia,4,5.998848811,5.119127682,5.520107759,-6.071826744,12.69057717,0.405188691,1.791403285,7,3.848376281,6,709.075791,1002.7846
4,illinois,9,5.538921656,4.502826911,5.453209503,-7.795247738,11.37510373,0.55369028,1.608946103,9,4.049691346,7,707.017949,1224.59101
51,iowa,8,5.33473664,4.783578346,5.550041789,-5.587204266,8.947354541,0.550146914,1.829576889,8,4.185689907,6.5,694.2985901,1167.666391
29,michigan-state,7,4.691659338,4.686945674,5.512306959,-7.112624583,7.302817136,0.441507427,1.541499116,9,4.463182721,7,687.0037334,1117.464171
14,boise-state,10,6.072778352,4.795879088,5.607002725,-6.971287711,7.881700216,0.464763529,1.63779686,7,3.90256326,6,681.9567896,1212.709718
62,penn-state,10,5.216702757,4.741061074,5.843401447,-5.947542134,6.437115174,0.320518112,1.707688159,8,4.196427052,6.5,674.6284878,1199.677949
20,florida-atlantic,9,7.01207432,4.428435593,5.795717703,-7.096370331,8.332794208,0.520545015,1.778433952,9,3.059411708,7,665.0170921,1151.843391
42,north-carolina-state,11,5.815840503,4.245774671,5.462660323,-5.42331456,11.66933095,0.551000069,1.818537259,9,3.734969879,7,645.5866979,1175.716856
30,southern-california,10,5.37390062,4.774379784,5.583437946,-7.620395005,11.64191776,0.492505163,1.689500911,7,4.102438299,6,631.5386022,1123.052093
13,northwestern,7,5.421206867,4.508414074,5.141885572,-6.093815462,13.1099949,0.470290668,1.600175081,7,4.138840417,6,606.9455177,987.2433534
53,miami-fl,5,5.509700563,4.157205985,5.890610749,-7.012880643,9.463064643,0.464999566,1.8254576,8,3.721558813,6.5,554.0740162,828.5339048
45,missouri,7,5.02487084,3.667224673,5.857974684,-6.814443804,11.99067903,0.477159593,1.810037312,10,3.996248241,7.5,552.3013979,898.3605088
