,teams,seed,ws.40,aBPM,TS,TOV,StlBlk,OR,PER,depth,depth5,ModelNoSOS,SOS,Model
33,houston,1,8.03415353,9.189297383,5.342343324,-5.483344773,15.26946129,0.580676874,1.924685118,7,6,433.8899004,10.29,404.8685317
1,connecticut,1,8.000734719,7.957793065,6.030297841,-6.131645153,11.34379451,0.653572583,2.068908367,9,7,451.9557286,7.65,365.5242516
49,purdue,1,6.988372509,7.87570153,5.983532357,-7.029925676,8.781641058,0.678394843,1.903257304,9,7,339.604564,11.53,336.7252036
7,auburn,4,7.149957276,7.379905693,5.885611643,-6.352066704,12.8836294,0.565425537,1.901334284,10,7.5,365.2635919,8.03,301.948942
19,arizona,2,7.116295133,7.491193093,5.856595431,-6.768603359,10.30712716,0.613835165,1.876254317,8,6.5,316.6674719,9.64,285.7912747
3,iowa-state,2,7.050392911,7.379617496,5.52308657,-6.636285841,13.63303558,0.539479044,1.74912686,9,7,330.666447,8.74,284.4074104
51,tennessee,2,6.599434397,6.989526472,5.532770186,-5.941270693,12.2225243,0.598755344,1.779935876,8,6.5,254.189639,10.19,235.9904751
17,north-carolina,1,6.526611815,6.905395182,5.629109848,-5.992658151,9.16159975,0.556779323,1.785794128,8,6.5,245.4366018,9.75,222.7773583
39,duke,4,6.956058431,7.242648057,5.880489381,-6.100563757,9.781050228,0.525871354,1.92418291,7,6,271.5275585,7.82,221.7752173
11,brigham-young,6,6.59270908,6.501124196,5.779714172,-6.362536774,7.947834913,0.568416101,1.794226267,9,7,259.8906219,8.41,219.4931159
5,illinois,3,6.456592569,6.742316364,5.816649389,-6.169316434,7.059425019,0.624153607,1.881862827,8,6.5,235.1667773,9.25,207.9171177
53,creighton,3,6.514693179,6.769955124,6.06875624,-6.373697386,6.977127309,0.387598229,1.821441732,7,6,222.508228,9.21,196.3061286
23,alabama,4,5.871900972,6.48540758,6.071014815,-6.976731847,9.779522467,0.593837228,1.871347004,9,7,191.6639455,11.42,189.0458322
21,baylor,3,6.018175572,6.44908315,5.916004852,-7.252482881,9.785727066,0.632773401,1.804248894,8,6.5,190.029101,11.4,187.2543002
57,gonzaga,5,7.568709623,6.163497908,6.029204724,-5.813496305,10.09514644,0.595464435,2.048219247,7,6,291.0058161,3.01,171.7523728
35,marquette,2,5.764410363,6.153758174,5.813065287,-6.280799613,11.42644127,0.471073514,1.7357701,9,7,175.287555,10.98,169.2602392
25,saint-marys-ca,5,7.536840966,5.304359985,5.598908997,-6.060962013,9.607524316,0.638476142,1.751315089,7,6,261.8352678,3.42,159.5924807
46,colorado,10,6.373968589,6.037393273,6.058513572,-7.255513386,7.602853092,0.533387786,1.846094223,6,5.5,178.9495458,7.89,146.7504283
9,san-diego-state,5,5.926233567,5.202782181,5.486140138,-6.583590159,11.2073975,0.563843037,1.663757641,9,7,170.5124258,8.46,144.4094873
32,michigan-state,9,5.602227813,5.823431364,5.505894161,-6.192404032,10.87372726,0.510132546,1.69109217,8,6.5,143.7822512,10.71,137.0096534
37,kentucky,3,5.768506201,5.31197446,6.057877778,-6.206712204,12.2938151,0.493977733,1.909379405,9,7,159.7232245,7.86,130.7578729
64,texas-christian,9,5.752411425,4.776609083,5.573609813,-7.292674476,11.74293028,0.637651949,1.698927717,10,7.5,158.9390929,7.66,128.6186348
28,new-mexico,11,6.239860233,5.095988372,5.483072584,-5.732754877,12.99973549,0.513275888,1.810851341,8,6.5,179.7358774,5.45,126.7379221
61,texas,7,5.616404423,5.607018241,5.736199134,-7.005295591,10.88665571,0.491590477,1.749275498,8,6.5,141.429993,9.39,125.9746193
41,wisconsin,5,5.327854285,5.801011932,5.716797168,-6.19020835,7.358078671,0.536612888,1.714887894,8,6.5,121.1634137,11.69,121.0492701
66,boise-state,10,5.957935639,4.718659784,5.667688966,-7.016013209,7.898981268,0.56891005,1.653094965,8,6.5,151.3883817,7.42,120.7969471
47,nebraska,8,5.788710095,5.133507159,5.706698988,-6.827542287,8.390960313,0.50665959,1.674024765,8,6.5,146.6935578,7.64,118.5709586
30,nevada,10,6.166133009,4.672851339,5.817652063,-6.474823018,9.881675562,0.449202934,1.728247839,8,6.5,165.2595164,4.74,111.0033304
13,washington-state,7,5.830168666,4.723025927,5.571084543,-6.780858035,9.644540368,0.603797976,1.716700185,8,6.5,142.3593361,6.85,109.7702465
29,dayton,7,6.127662159,4.836255731,5.979294813,-6.632376368,9.700477164,0.445541753,1.812436579,7,6,153.1744273,5.1,105.4832844
31,mississippi-state,8,5.335048186,4.813252826,5.501778351,-7.79148753,10.89762733,0.649872917,1.645524542,9,7,116.6030206,9.23,102.9819423
62,colorado-state,10,5.61721059,4.223340492,5.881152597,-6.498831484,9.189841465,0.404691598,1.682229017,9,7,128.2319353,7.37,102.0177761
43,texas-tech,6,5.333446371,5.052602548,5.745882607,-7.105071504,7.390534108,0.497418324,1.615838529,8,6.5,111.4198518,9.73,101.0283631
63,utah-state,8,6.076769147,4.252558258,5.900496512,-6.941373255,10.33009267,0.460395835,1.774683827,8,6.5,150.3601371,4.74,100.9955514
27,clemson,6,5.249347788,4.786434306,5.810974594,-6.386110383,8.37131213,0.488072373,1.69465435,9,7,109.5728728,8.81,94.60531128
15,florida-atlantic,8,5.732069616,4.367060299,5.818639906,-6.741750325,9.133215166,0.547579151,1.778217743,9,7,139.1625903,4.61,92.62211028
48,texas-am,9,5.124534282,4.594354798,5.155236735,-5.676917496,9.904453196,0.762182824,1.683356646,9,7,97.48226548,9.07,85.36011847
45,florida,7,5.209680229,4.679887979,5.500420354,-6.3153777,9.889683782,0.551873004,1.743429855,8,6.5,97.56212275,8.88,84.55690338
55,kansas,4,5.151244074,5.190734318,5.686499436,-7.777607282,10.29913975,0.451720962,1.569499606,6,5.5,84.21882928,11.71,84.21882928
