"","teams","seed","ws.40","aBPM","TS","TOV","StlBlk","OR","PER","depth"
"1","duke 2025",1,8.72501241698826,9.60168899888247,NA,NA,NA,NA,NA,10
"2","american 2025",16,4.38688834840902,-1.93026401961747,NA,NA,NA,NA,NA,10
"3","alabama 2025",2,5.80855494310432,7.47526317756311,NA,NA,NA,NA,NA,11
"4","robert-morris 2025",15,5.32244853936509,0.200153923409458,NA,NA,NA,NA,NA,9
"5","wisconsin 2025",3,5.91963505721267,6.50854925089355,NA,NA,NA,NA,NA,10
"6","montana 2025",14,4.83079506647922,-0.159767313913009,NA,NA,NA,NA,NA,10
"7","arizona 2025",4,5.87474098531908,7.12107747122577,NA,NA,NA,NA,NA,9
"8","akron 2025",13,6.00394907977985,1.09553694506789,NA,NA,NA,NA,NA,11
"9","oregon 2025",5,5.20622568311731,5.48100728305947,NA,NA,NA,NA,NA,10
"10","liberty 2025",12,6.85135347777067,2.75842415575415,NA,NA,NA,NA,NA,9
"11","brigham-young 2025",6,6.02549753489136,6.13164960372928,NA,NA,NA,NA,NA,11
"12","virginia-commonwealth 2025",11,7.27203481505317,5.0732492577141,NA,NA,NA,NA,NA,10
"13","saint-marys-ca 2025",7,7.04113571388626,5.80885470952045,NA,NA,NA,NA,NA,9
"14","vanderbilt 2025",10,4.9540501921401,4.63570460342795,NA,NA,NA,NA,NA,10
"15","mississippi-state 2025",8,5.20823074462827,5.51233390515512,NA,NA,NA,NA,NA,9
"16","baylor 2025",9,5.55471422115352,6.12032314172635,NA,NA,NA,NA,NA,9
"17","florida 2025",1,7.39013838720313,8.41866958867554,NA,NA,NA,NA,NA,10
"18","norfolk-state 2025",16,5.64571193805513,-0.889406497502923,NA,NA,NA,NA,NA,10
"19","st-johns-ny 2025",2,6.7065019833679,7.06282483941767,NA,NA,NA,NA,NA,7
"20","nebraska-omaha 2025",15,4.63736859413538,0.0593388599616333,NA,NA,NA,NA,NA,9
"21","texas-tech 2025",3,6.89396959889984,7.6289478849741,NA,NA,NA,NA,NA,9
"22","north-carolina-wilmington 2025",14,6.05371476307277,0.715125007899549,NA,NA,NA,NA,NA,10
"23","maryland 2025",4,7.0867495320334,7.18056676238518,NA,NA,NA,NA,NA,10
"24","grand-canyon 2025",13,6.10265207293109,1.88826088325927,NA,NA,NA,NA,NA,9
"25","memphis 2025",5,5.34935832932581,3.98818683030701,NA,NA,NA,NA,NA,9
"26","colorado-state 2025",12,5.82341221402091,4.58095307522555,NA,NA,NA,NA,NA,10
"27","missouri 2025",6,6.29652368929955,6.55213309646747,NA,NA,NA,NA,NA,11
"28","drake 2025",11,7.08213415762453,3.38259839140072,NA,NA,NA,NA,NA,10
"29","kansas 2025",7,5.31645635014902,6.58947950500364,NA,NA,NA,NA,NA,10
"30","arkansas 2025",10,4.9585200740625,4.94645528938849,NA,NA,NA,NA,NA,10
"31","connecticut 2025",8,6.13648285121426,5.61399261547298,NA,NA,NA,NA,NA,10
"32","oklahoma 2025",9,4.85959993303388,4.65746663481422,NA,NA,NA,NA,NA,11
"33","auburn 2025",1,7.09716910585837,9.19498095097812,NA,NA,NA,NA,NA,9
"34","alabama-state 2025",16,4.16217126598053,-2.53613846626836,NA,NA,NA,NA,NA,11
"35","michigan-state 2025",2,6.34254054846197,6.96397415109413,NA,NA,NA,NA,NA,11
"36","bryant 2025",15,5.62839058548755,-0.356833213557467,NA,NA,NA,NA,NA,9
"37","iowa-state 2025",3,6.78760621673581,7.38282881312751,NA,NA,NA,NA,NA,8
"38","lipscomb 2025",14,6.87215242372578,2.1756137976677,NA,NA,NA,NA,NA,9
"39","texas-am 2025",4,5.25565493621356,6.23053632893296,NA,NA,NA,NA,NA,11
"40","yale 2025",13,6.69867752192767,2.43640022686891,NA,NA,NA,NA,NA,8
"41","michigan 2025",5,5.30096841580295,6.125288177006,NA,NA,NA,NA,NA,10
"42","california-san-diego 2025",12,7.95878192844412,4.26297130027974,NA,NA,NA,NA,NA,9
"43","mississippi 2025",6,5.06980675071857,5.60254631336541,NA,NA,NA,NA,NA,10
"44","north-carolina 2025",11,5.08497101398374,5.37631309793304,NA,NA,NA,NA,NA,9
