"","teams_d","ScoreDiff","RoundPoints","LevRoundPts","favWin","score_dxLRPts","score_dxRPts","seed_d","ws.40_d","aBPM_d","TS_d","TOV_d","StlBlk_d","OR_d","PER_d","depth_d"
"1","connecticut northwestern 2024",17,2,1.5,1,25.5,34,8,2.65021261334127,3.47441627727061,-5.02901987513603,-0.767516360650419,1.35829891807534,0.189483249865608,0.301728004388306,2
"2","san-diego-state yale 2024",28,2,1.5,1,42,56,8,0.0336386419500334,3.17453145794148,-5.03857203274087,-0.575797825171365,2.28873288696999,0.0982836786237945,-0.0627449171981525,1
"3","illinois duquesne 2024",26,2,1.5,1,39,52,8,1.13541341811357,3.83485291488425,-4.87498684680277,1.10041872725549,-5.20316121513298,0.119176555885651,0.289461890209404,-2
"4","iowa-state washington-state 2024",11,2,1.5,1,16.5,22,5,1.22022424516712,2.65659156923998,-5.0187758861676,0.144572193991364,3.9884952114009,-0.0643189316984304,0.0324266743668495,1
"5","connecticut san-diego-state 2024",30,4,1.75,1,52.5,120,4,2.07450115181691,2.75501088411025,-4.88311035364205,0.451945006190429,0.136397009864023,0.089729546036589,0.405150725673144,0
"6","iowa-state illinois 2024",-3,4,1.75,0,-5.25,-12,1,0.593800342480188,0.637301132236114,-5.26434073215721,-0.466969407589495,6.57361055968172,-0.0846745624816813,-0.132735967744113,1
"7","connecticut illinois 2024",25,8,1.875,1,46.875,200,2,1.5441421500913,1.21547670149707,-5.21361960504962,0.037671280999338,4.28436949489533,0.0294189761683603,0.1870455397628,1
"8","north-carolina michigan-state 2024",16,2,1.5,1,24,32,8,0.924384001408952,1.0819638182359,-4.94298317573546,0.199745881444361,-1.71212750751394,0.0466467766491357,0.0947019579621557,0
"9","alabama grand-canyon 2024",11,2,1.5,1,16.5,22,8,-0.816810073024373,3.2999293054962,-5.10950587320417,0.319001006124227,-2.77597127405484,0.0142517399867979,0.115409192021023,-1
"10","baylor clemson 2024",-8,2,1.5,0,-12,-16,3,0.768827783549294,1.6626488448258,-5.2193741086786,-0.866372498188944,1.41441493547869,0.144701028294403,0.109594543713208,-1
"11","arizona dayton 2024",10,2,1.5,1,15,20,5,0.98863297410641,2.65493736147916,-5.39363527035699,-0.136226990957431,0.606649994274884,0.168293411861953,0.0638177378762329,1
"12","north-carolina alabama 2024",-2,4,1.75,0,-3.5,-8,3,0.654710842506061,0.419987602209205,-5.50810382996633,0.984073696295205,-0.617922717213473,-0.0370579047123443,-0.0855528754655293,-1
"13","arizona clemson 2024",-5,4,1.75,0,-8.75,-20,4,1.8669473454551,2.70475878707585,-5.2253150508094,-0.382492976434252,1.93581502814179,0.125762792262775,0.181599966694296,-1
"14","alabama clemson 2024",7,8,1.875,1,13.125,56,2,0.622553184348924,1.69897327438371,-5.20387311243772,-0.590621464656707,1.40821033683859,0.105764854972746,0.176692653188409,0
