"","teams_d","ScoreDiff","RoundPoints","LevRoundPts","favWin","score_dxLRPts","score_dxRPts","seed_d","ws.40_d","aBPM_d","TS_d","TOV_d","StlBlk_d","OR_d","PER_d","depth_d"
"1","florida-atlantic fairleigh-dickinson 2023",8,2,1.5,1,12,16,6,2.31069790123264,7.54698666914695,-4.9339645754411,-0.292155786645087,-0.806067850300884,-0.0718456882571536,0.106398410468977,-1
"2","tennessee duke 2023",13,2,1.5,1,19.5,26,1,1.29305420168059,1.71970751513228,-5.04172469579983,0.604373835419858,1.87864668086526,0.0941260107386625,-0.0155029580962655,0
"3","kansas-state kentucky 2023",6,2,1.5,1,9,12,3,-0.594698955630578,-0.555400368003655,-4.98096843019906,-2.22933809473667,0.26601391916692,-0.147802524621601,-0.305567751722884,2
"4","marquette michigan-state 2023",-9,2,1.5,0,-13.5,-18,5,1.30546300721593,0.835388086879143,-4.92464804718869,0.336689711001801,4.26639443333053,-0.00750491199643326,0.294303911675975,0
"5","tennessee florida-atlantic 2023",-7,4,1.75,0,-12.25,-28,5,0.247634213220342,2.31632289956527,-5.25482275179395,0.159153428130899,3.58180600308571,0.194897185727578,-0.0894609278148067,0
"6","kansas-state michigan-state 2023",5,4,1.75,1,8.75,20,4,0.678068054247742,0.312619789379784,-4.95217030780656,-1.37525362117523,2.26744851551174,0.10028778417988,-0.0233612926347341,0
"7","kansas-state florida-atlantic 2023",-3,8,1.875,0,-5.625,-24,6,-1.64234692756623,0.571129869704468,-5.23558105214726,-1.39150787340298,1.23747144344479,0.0212501969615111,-0.260296128067141,0
"8","kansas arkansas 2023",-1,2,1.5,0,-1.5,-2,7,0.180457688355371,1.45850564975421,-5.00181226567349,0.39259026165697,-2.1991510024093,-0.0960187350427437,0.0225309882067414,-2
"9","connecticut saint-marys-ca 2023",15,2,1.5,1,22.5,30,1,0.0131656419173547,0.358248588940739,-4.97329541472182,-1.77212625618173,0.65919513205483,0.153240650089436,0.0523122671157395,1
"10","gonzaga texas-christian 2023",3,2,1.5,1,4.5,6,3,1.5408269663201,1.23347665432958,-4.77501243945174,0.851051077034623,-2.31867296855404,0.0606008965708717,0.380164595657215,-1
"11","ucla northwestern 2023",5,2,1.5,1,7.5,10,5,1.5469848794998,2.31438671218602,-4.59060164625047,-0.383428876596988,-2.27704140291855,0.0494424375134992,0.165742135170116,0
"12","connecticut arkansas 2023",23,4,1.75,1,40.25,92,4,1.50745575325691,1.5708049262386,-4.98741350166964,-0.0943004115877351,-1.79761656025369,0.155304532287625,0.155618328138871,0
"13","ucla gonzaga 2023",-3,4,1.75,0,-5.25,-12,1,-0.147649098763831,0.295865753998729,-5.57664810592606,-0.316497127363423,0.804379844574806,-0.0203119675094086,-0.284239762640211,-1
"14","gonzaga connecticut 2023",-28,8,1.875,0,-52.5,-224,1,0.206829817270079,0.023603890374333,-5.09711622456656,1.95184064900378,-0.861910886301246,-0.14884958310937,0.245207774597928,-1
