Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Nick Johnson,38,38,1257,21.5,0.549,0.498,0.357,0.395,573,3,11.1,7.2,17.6,2.1,2,10.2,26.3,,3.6,3.1,6.7,0.212,,5.7,4.6,10.3
2,Aaron Gordon,38,38,1187,20.4,0.503,0.516,0.118,0.471,469,10.4,19.3,14.9,13,1.8,3.4,10.5,23.2,,2.1,3.3,5.4,0.183,,2.8,6.7,9.6
3,T.J. McConnell,38,38,1226,16.4,0.528,0.518,0.357,0.179,376,1.9,10.9,6.5,30.3,3.3,0.7,18.1,15.9,,2,3.2,5.2,0.169,,3.9,5.7,9.6
4,Rondae Hollis-Jefferson,38,6,960,20.3,0.544,0.494,0.04,0.611,357,10.4,15.7,13.1,11,1.8,4.3,12.1,19.9,,2.3,2.6,4.9,0.202,,3.1,7.1,10.2
5,Kaleb Tarczewski,36,35,1020,17.2,0.632,0.584,0,0.616,332,8.9,16.9,13,3.6,0.3,3.6,18.2,17.9,,2,2.4,4.5,0.176,,1.7,4.8,6.5
6,Gabe York,38,12,828,13.2,0.521,0.5,0.67,0.235,242,2.2,9.6,6,13.5,1.4,0.5,7.9,17,,1.5,1.8,3.3,0.159,,4.1,3.2,7.2
7,Brandon Ashley,22,22,609,19.2,0.593,0.553,0.163,0.416,231,8.1,16.1,12.2,7.3,1.4,2.7,14.8,21.6,,1.4,1.6,2.9,0.192,,3.1,5,8
8,Elliott Pitts,24,0,201,9,0.567,0.586,0.8,0.229,40,4.2,9.6,7,5.2,1.2,0,13.4,11.7,,0.2,0.4,0.6,0.127,,2.4,3,5.3
9,Matt Korcheck,22,0,101,15.8,0.678,0.667,0,1,25,11.9,22.5,17.4,3.5,1.2,5.1,25.3,12.4,,0.2,0.3,0.5,0.181,,0.4,6.4,6.8
10,Jordin Mayes,34,1,195,7.2,0.415,0.367,0.333,0.378,49,3.1,7,5.1,16.2,2.9,0,19.7,17.9,,-0.1,0.5,0.4,0.081,,-1.7,3.7,2
11,Eric Conklin,7,0,17,12.4,1,1,0,0,2,0,6.7,3.4,0,0,0,0,6.2,,0,0,0.1,0.156,,2.8,1.1,3.9
12,Jacob Hazzard,13,0,29,23.9,0.588,0.588,0.529,0,16,0,11.8,6.1,27.9,4.3,0,19,38.2,,0,0.1,0.1,0.157,,6.2,2.7,8.9
13,Trey Mason,10,0,22,10.2,0.833,0.833,0.333,0,5,0,15.5,8,24.5,0,0,40,12,,0,0,0.1,0.129,,0.3,1.9,2.2
14,Chris Johnson,4,0,6,33.4,1.026,1.5,1,2,2,0,0,0,0,0,0,0,17.1,,0,0,0,0.253,,17,-2.5,14.5
15,Drew Mellon,6,0,12,6.2,0.256,0,0,2,2,10.1,0,4.9,12.9,0,0,0,8.6,,0,0,0,0.083,,-0.9,2.2,1.3
16,Zach Peters,11,0,31,-13.5,0,0,1,0,0,0,14.7,7.6,0,0,0,25,13.6,,-0.2,0.1,-0.1,-0.116,,-11.6,0.6,-11.1
