Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Caleb Love,G,34,34,1158,16.6,0.519,0.543,0.231,532.0,1.1,12.0,6.9,18.5,2.0,1.0,11.0,25.7,2.3,1.5,3.8,0.13,4.6,2.2,6.8,
2.0,Jaden Bradley,G,34,34,1158,14.9,0.553,0.228,0.406,410.0,1.9,8.6,5.5,18.2,3.0,0.3,15.0,17.9,2.0,1.6,3.6,0.123,2.3,4.0,6.3,
3.0,KJ Lewis,G,34,6,880,18.4,0.539,0.227,0.52,392.0,5.9,13.2,9.7,19.8,3.0,3.5,16.9,23.0,1.6,1.5,3.2,0.143,3.3,4.6,7.9,
4.0,Henri Veesaar,F,34,5,704,23.9,0.659,0.229,0.453,314.0,12.3,14.5,13.5,11.3,2.0,6.3,13.5,19.5,2.4,1.2,3.6,0.203,5.8,4.4,10.2,
5.0,Trey Townsend,F,32,27,684,14.9,0.565,0.214,0.291,255.0,8.3,12.0,10.3,8.3,0.8,0.8,13.9,19.4,1.2,0.7,2.0,0.115,3.0,1.0,4.0,
6.0,Tobe Awaka,F,34,33,668,23.9,0.656,0.029,0.518,285.0,17.3,26.3,22.1,6.8,1.3,3.0,11.3,17.4,2.4,1.3,3.6,0.217,5.2,2.2,7.4,
7.0,Carter Bryant,G,34,5,642,16.5,0.602,0.604,0.357,204.0,5.0,18.2,12.0,9.1,2.7,5.8,16.7,16.4,1.0,1.3,2.3,0.141,3.4,5.4,8.8,
8.0,Anthony Dell'Orso,G,34,25,615,15.1,0.6,0.596,0.197,220.0,2.9,5.5,4.3,12.6,1.8,0.6,11.1,17.8,1.4,0.6,2.0,0.131,4.4,2.1,6.5,
9.0,Motiejus Krivas,C,8,1,125,25.4,0.603,0.0,0.789,65.0,14.2,17.7,16.0,13.2,1.4,5.4,10.3,22.7,0.5,0.2,0.7,0.221,5.2,3.3,8.5,
10.0,Conrad Martinez,G,20,0,103,19.8,0.793,0.529,0.471,37.0,0.0,7.2,3.8,32.0,2.8,0.0,16.1,11.7,0.4,0.1,0.5,0.204,3.6,4.4,8.0,
11.0,Liam Lloyd,G,13,0,26,-1.5,0.138,0.778,0.444,4.0,4.5,16.2,10.7,5.4,4.4,0.0,0.0,20.4,-0.1,0.1,0.0,-0.052,-11.1,2.3,-8.8,
12.0,Emmanuel Stephen,F,7,0,22,21.2,0.808,0.0,0.5,6.0,5.4,43.1,25.3,8.6,2.6,5.1,28.8,15.4,0.0,0.1,0.1,0.147,0.1,6.3,6.5,
13.0,Grant Weitman,G,11,0,20,23.4,0.7,0.4,0.0,5.0,5.9,31.6,19.5,0.0,5.7,5.6,16.7,14.6,0.0,0.1,0.1,0.183,3.1,8.7,11.8,
14.0,Addison Arnold,G,10,0,14,0.3,0.303,0.25,0.5,4.0,16.9,7.5,11.9,0.0,4.1,0.0,28.8,24.2,0.0,0.0,0.0,-0.077,-11.6,-0.5,-12.1,
15.0,Luke Champion,F,8,0,11,-6.2,0.0,1.0,0.0,0.0,0.0,9.6,5.1,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,-0.083,-8.3,-3.0,-11.3,
16.0,Will Menaugh,F,10,0,11,4.5,0.5,0.0,0.0,2.0,10.7,9.6,10.1,0.0,0.0,0.0,33.3,13.3,0.0,0.0,0.0,-0.006,-3.7,-2.6,-6.3,
17.0,Will Kuykendall,G,3,0,3,-19.4,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,16.2,0.0,0.0,0.0,-0.321,-17.5,-6.0,-23.5,
18.0,Jackson Cook,G,2,0,2,8.1,,,,0.0,0.0,52.7,27.9,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.099,-6.4,7.8,1.3,
19.0,Jackson Francois,G,2,0,2,13.0,,,,1.0,59.1,0.0,27.9,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.207,0.7,2.7,3.3,
20.0,Sven Djopmo,G,2,0,2,32.8,0.5,0.0,0.0,1.0,0.0,52.7,27.9,0.0,28.5,0.0,33.3,73.0,0.0,0.0,0.0,-0.083,-18.5,24.9,6.4,
,Team Totals,,34,34,6850,,0.573,0.346,0.366,,,,,,,,,,15.0,10.2,25.2,0.147,3.8,3.3,7.1,
