Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Zylan Cheatham,32,32,1041,18.4,0.577,0.559,0.094,0.694,407,7.5,26.8,17.2,18.9,1.3,2.9,23.1,19.4,,1.6,2,3.6,0.138,,1.3,5.2,6.5
2,Remy Martin,30,26,996,17.6,0.515,0.47,0.411,0.372,434,2.1,8.2,5.1,29.7,2.2,0.1,12.6,21.3,,2.3,1.2,3.5,0.142,,3.9,0.5,4.5
3,Luguentz Dort,32,31,1008,16.6,0.514,0.467,0.405,0.479,492,4.5,10.2,7.4,15.1,2.8,0.9,15.8,28,,1.4,1.5,2.9,0.115,,2.1,1.6,3.6
4,Romello White,32,30,793,15.6,0.599,0.593,0,0.644,266,10.1,13,11.5,2.4,0.8,3.4,15.4,16.4,,1.5,1.1,2.5,0.129,,0.7,1.9,2.6
5,Kimani Lawrence,32,15,803,12.3,0.525,0.482,0.441,0.348,269,4.9,10.5,7.7,9,1.3,1.2,14,18.2,,1.1,1,2.1,0.102,,1.3,1.3,2.6
6,Rob Edwards,26,19,752,12.3,0.502,0.453,0.492,0.291,264,1.3,10.3,5.8,8,1.8,0.8,10.1,20.7,,0.9,1,1.9,0.102,,0.9,0.7,1.6
7,De'Quon Lake,31,4,414,19.7,0.742,0.767,0,0.616,134,13.1,17.6,15.3,1.4,1.1,7.7,19.6,13.5,,1.1,0.7,1.8,0.174,,1.8,4.1,5.9
8,Taeshon Cherry,28,3,491,11.2,0.52,0.51,0.725,0.092,143,3.1,12.6,7.9,3.4,1.8,1.5,8.6,16.9,,0.6,0.7,1.3,0.106,,1.4,0.7,2.1
10,Elias Valtonen,19,0,75,9.7,0.804,0.778,0.889,0.222,14,1.4,10,5.7,4.5,2.2,4.9,37.6,10.1,,0,0.1,0.1,0.079,,0,4.2,4.2
11,Kyle Feit,3,0,5,33.4,0.833,0.833,0.667,0,3,0,42.8,21.5,0,0,0,25,38.1,,0,0,0,0.127,,1.8,-9.5,-7.7
12,Grant Fogerty,5,0,6,22.8,1,1,0,0,2,0,0,0,34.2,0,0,0,7.9,,0,0,0,0.221,,4,-9.3,-5.3
13,Jack Roggin,2,0,2,-16,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.037,,-3.5,2.1,-1.4
14,Jordan Salzman,5,0,5,6.8,0.256,0,0,2,2,0,0,0,0,11.1,0,0,37.1,,0,0,0,-0.04,,-12.6,1.5,-11
15,Vitaliy Shibel,15,0,50,-3.4,0.333,0.333,0.778,0,6,4.3,8.6,6.5,0,1.1,0,25,11.4,,-0.1,0.1,0,-0.013,,-5.3,-1.1,-6.4
16,Trev Thompson,5,0,6,-7.3,0,0,0,0,0,0,17.8,9,0,9.2,0,50,15.9,,0,0,0,-0.139,,-15.4,7.5,-7.9
