Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jaylin Williams,33,31,1028,19,0.546,0.498,0.228,0.471,360,5.4,28.9,17.1,15.2,2.4,4.5,16.4,17.7,,1.7,2.6,4.3,0.169,,2.6,5.3,7.9
2,JD Notae,32,31,1062,20.4,0.512,0.475,0.434,0.264,560,1.8,13.2,7.5,23.7,3.6,2.3,13.4,30,,1.9,2.3,4.2,0.157,,4,3.9,7.8
3,Au'Diese Toney,32,29,1018,16.4,0.618,0.546,0.12,0.662,345,8.2,10.5,9.3,4.8,1.1,1.6,12.9,15.3,,2.6,1.5,4,0.159,,2.9,1.9,4.9
4,Stanley Umude,33,21,893,17.1,0.551,0.531,0.39,0.239,348,5.1,13.7,9.4,7.2,2.2,3.3,13,21.8,,1.5,1.7,3.1,0.141,,2.7,2.8,5.5
5,Davonte Davis,33,14,900,12.1,0.504,0.47,0.284,0.326,300,4.8,10.6,7.7,19.3,1.9,0,18.5,17.8,,0.9,1.4,2.3,0.104,,-0.1,2.4,2.3
6,Chris Lykes,33,2,614,15.2,0.518,0.415,0.417,0.558,263,1.3,5.3,3.3,16.5,3,0.2,12.4,23.2,,1.2,1,2.2,0.142,,0.3,2.7,3.1
7,Trey Wade,33,20,545,10.8,0.569,0.54,0.273,0.227,120,7.1,10,8.5,6.9,0.7,2.7,17,10.3,,0.7,0.8,1.4,0.106,,1.5,2.6,4.1
8,Kamani Johnson,24,1,200,18.4,0.609,0.643,0,1.536,71,18.8,19.5,19.1,6.1,1.7,5.7,24.8,15.4,,0.4,0.4,0.8,0.166,,0.4,3,3.4
9,Connor Vanover,15,10,113,25.3,0.499,0.441,0.255,0.333,57,11.8,18.7,15.2,7.6,1,9.1,4.8,26.3,,0.3,0.2,0.6,0.198,,4.5,1.9,6.4
10,Jaxson Robinson,16,4,163,11.6,0.535,0.52,0.86,0.06,50,3.4,10.2,6.8,7.9,0.3,2.8,10.4,16.9,,0.2,0.2,0.5,0.111,,1.8,-0.3,1.5
11,Khalen Robinson,18,2,96,6,0.447,0.429,0.607,0.25,31,2.3,7,4.6,23.9,3.5,0,26,21.1,,-0.1,0.2,0.1,0.048,,-6.3,2.1,-4.2
12,Cade Arbogast,3,0,4,-8.2,0,0,0.5,0,2,55.3,27.8,41.6,37.8,0,0,0,47.9,,0,0,0,-0.317,,-16.9,-15.1,-32
13,Lawson Blake,4,0,6,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.029,,-2.7,-0.3,-3.1
14,Chance Moore,4,0,8,26,0.625,0.625,0.5,0,4,13.8,27.8,20.8,0,0,0,0,24,,0,0,0,0.247,,0.6,1.8,2.4
