Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1,D.J. Wagner,G,33,33,1132,10.5,0.508,0.385,0.237,380,1.2,7.7,4.6,18.5,1.6,0.2,17.4,19.5,0.6,1.3,1.9,0.066,-0.3,1.3,1,
2,Johnell Davis,G,31,26,980,12,0.513,0.508,0.268,326,2.2,9.6,6,9.3,2.7,0.4,12.2,19.7,0.8,1.4,2.2,0.09,0.1,3.1,3.2,
3,Karter Knox,F,33,21,783,12.7,0.573,0.49,0.375,245,3.4,11.6,7.6,7.9,1.5,1.8,12.7,16.7,1.1,1.1,2.2,0.11,1.2,2.5,3.7,
4,Adou Thiero,G,26,26,302.58,25.2,0.607,0.167,0.687,391,7.8,16.1,12.2,14.1,3.4,3,11.9,25.9,2.3,1.5,3.8,0.206,5.9,4.7,10.7,
5,Zvonimir Ivisic,F,32,19,642,20.7,0.6,0.564,0.264,264,5.1,20.4,13.1,7.9,1.9,11.1,16.2,23.2,0.9,1.4,2.4,0.148,3.4,5.2,8.6,
6,Trevon Brazile,F,31,10,617,18.7,0.698,0.415,0.358,192,8.2,20.9,14.8,7.1,2.2,6.1,19.1,14.5,1.2,1.3,2.5,0.159,2.5,4.8,7.3,
7,Boogie Fland,G,18,18,552.6,18.3,0.512,0.409,0.264,293,1.8,9.5,5.8,31.9,2.5,0.2,9.6,24,1.4,0.9,2.3,0.147,3.8,2.3,6.1,
8,Billy Richmond III,F,33,0,567,13.9,0.581,0.095,0.343,194,5.9,12.3,9.2,14.9,1.9,2.9,20.5,17.8,0.7,0.9,1.5,0.108,-0.2,3.2,3,
9,Jonas Aidoo,F,30,12,529,19.5,0.584,0.053,0.534,195,9.8,21.1,15.7,8.1,1.8,6.7,13.2,18,1,1.1,2.1,0.159,1.9,4.2,6.1,
10,Casmir Chavis,G,1,0,6,-5.5,0.333,0,0,2,0,18.4,9.6,0,0,0,25,33.6,0,0,0,-0.201,-18.7,-4.6,-23.3,
11,Kareem Watkins,G,3,0,6,8.8,,,,1,0,18.4,9.6,24.6,0,0,,0,0,0,0,0.105,-1.6,3.8,2.2,
12,Ayden Kelley,G,2,0,4,12.6,0.333,0.333,0,2,30,0,14.4,0,0,0,0,37.8,0,0,0,-0.008,-6.3,-7.2,-13.5,
13,Jaden Karuletwa,G,4,0,4,-14.4,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,-0.152,-16.5,-2.9,-19.4,
14,Melo Sanchez,G,2,0,3,-13.9,0,1,0,0,0,0,0,0,0,0,0,16.8,0,0,0,-0.215,-16.1,-4.7,-20.7,
,Team Totals,,33,33,6625,,0.563,0.367,0.355,,,,,,,,,,9.9,10.8,20.7,0.125,1.8,3.3,5,
