Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Josh Hagins,35,33,1073,23.7,0.572,0.532,0.416,0.274,498,3.2,12.8,8.1,32.4,3,0.7,12.7,23.4,,3.5,2.4,6,0.223,,5.9,2.3,8.2
2,Marcus Johnson Jr.,35,18,1072,18.5,0.632,0.6,0.544,0.358,393,2.4,9.4,6,10.2,1.6,0,11.9,19.9,,2.9,1.9,4.8,0.179,,4.3,0.2,4.5
3,Roger Woods,35,19,795,22.2,0.59,0.562,0.15,0.611,349,6.5,15.5,11.1,15.1,2.6,1.3,14.7,24.1,,2.1,1.9,4,0.199,,2.3,2.5,4.8
4,Lis Shoshi,35,34,794,17.1,0.532,0.517,0.156,0.237,257,9.5,18.2,14,7.4,0.6,6.3,10.7,17.9,,1.4,1.8,3.2,0.163,,-0.6,4,3.4
5,Mareik Isom,34,9,646,13.4,0.566,0.538,0.663,0.231,183,4.4,12.1,8.4,4.4,1.1,3.2,7.3,16.1,,1.2,1.3,2.5,0.156,,1.5,1.3,2.9
6,Kemy Osse,35,24,579,14.6,0.501,0.494,0.684,0.117,168,2.5,11.8,7.3,9,3.5,1.5,8.1,18.4,,0.7,1.4,2,0.141,,1.2,2.4,3.5
7,Jermaine Ruttley,35,17,642,9.6,0.453,0.399,0.321,0.303,137,3.2,15.3,9.4,14.9,1.8,0.2,16.1,12.5,,0.4,1.4,1.8,0.11,,-2,2.5,0.5
8,Jalen Jackson,33,0,509,20,0.544,0.513,0.066,0.301,252,6.2,9.7,8,10.7,2.1,2.3,15.7,32.6,,0.6,1,1.7,0.132,,-2.1,0.2,-1.9
9,Maurius Hill,35,17,474,11.4,0.495,0.461,0.184,0.311,125,8.5,18,13.4,5.1,2,1.4,21.8,17.3,,0.1,1.1,1.2,0.098,,-3.7,2.1,-1.7
10,Stetson Billings,29,1,224,2.7,0.274,0.25,0.167,0.2,28,6,10.8,8.5,7.5,1.4,2.9,19.6,9.9,,-0.2,0.4,0.3,0.045,,-5.6,3.7,-1.9
11,Deondre Burns,18,1,94,14.2,0.522,0.396,0.417,0.5,28,0,12.3,6.3,6,4,1.4,14.4,20,,0.1,0.2,0.3,0.132,,-2.3,2.1,-0.2
12,Daniel Green,21,2,143,7.4,0.411,0.375,0.083,0.458,30,11.1,16.9,14.1,2.5,1.3,6.3,21.5,14.1,,0,0.3,0.3,0.084,,-5.7,3.9,-1.8
13,Ben Marcus,9,0,16,28.3,0.667,0.667,0,0,5,0,14.4,7.4,0,3.9,16,14.3,23.7,,0,0.1,0.1,0.177,,-3.7,7.8,4
14,Thomas Brandsma,1,0,1,18.3,,,,,0,0,100,59.3,0,0,0,,0,,0,0,0,0.241,,-15.4,-2.5,-17.9
15,Evan Moorman,3,0,12,16.5,0.5,0.5,1,0,5,0,0,0,18.1,0,0,0,27.1,,0,0,0,0.149,,4.6,-9.4,-4.8
