Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Walker Kessler,32,32,827,31.9,0.644,0.645,0.195,0.331,345,10.7,22.7,16.8,7,2.4,18.8,10.8,18.8,,2.8,2.6,5.4,0.262,,6.6,8,14.6
2,Jabari Smith,32,32,910,25.7,0.581,0.53,0.435,0.382,487,2.8,22.9,13,13.3,2.3,3.8,10.8,27.6,,3.1,2.2,5.3,0.235,,7.7,3.9,11.5
3,Wendell Green,32,5,846,19,0.49,0.445,0.503,0.243,425,2.3,12.7,7.6,35.6,3.3,0,15.4,26.3,,1.8,1.7,3.5,0.165,,3.7,2.7,6.5
4,K.D. Johnson,32,29,881,15,0.501,0.45,0.437,0.431,361,2.2,8.4,5.4,9.4,4,0.1,12.6,24.4,,1.1,1.7,2.9,0.131,,0.4,3.8,4.1
5,Dylan Cardwell,32,0,372,23.8,0.678,0.696,0.014,0.145,112,14.5,13.2,13.8,8.7,2.7,11.6,10.9,10.6,,1.1,0.9,2,0.219,,3.4,6.1,9.6
6,Devan Cambridge,31,14,617,12.2,0.488,0.465,0.526,0.218,177,9.3,9.5,9.4,5.8,1.6,1.6,11.8,15.1,,0.8,1,1.8,0.115,,1.3,1.8,3
7,Zep Jasper,30,30,695,9.1,0.49,0.445,0.496,0.277,167,1.9,4.1,3,14.9,1.9,0.3,12.9,12.2,,0.8,0.9,1.8,0.101,,-0.3,2.5,2.2
8,Jaylin Williams,31,0,434,15.5,0.533,0.496,0.329,0.236,165,7.7,12.5,10.2,11.5,1,4,16.2,20.4,,0.7,0.7,1.4,0.133,,1.1,2,3.1
9,Allen Flanigan,20,18,487,6.4,0.481,0.444,0.352,0.407,122,2.2,11.8,7.1,8.9,1.5,0.4,25,16.8,,-0.2,0.8,0.6,0.046,,-2.6,1.9,-0.7
10,Lior Berman,18,0,164,9.5,0.507,0.513,0.436,0.026,39,5.3,3.8,4.5,6.2,1.7,0.7,7.1,12.3,,0.2,0.2,0.4,0.106,,-0.2,2.2,2.1
11,Chris Moore,23,0,187,10,0.487,0.444,0.139,0.417,49,11,8.4,9.7,5.3,2.4,2.3,25.8,14.8,,0,0.3,0.4,0.077,,-2.1,2,-0.1
12,Preston Cook,17,0,25,27.5,0.881,0.929,0.571,0.286,11,4.3,12.5,8.5,16.4,2.2,0,20.1,19,,0.1,0,0.2,0.242,,8.1,4.4,12.5
13,Babatunde Akingbola,5,0,19,-1.3,0.167,0.167,0.5,0,2,0,27.5,14,8.3,0,17.1,25,20.1,,-0.1,0.1,0,-0.086,,-12.3,3.1,-9.2
14,Ty Cressman,2,0,2,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.027,,-2.7,-1,-3.7
15,Chandler Leopard,9,0,13,15.3,0.6,0.6,1,0,4,0,8,4.1,0,0,0,0,18.3,,0,0,0,0.152,,5.4,0.2,5.6
16,Chase Maasdorp,9,0,15,0,0,,,,1,0,0,0,9.7,0,0,0,1.5,,0,0,0,0.025,,-4,0.5,-3.5
17,Carter Sobera,4,0,5,30.7,0.619,1,0,3,2,0,83.6,42.5,0,11.2,0,29.2,32.7,,0,0,0,0.197,,-8.3,15.9,7.5
