Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1,Johni Broome,F,31,30,934,32.3,0.554,0.17,0.388,597,13.7,26.1,20.1,21,1.7,8.1,7.5,30.5,4,2.2,6.2,0.265,10.4,4.8,15.2,
2,Miles Kelly,G,33,31,926,16.1,0.591,0.656,0.204,326,1.7,12.9,7.5,6.6,2.2,1.6,8.3,18.9,2.1,1.5,3.6,0.154,4.6,3.6,8.1,
3,Denver Jones,G,32,32,877,15.4,0.623,0.585,0.372,330,1.5,6.5,4.1,14.8,1.3,0.7,14,18.2,2.3,1,3.2,0.146,4.6,2.1,6.7,
4,Chad Baker-Mazara,G,33,29,841,21.8,0.626,0.467,0.449,400,2.5,11.4,7.1,18,2.6,2.5,11.9,22.4,3,1.4,4.4,0.209,6.1,4.6,10.7,
5,Chaney Johnson,G,33,3,765,19.7,0.619,0.216,0.28,296,7.9,15.3,11.7,10.4,1.9,4.1,12.1,18.3,2.1,1.3,3.4,0.177,4.4,4.3,8.7,
6,Tahaad Pettiford,G,33,1,732,17.5,0.557,0.565,0.25,354,1.3,9.2,5.4,22.7,2.4,0.7,13.5,25.7,1.8,1.1,2.8,0.154,4.4,2.8,7.2,
7,Dylan Cardwell,C,33,33,662,20.4,0.629,0.019,0.505,209,13.9,13.2,13.5,13,2.5,7.7,13.1,11.5,1.8,1.3,3.1,0.187,5.2,6.2,11.3,
8,Chris Moore,F,33,4,354,6.1,0.509,0.471,0.265,52,6,10.9,8.5,6.1,1.5,1.2,23.9,7.1,0.2,0.5,0.7,0.075,-0.7,3.6,2.9,
9,Jahki Howard,F,19,0,188,18.9,0.633,0.393,0.536,75,5,9.4,7.3,2.8,1.9,2.8,9.1,20.5,0.5,0.3,0.8,0.169,3.2,2.3,5.5,
10,Ja'Heim Hudson,F,26,0,157,13.4,0.489,0.342,0.105,49,12.8,6.3,9.4,11.1,1.8,1.4,4.8,13.3,0.4,0.2,0.6,0.142,2.1,2.7,4.8,
11,JP Pegues,G,15,2,141,7,0.346,0.821,0.179,28,3.4,10.9,7.3,13.2,1.6,0,9,11.8,0,0.2,0.2,0.065,-0.4,2.2,1.8,
12,Blake Muschalek,G,12,0,24,16.3,1.013,0,0.667,8,4.9,0,2.4,13.6,2.4,0,33.6,12.4,0.1,0,0.1,0.152,0.9,3.7,4.6,
13,Presley Patterson,G,11,0,14,21.8,0.7,0.4,0,6,8.4,15.7,12.2,13.6,0,0,16.7,21.4,0,0,0.1,0.166,4.5,0.4,4.9,
14,CJ Williams,G,8,0,10,16.9,0.5,0,0,2,0,0,0,0,11.6,0,0,10,0,0,0,0.138,-0.6,13.8,13.2,
15,Reed Trapp,G,1,0,1,0,,,,0,0,0,0,0,0,0,,0,0,0,0,0.02,-0.5,1.1,0.7,
,Team Totals,,33,33,6626,,0.588,0.406,0.335,,,,,,,,,,18.2,10.8,29.1,0.175,5.1,3.9,9,
