Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jared Butler,32,19,845,14.8,0.534,0.498,0.566,0.235,321,2.8,10.5,6.7,20.5,2.1,0.4,17.2,21.7,,1.5,1,2.6,0.121,,3.6,0.4,4
3,Devonte Bandoo,32,7,691,16.5,0.599,0.566,0.592,0.194,249,2.6,9.5,6.1,13.4,1.5,0.3,13.8,19.4,,1.7,0.7,2.4,0.142,,4.7,-0.5,4.2
4,Makai Mason,26,26,828,14.5,0.536,0.485,0.482,0.319,362,1.2,7.7,4.4,21.1,0.7,0,16.1,25.5,,1.7,0.7,2.4,0.114,,3.1,-2.1,1
5,Mark Vital,32,32,890,15.9,0.476,0.453,0.122,0.646,276,14.2,15.4,14.8,13.2,2.2,3.9,20,16.6,,1,1.4,2.4,0.11,,1.8,5,6.8
6,Mario Kegler,26,26,734,14.7,0.515,0.487,0.365,0.357,260,6.4,17.9,12.1,8.7,0.9,2.2,13.8,21.3,,1.1,1,2.1,0.114,,1.3,1,2.2
7,King McClure,27,24,737,14.2,0.508,0.495,0.537,0.138,235,5.1,16.9,11,14.7,2.6,1.4,17.7,19.2,,0.8,1.2,2,0.109,,2.3,2.8,5.1
8,Freddie Gillespie,24,11,437,18.8,0.63,0.643,0,0.381,124,13.8,14.5,14.2,3.6,2.1,7,18.8,14,,0.8,0.8,1.6,0.144,,2.2,5,7.2
9,Matthew Mayer,31,0,381,13.9,0.431,0.392,0.425,0.307,151,7.2,12.7,9.9,13.5,2.7,2.5,12,26.2,,0.3,0.6,0.9,0.095,,0.2,1.2,1.4
10,Flo Thamba,31,0,320,10.3,0.545,0.538,0,0.769,67,10.7,14.8,12.7,5.5,1.1,7.3,31.1,12.1,,0.1,0.5,0.6,0.072,,-1.7,5.2,3.5
11,Darius Allen,14,1,113,10.1,0.376,0.379,0.606,0.273,28,4,9.2,6.6,8.2,4.3,6.2,11.8,18.8,,-0.1,0.2,0.2,0.059,,-1.2,4.9,3.7
12,Obim Okeke,9,0,32,5.5,0.455,0.455,0.818,0,8,3.6,7.2,5.4,0,3.8,0,15.4,20.4,,0,0,0,0.045,,-1.3,-2.1,-3.3
