Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Evan Bradds,33,32,928,24.2,0.694,0.697,0.048,0.539,422,8.7,21.8,15.5,10.5,1.3,0.8,19.7,23.7,,2.9,1,4,0.171,,2.5,-0.7,1.7
2,Craig Bradshaw,30,29,950,23.8,0.614,0.594,0.484,0.247,498,1.8,12.6,7.4,22.4,3,1.3,17.2,29.7,,2.7,1.1,3.8,0.16,,4.5,-0.5,4
3,Reece Chamberlain,33,32,1031,18.1,0.527,0.488,0.314,0.575,401,6.9,13.9,10.5,34.1,3.2,0.5,24.2,17.6,,2.4,1.2,3.6,0.141,,1.9,1.2,3.2
4,Taylor Barnette,32,31,951,14.1,0.582,0.588,0.776,0.108,285,0.7,9.7,5.3,8.5,1.6,0.1,8.2,17.4,,1.8,0.7,2.4,0.103,,2.7,-2.2,0.5
5,Amanze Egekeze,33,23,661,13.9,0.559,0.504,0.588,0.36,178,6,13.1,9.7,5.9,2.4,3,14,14.6,,1.1,0.8,1.8,0.11,,0.6,1,1.6
6,Nick Smith,33,6,497,16.6,0.584,0.567,0.791,0.075,191,6.5,9.5,8.1,3.7,0.5,1.6,8.9,22.3,,1.2,0.3,1.5,0.117,,2.8,-4.7,-1.9
7,Mack Mercer,28,0,186,19.7,0.556,0.507,0.162,0.456,91,9.4,15.9,12.7,15,0.3,7.1,16.2,27.7,,0.4,0.2,0.6,0.137,,-1.4,0.3,-1.2
8,Caleb Chowbay,28,0,236,11.1,0.596,0.558,0.327,0.308,73,1.1,13,7.2,17.9,1.8,0,28.7,18.5,,0.2,0.2,0.4,0.061,,-2.9,-1.8,-4.6
9,Jeff Laidig,33,0,229,6.7,0.517,0.441,0.706,0.529,30,6.5,15.5,11.1,4.2,1.8,0.5,27.3,6.7,,0.1,0.2,0.3,0.06,,-1.8,0.1,-1.7
10,Tyler Hadden,27,3,150,11.7,0.497,0.463,0.315,0.444,59,5.8,18.1,12.2,5.3,0,2.2,14.4,26.6,,0.1,0.1,0.2,0.059,,-5.1,-4.4,-9.6
11,Holden Mobley,33,1,332,3.6,0.527,0.464,0.643,0.536,45,3,6.8,4.9,6.8,1.4,0,31.3,8,,0,0.2,0.2,0.028,,-2.4,-0.9,-3.3
12,Burton Sampson,19,0,72,14.6,0.634,0.575,0.5,0.55,27,3.5,1.6,2.5,2.6,0.8,0,13.7,21.2,,0.2,0,0.2,0.11,,0.6,-5.7,-5.1
13,Spencer Turner,23,3,211,7.6,0.473,0.468,0.905,0.048,59,3,8.4,5.8,10.3,0.6,0,14.6,18.6,,0.1,0.1,0.2,0.034,,-1.2,-4.2,-5.4
14,Josh Lester,14,0,43,0.5,0.352,0.333,0.111,0.556,8,2.9,22,12.7,4,0,0,15,16.2,,-0.1,0,0,-0.016,,-9.2,-3.4,-12.5
15,Austin Luke,30,0,125,6.5,0.497,0.367,0.533,1,36,5,16.1,10.7,27.2,0.9,0.9,47.5,17.6,,-0.1,0.1,0,0.003,,-6,-1.3,-7.3
