Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Tyson Degenhart,31,31,1029,24.7,0.61,0.552,0.27,0.544,499,7.8,14.9,11.3,9.6,2,0.9,6.7,23,,4.3,1.7,6,0.232,,7.3,2.4,9.7
2,O'mar Stanley,32,26,837,24.9,0.619,0.578,0.172,0.478,416,12.4,17.3,14.8,12.5,1.5,5.3,14.5,24,,2.9,1.6,4.5,0.216,,4.5,2.9,7.4
3,Chibuzo Agbo,32,32,993,17.7,0.584,0.561,0.547,0.274,388,5.8,14.2,9.9,5.2,1.1,1.4,8.6,20.9,,2.6,1.5,4.1,0.165,,4.6,1.1,5.7
4,Max Rice,32,32,1024,13.2,0.534,0.491,0.623,0.262,372,2.4,12,7.2,10.6,1.7,0.1,12.4,21.3,,1.7,1.5,3.2,0.124,,1.3,1.7,3
5,Cam Martin,31,6,543,16,0.534,0.496,0.224,0.578,202,9.2,20.4,14.7,26,2.1,1.5,24.9,18.5,,0.8,1,1.8,0.132,,1.3,2.9,4.2
6,Jace Whiting,32,6,469,11,0.596,0.572,0.361,0.193,111,1.3,13.2,7.2,14,1.9,0,20.2,12.4,,0.5,0.7,1.3,0.108,,-0.1,2.9,2.7
7,Roddie Anderson,32,26,833,7.2,0.425,0.407,0.343,0.243,216,1,12.7,6.8,16.8,2.6,0.7,20.7,18.1,,-0.5,1.4,1,0.047,,-3.1,3.1,0
8,Andrew Meadow,32,1,358,8.8,0.528,0.511,0.598,0.345,98,4,9.2,6.6,4.1,0.3,0.3,11.4,16.3,,0.4,0.4,0.8,0.09,,-0.2,0.4,0.3
9,RJ Keene,21,0,205,10.6,0.409,0.39,0.537,0.22,51,11,13.6,12.3,12.6,2,2.3,15,13.3,,0.2,0.4,0.5,0.099,,-0.6,2.9,2.3
10,Kobe Young,24,0,97,16.1,0.619,0.556,0.5,0.444,29,7.4,22.6,14.9,9.3,1.8,0,15.5,13.6,,0.2,0.2,0.4,0.159,,0.5,3.6,4.1
11,Mohamed Sylla,9,0,30,14.1,0.625,0.625,0,0,9,11.9,24.3,18.1,0,0,3.9,20,17,,0,0.1,0.1,0.118,,-6.8,0.5,-6.3
12,Vince Barringer,2,0,4,-22.5,0,0,1,0,0,0,0,0,0,0,0,0,25.5,,0,0,0,-0.304,,,,
13,Kade Rice,8,0,25,4.1,0.263,,,,3,9.5,24.3,16.9,6.2,0,0,34.5,5.9,,0,0,0,0.039,,1.8,1.4,3.2
14,Sam Winter,2,0,4,25.2,0.5,0.5,0.5,0,2,29.8,0,15,0,0,0,0,25.5,,0,0,0,0.182,,,,
