Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Darrell Brown,34,33,1140,14.8,0.53,0.486,0.425,0.366,479,0.7,6.2,3.5,20.7,1.7,0.3,14.8,25.9,,1.7,1.4,3.1,0.108,,1.4,-2.1,-0.8
2,Dwayne Lautier-Ogunleye,34,34,1007,14.1,0.56,0.49,0.397,0.653,313,5.3,16.4,10.9,15.2,1.4,0.6,18.7,17,,1.5,1.6,3.1,0.125,,1,0.9,1.9
3,Elijah Childs,34,33,998,18.5,0.501,0.48,0.141,0.212,391,7.6,23.9,15.8,8.2,1.6,5.8,13.7,25.7,,0.8,2.2,2.9,0.118,,-2.7,2.7,0
4,Nate Kennell,34,11,950,13.3,0.566,0.554,0.616,0.202,294,0.8,9.3,5.1,14.8,1.2,0.8,10.7,17.8,,1.7,1.2,2.9,0.121,,2.3,-1.1,1.2
5,Koch Bar,34,18,606,17.5,0.596,0.536,0,0.68,209,12.3,17.2,14.8,6.7,1.2,5.9,23.6,19,,0.9,1.1,2,0.132,,-1.6,2.9,1.3
6,Luuk van Bree,31,16,574,15.5,0.53,0.51,0.471,0.146,172,8,18,13.1,5.7,1.1,2.8,7.7,16.9,,1,1,1.9,0.136,,0.6,0.2,0.8
7,Luqman Lundy,26,19,464,13,0.586,0.571,0.429,0.299,114,1.6,10.4,6,21.3,2.3,1.3,20,12.6,,0.6,0.7,1.4,0.118,,0.2,0.7,0.9
8,Ja'Shon Henry,27,0,339,16.4,0.55,0.548,0.083,0.631,118,11.4,13.5,12.5,4.6,2.5,2.6,18,20.9,,0.4,0.6,1,0.118,,-1.6,0.7,-0.9
9,Antoine Pittman,18,3,237,9.2,0.439,0.424,0.339,0.254,62,5.6,9.4,7.5,11.4,1.8,0.5,10.8,16.7,,0.1,0.3,0.4,0.074,,-1.8,-0.5,-2.3
10,Ari Boya,12,0,91,11.5,0.407,0.391,0,1.043,30,10.6,18.1,14.4,4.6,2,12.2,18.9,24.8,,-0.1,0.2,0.1,0.046,,-8.4,5.2,-3.2
11,Peter Hanley,6,1,18,15.6,0.759,0.667,0,0.667,5,0,13,6.6,0,0,0,0,11.7,,0.1,0,0.1,0.182,,-0.7,-4.4,-5.1
12,Jayden Hodgson,20,2,265,1.6,0.476,0.362,0.69,0.414,41,0.9,8.9,4.9,13.8,1.4,0.5,41.9,12,,-0.3,0.3,0,0.006,,-5.2,-0.1,-5.3
13,Armon Brummett,23,0,137,-1.3,0.198,0.172,0.552,0.276,16,1.8,12,6.9,9.4,4.9,1.8,26.8,17.4,,-0.5,0.3,-0.2,-0.069,,-9.4,3.4,-6
