Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Alex Barcello,26,26,827,24.4,0.659,0.618,0.392,0.362,411,1.9,13.8,8.3,25.9,1.8,0,14.4,22.2,,3.5,1.4,5,0.24,,6.6,3,9.6
2,Matt Haarms,24,23,548,23.8,0.602,0.563,0.157,0.31,248,6.5,16.4,11.8,9.6,0.5,8.9,13.4,23.9,,1.6,1.2,2.7,0.199,,3.9,4.1,8
3,Brandon Averette,26,26,715,15,0.539,0.517,0.438,0.146,309,1.7,8.9,5.6,24.6,1.7,0.4,18.5,23.9,,1.2,1.1,2.3,0.13,,1.4,1.4,2.8
4,Caleb Lohner,26,12,610,14.6,0.563,0.536,0.401,0.394,195,9,23.7,16.9,8.4,1.8,0.3,20.5,16.8,,0.9,1.3,2.2,0.142,,1.1,2.4,3.5
5,Trevin Knell,26,6,431,15.7,0.648,0.651,0.79,0.16,142,1.1,12.4,7.2,10,1.2,0.2,9.9,16.5,,1.1,0.7,1.8,0.169,,4,2.9,6.9
6,Richard Harward,26,0,407,18.2,0.584,0.594,0.019,0.632,171,12.9,18,15.7,11.9,0.8,1.5,19.3,21,,0.9,0.7,1.7,0.164,,0.9,1.9,2.8
7,Connor Harding,25,12,522,11.3,0.534,0.5,0.607,0.188,141,2.8,11,7.2,12,1.4,0.8,14.7,14.3,,0.7,0.8,1.6,0.119,,0.6,2.8,3.5
8,Spencer Johnson,26,0,457,11.4,0.587,0.574,0.546,0.185,128,2.7,11.9,7.7,8.7,1.4,0.5,18.7,15.8,,0.5,0.7,1.3,0.112,,0.3,2.1,2.3
9,Gideon George,26,8,358,13.9,0.494,0.466,0.323,0.218,141,10.3,18.4,14.7,5,1.3,1.7,15,24.2,,0.3,0.7,1,0.114,,-1,1.1,0.2
10,Kolby Lee,25,15,250,16.8,0.565,0.557,0.241,0.089,97,8.3,13.8,11.3,16.8,0.9,0,13.6,19.1,,0.6,0.4,1,0.161,,1.8,1.6,3.4
11,Gavin Baxter,2,2,28,28.8,0.73,0.857,0.143,0.571,12,13.1,18.7,16.1,14.4,0,3.7,10.1,17.7,,0.1,0,0.2,0.242,,-2.1,-4.5,-6.6
12,Hunter Erickson,8,0,22,9.4,0.75,0.75,1,0,4,5.6,9.5,7.7,13.6,0,4.7,33.3,6.8,,0,0,0.1,0.123,,-5,1.8,-3.2
13,Wyatt Lowell,7,0,44,7.1,0.44,0.393,0.857,0.286,12,0,19,10.3,3.7,0,0,5.9,19.2,,0,0.1,0.1,0.08,,-1.7,0.1,-1.6
14,Jesse Wade,9,0,41,10.2,0.396,0.333,0.778,0.556,12,3,5.1,4.1,22.1,1.4,0,0,13.9,,0.1,0.1,0.1,0.136,,-0.1,2.9,2.8
15,Cameron Pearson,5,0,9,6.3,,,,,1,0,11.6,6.3,15.6,0,0,,0,,0,0,0,0.095,,-2.7,1.2,-1.5
16,Brandon Warr,3,0,6,0.5,0,0,1,0,0,0,52.3,28.2,0,0,0,0,8.3,,0,0,0,-0.009,,-10.8,2.3,-8.5
