Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1,Richie Saunders,G,32,32,938,23.3,0.645,0.491,0.299,446,5.1,12.3,8.8,10.5,2.3,1.7,9.4,23.7,3.4,1.4,4.8,0.206,7.7,2.4,10.1,
2,Egor Demin,G,30,30,824,15.1,0.504,0.491,0.284,367,1.3,14.5,8.2,34.6,2.5,1.8,22.8,24.5,0.8,1.3,2.1,0.104,2.7,2.4,5.1,
3,Dallin Hall,G,29,10,728,13.4,0.564,0.628,0.372,255,3,7.4,5.3,27,1.9,0.3,20.7,16.1,1.4,0.8,2.3,0.124,2.8,2,4.8,
4,Trevin Knell,G,33,26,670,18.4,0.658,0.775,0.28,257,2.7,10.9,7,10.6,2.6,0.6,10.6,19.2,2,1,2.9,0.174,5,2.8,7.8,
5,Keba Keita,C,32,32,662,22.9,0.628,0,0.392,239,17,27.9,22.7,6.6,1.7,6.3,12.9,16,1.8,1.4,3.2,0.193,4.5,3,7.4,
6,Fousseyni Traore,F,33,1,578,25.2,0.663,0.022,0.387,284,13.1,22.5,18,15.2,1,2.8,16.1,22.4,2.1,0.9,3,0.211,5.8,2.1,7.9,
7,Mawot Mag,F,31,19,573,13.4,0.632,0.545,0.333,163,4.7,8,6.4,5.2,2.1,1.5,12.3,14.4,1.1,0.7,1.8,0.128,2.5,2.6,5.1,
8,Dawson Baker,G,33,0,559,15.6,0.573,0.515,0.19,226,2.2,11,6.8,14.5,1.7,0,12.1,22.5,1.1,0.7,1.8,0.13,2.8,1.5,4.3,
9,Kanon Catchings,F,29,15,396.75,14.8,0.54,0.665,0.253,195,4.4,10.1,7.4,7,2,3.1,10.5,21.8,0.8,0.7,1.5,0.115,2.7,1.4,4.1,
10,Mihailo Boskovic,F,28,0,316,10.9,0.526,0.616,0.314,96,3.1,14.8,9.2,6.3,1.9,1.6,15.4,18.7,0.2,0.5,0.7,0.089,-0.9,1.5,0.7,
11,Trey Stewart,G,26,0,183,10.7,0.542,0.857,0.171,42,1.3,3.1,2.3,11.2,3.9,1.4,7.3,11.3,0.3,0.3,0.6,0.122,1.2,5.2,6.4,
12,Elijah Crawford,G,20,0,109,10.1,0.426,0.346,0.269,34,5.6,8.4,7,22.1,3.2,0,17,16.4,0.1,0.2,0.3,0.093,-3.6,3,-0.6,
13,Brody Kozlowski,F,9,0,30,12.2,0.808,1,0.5,6,0,15.2,7.9,0,2,0,16.8,10.1,0.1,0,0.1,0.123,0.4,1.9,2.2,
14,Max Triplett,F,8,0,13,16.8,0,0,0,3,28.2,35.1,31.8,10.9,0,9.7,0,3.9,0,0,0.1,0.163,2.6,2.4,5,
15,Townsend Tripple,F,5,0,8,3.4,,,,1,15.3,14.3,14.8,0,0,15.8,100,6.3,0,0,0,-0.008,-7.5,3.3,-4.2,
16,Jared McGregor,G,4,0,6,14.5,0.404,1,0.5,4,0,0,0,30.9,0,0,0,41.8,0,0,0,0.107,-2.3,-6.3,-8.6,
,Team Totals,,33,33,6726,,0.593,0.483,0.302,,,,,,,,,,15.3,9.9,25.2,0.15,3.7,2.3,6.1,
