Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Charles Pride,31,31,1097,23.8,0.559,0.524,0.402,0.292,543,8.6,15.6,12.3,14.1,2.5,0.7,9.1,23.4,,3.7,1.8,5.6,0.202,,4.6,-0.2,4.4
2,Peter Kiss,26,25,925,23.7,0.547,0.503,0.317,0.33,602,4.5,11.8,8.3,21.7,2.5,0.8,15.5,35.7,,2.4,1.4,3.8,0.164,,3.5,-0.9,2.5
3,Hall Elisias,24,22,537,24.4,0.63,0.574,0.086,0.648,208,10.5,15.9,13.3,5.8,0.9,12.4,13,16.8,,1.6,1.1,2.7,0.201,,1.5,2.7,4.2
4,Adham Eleeda,31,29,991,10.4,0.526,0.502,0.958,0.148,281,2,12.8,7.7,4.9,1.2,0.1,11.1,16.2,,1.2,1.2,2.4,0.098,,-1,-1.6,-2.6
5,Greg Calixte,30,8,588,19.1,0.657,0.683,0.008,0.382,183,10.7,16.2,13.6,4.4,1.4,6.1,17.6,14,,1.2,1,2.3,0.153,,-1.4,0.7,-0.8
6,Luis Hurtado,31,27,802,10.1,0.576,0.576,0.353,0.671,182,3.3,12.2,8,23.2,1.4,0.3,35.2,10.1,,0.6,1,1.6,0.081,,-3.2,-0.3,-3.5
7,Chris Childs,16,2,341,8.5,0.48,0.43,0.626,0.252,105,1.2,7.1,4.3,7.7,0.8,0.5,12.4,18.8,,0.3,0.3,0.6,0.066,,-1.7,-1.9,-3.7
8,Tyler Brelsford,31,5,415,7.1,0.441,0.354,0.406,0.479,127,2.6,9.3,6.1,23.1,1.3,0,25.3,17.8,,0,0.5,0.5,0.044,,-7.2,-2.4,-9.6
9,Grant Coleman,7,1,64,15.4,0.491,0.452,0.667,0.143,24,5,13.5,9.5,19.8,0.9,1.4,8.2,17.9,,0.1,0.1,0.2,0.139,,-1.3,-3.7,-5
10,Erickson Bans,30,5,342,3.4,0.347,0.332,0.509,0.147,87,4,9.8,7.1,7,2.7,0,14.5,19.9,,-0.4,0.5,0.1,0.006,,-9,-1.8,-10.8
11,Josh Ozabor,15,0,69,10.6,0.668,0.7,0,0.1,16,12.3,4.2,8,7.5,1.6,2.6,32.3,10.5,,0.1,0.1,0.1,0.084,,-6.9,-1.5,-8.4
12,Mike Iuzzolino,11,0,23,-0.4,0.375,0.375,0.875,0,5,4.6,8.4,6.6,0,4.8,0,33.3,24.4,,-0.1,0,0,-0.086,,-4.5,-0.9,-5.4
13,Timmy Kiggins,10,0,13,-8,0,0,0.5,0.25,2,8.2,29.6,19.4,22.7,0,0,18.3,19.7,,-0.1,0,0,-0.144,,-17.1,-7.6,-24.7
14,Joe Moon IV,7,0,30,-2.9,0.303,0.25,0.25,0.5,4,10.6,3.2,6.7,0,0,3,37.7,12.4,,-0.1,0,0,-0.054,,-10.5,-2.8,-13.3
15,Max Zakheim,3,0,12,12.7,0.506,0.5,0.667,0.667,4,8.9,16,12.6,14,0,0,20.2,19.3,,0,0,0,0.09,,18.4,-5.5,12.9
