Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Connor Withers,F,34,33,1166,14.9,0.538,0.739,0.233,393.0,2.5,14.3,8.5,15.1,2.6,4.1,15.8,16.8,1.6,2.3,3.9,0.133,-1.0,1.9,0.9,
2.0,Earl Timberlake,G,32,32,1152,20.7,0.552,0.066,0.384,538.0,6.8,16.7,11.8,22.2,1.6,4.8,14.8,21.1,2.7,2.2,4.9,0.169,1.3,1.6,2.9,
3.0,Barry Evans,F,32,32,1047,17.8,0.55,0.311,0.223,436.0,7.6,14.1,10.9,13.7,2.3,1.7,14.8,20.2,1.9,1.8,3.7,0.141,0.7,0.3,1.0,
4.0,Rafael Pinzon,G,30,28,1008,15.7,0.537,0.444,0.163,493.0,2.2,7.0,4.6,11.7,1.6,0.4,12.4,27.0,1.6,1.3,2.9,0.116,-0.1,-1.9,-2.0,
5.0,Keyshawn Mitchell,F,34,33,688,20.3,0.578,0.257,0.335,294.0,14.3,20.7,17.5,5.5,1.0,3.7,12.5,19.4,1.6,1.3,2.9,0.17,-0.4,-1.5,-1.9,
6.0,Jakai Robinson,G,32,10,664,12.2,0.554,0.173,0.609,191.0,5.2,12.0,8.6,6.4,1.5,1.0,12.7,13.7,0.9,1.0,1.9,0.116,-2.5,0.3,-2.2,
7.0,Kvonn Cramer,F,33,1,581,21.9,0.617,0.089,0.509,254.0,12.8,13.8,13.3,5.9,2.0,5.7,11.8,18.9,1.7,1.1,2.8,0.192,-0.9,0.8,-0.1,
8.0,Kam Farris,G,23,1,271,6.9,0.436,0.689,0.311,83.0,0.8,5.7,3.2,6.7,1.8,0.7,10.4,19.6,0.0,0.3,0.4,0.058,-5.8,-1.0,-6.8,
9.0,Aaron Davis,G,12,0,115,14.7,0.486,0.587,0.095,54.0,4.5,8.0,6.3,4.9,0.9,4.2,4.4,27.6,0.2,0.2,0.3,0.121,-1.8,-0.9,-2.7,
10.0,Josh Ozabor,G,15,0,71,7.4,0.615,0.875,0.25,13.0,2.9,5.8,4.4,14.1,0.8,1.4,25.1,7.8,0.1,0.1,0.1,0.081,-9.4,-2.2,-11.6,
11.0,Jayden Brown,G,12,0,22,13.7,0.545,0.4,0.6,7.0,4.8,4.7,4.7,6.9,0.0,4.4,0.0,13.5,0.1,0.0,0.1,0.141,-2.9,-2.1,-4.9,
12.0,Frankie Vassalluzzo,G,13,0,19,18.8,0.51,0.2,1.2,9.0,11.0,10.8,10.9,8.1,0.0,0.0,0.0,19.1,0.1,0.0,0.1,0.175,4.2,-0.8,3.5,
13.0,Devean Williams,G,1,0,16,10.4,0.606,0.0,0.5,5.0,0.0,12.8,6.5,11.0,3.4,6.0,37.7,22.9,0.0,0.0,0.0,-0.012,,,,
14.0,Michael Amador,G,2,0,4,68.8,0.759,0.333,0.667,5.0,26.1,0.0,12.9,0.0,0.0,0.0,0.0,45.6,0.1,0.0,0.1,0.574,,,,
,Team Totals,,34,34,6824,,0.549,0.354,0.299,,,,,,,,,,12.4,11.6,24.1,0.141,-0.6,0.2,-0.4,
