Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Nana Foulland,34,34,938,27.3,0.622,0.63,0,0.581,476,10.2,22.4,16.6,9.6,1.6,7.8,14.7,25.9,,2.7,2.2,5,0.212,,1.4,4.5,5.9
2,Zach Thomas,35,34,1041,22.9,0.602,0.547,0.359,0.45,561,4.6,20.6,13,23.1,2.1,1.6,18.9,27.7,,2.8,2.2,4.9,0.19,,3.4,2.2,5.5
3,Stephen Brown,35,35,1059,18.5,0.565,0.543,0.422,0.309,433,1.4,10.5,6.2,29.1,3,0.3,15.4,19.5,,2.5,2,4.4,0.168,,3.1,0.8,3.9
4,Kimbal MacKenzie,35,33,1051,16.1,0.614,0.573,0.532,0.324,394,1.5,6.9,4.4,14.5,2.2,0.2,14,18.9,,2.4,1.6,4,0.153,,3.2,-0.3,3
5,Nate Sestina,31,1,371,17.7,0.552,0.536,0.194,0.185,147,11.7,23.9,18.1,6.4,1.1,4.6,16.7,22,,0.5,0.8,1.3,0.142,,-2,1.3,-0.6
6,Avi Toomer,35,22,676,7.3,0.54,0.549,0.519,0.568,118,2.7,10.6,6.9,7.9,3,0.3,27.7,10.5,,0,1.3,1.3,0.075,,-1.4,2.6,1.2
7,Bruce Moore,35,0,440,10.4,0.546,0.495,0.404,0.457,127,7.3,7.6,7.5,4.3,0.6,3.2,14.9,15.4,,0.6,0.6,1.2,0.108,,-0.9,0.1,-0.7
8,Nate Jones,26,12,432,8.9,0.573,0.561,0.697,0.318,92,4.6,9.3,7.1,7.6,1.7,0.2,21.7,11.3,,0.3,0.7,1,0.092,,0.1,0.6,0.7
9,D.J. MacLeay,33,1,288,14.1,0.517,0.506,0.163,0.363,106,13.8,26.5,20.4,6.5,2.8,1.4,24.8,21.9,,0,0.7,0.8,0.105,,-3.8,1.4,-2.4
10,Matt O'Reilly,32,1,348,5.8,0.454,0.457,0.957,0.034,91,1.1,4.8,3,2.5,0.7,0.3,6.3,18.4,,0,0.4,0.5,0.052,,-1,-3.6,-4.6
11,John Azzinaro,31,1,250,9.4,0.536,0.53,0.699,0.096,77,0.5,7.6,4.2,4.4,1.8,0,14.7,20.6,,0.1,0.4,0.4,0.071,,-1.5,-2.4,-3.9
12,Ben Robertson,27,0,106,7.7,0.536,0.525,0.1,0.45,25,4.7,5.3,5,3.3,1.6,1,17.1,13.9,,0.1,0.2,0.2,0.078,,-3.1,-0.3,-3.3
13,Ben Oberfeld,1,1,0,,,,,,,,,,,,,,,,0,0,0,,,-4.2,1,-3.2
