Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Justin Moss,33,32,991,26.5,0.576,0.521,0.01,0.608,528,10,23.3,16.6,4.9,1.9,2.9,12.7,28.5,,3.2,1.8,5,0.203,,1.4,0.5,2
2,Shannon Evans,33,33,1139,19.6,0.547,0.496,0.438,0.365,507,1.4,8.5,5,27.4,2.9,1,15.3,23.6,,2.8,1.5,4.3,0.151,,4.7,0.8,5.4
3,Xavier Ford,31,15,718,19.9,0.543,0.509,0.238,0.387,291,11.3,17.8,14.6,5.2,2.7,2.5,14.5,22.2,,1.4,1.3,2.7,0.152,,1.5,1.7,3.2
4,Jarryn Skeete,29,28,861,13.7,0.544,0.52,0.705,0.183,243,2.5,9.1,5.8,9.6,2.2,0.3,7.9,15.1,,1.7,1,2.7,0.125,,3.7,0.8,4.5
5,Lamonte Bearden,33,31,974,13.6,0.492,0.412,0.213,0.597,322,2.9,7.6,5.3,26.9,2.7,1,21.1,17.7,,1.1,1.2,2.4,0.097,,0.5,1.3,1.8
6,Will Regan,33,19,755,12.1,0.487,0.441,0.52,0.339,198,6.6,12.9,9.7,4.1,0.9,2.4,7.2,14.4,,1.1,0.9,2,0.106,,0.8,0.8,1.6
7,Rodell Wigginton,32,7,715,14.8,0.479,0.457,0.236,0.365,231,7.1,13.8,10.4,8.2,2.1,2.7,11.9,19,,0.8,1.1,1.9,0.104,,-0.2,2.1,2
8,Raheem Johnson,33,0,388,13.4,0.559,0.537,0,0.507,95,9.8,13.2,11.5,1.4,1.6,10.8,22.4,13.6,,0.3,0.7,1,0.104,,-2.5,5.9,3.4
9,Mory Diane,4,0,31,2.4,0.565,0.833,0.667,1,5,0,14.1,7,11.3,0,0,40.4,11.8,,0,0,0,-0.015,,-4.2,-0.8,-5
10,Christian Pino,11,0,14,-2.4,0.408,0.333,0,1.333,4,0,0,0,12.7,0,0,29,24.2,,0,0,0,-0.087,,-11,-6.1,-17.1
11,Bobby Frasco,9,0,14,-13.4,0,0,0.75,0,0,0,7.8,3.9,0,0,0,0,14,,-0.1,0,-0.1,-0.156,,-11.6,-3.9,-15.4
