Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Roosevelt Jones,33,33,1109,20.6,0.516,0.469,0.003,0.513,518,7,15.9,11.5,25.6,2.6,1.3,14.9,23.2,,2.6,1.7,4.3,0.154,,3.2,4,7.2
2,Kellen Dunham,33,32,1069,18.3,0.602,0.553,0.536,0.364,467,1.6,7.3,4.5,8.7,1.2,0.3,10.1,22.9,,3.1,0.9,4,0.151,,5.9,-1,4.9
3,Andrew Chrabascz,33,31,996,17.6,0.582,0.541,0.251,0.351,352,5.6,10.4,8,11.4,1.9,1.7,9.3,16.6,,2.6,1.2,3.8,0.152,,4.7,2.6,7.3
4,Kelan Martin,33,14,935,21.7,0.545,0.504,0.298,0.337,471,6.5,21.5,14,7.7,1.5,2.1,10.2,28,,2.4,1.4,3.8,0.162,,2.6,0.6,3.2
5,Tyler Wideman,33,33,806,19.6,0.612,0.605,0.006,0.623,266,10.4,16.7,13.5,5.9,2.4,6.7,14.3,15.1,,1.9,1.4,3.3,0.164,,3.1,6.3,9.4
6,Tyler Lewis,29,16,553,15.1,0.526,0.456,0.474,0.394,195,1.5,7.6,4.5,24.8,2.2,0,12.4,16.6,,1.2,0.6,1.8,0.131,,3.5,-0.1,3.4
7,Austin Etherington,30,2,366,13.9,0.689,0.691,0.735,0.412,101,3.5,13.7,8.6,6.9,2.8,0.9,19.7,13.7,,0.6,0.5,1.2,0.13,,4.3,2.2,6.5
8,Jordan Gathers,33,4,433,10.4,0.533,0.529,0.639,0.151,127,2.2,8.9,5.5,9.9,1.8,0.3,13.6,16.9,,0.5,0.5,0.9,0.087,,2.2,0.1,2.3
9,Jackson Davis,25,0,142,18.9,0.584,0.556,0.022,0.378,55,7.4,26.3,16.9,2.7,2.8,3.1,15.9,22,,0.2,0.3,0.5,0.147,,-1.4,1.6,0.3
10,Nate Fowler,20,0,125,7.5,0.592,0.611,0.167,0.167,27,10.3,14,12.1,5.2,0.9,0.9,26.5,10.5,,0.1,0.1,0.2,0.079,,0.5,1.4,1.9
11,Trey Pettus,10,0,41,12.5,0.404,0.375,0.5,0.5,11,2.8,14.2,8.5,22.7,1.4,0,0,12,,0.1,0,0.1,0.117,,1.9,0.4,2.2
12,Steven Bennett,13,0,50,4.1,0.45,0.45,1,0,10,2.3,14,8.2,9.5,0,0,23.1,12.9,,0,0,0,0.021,,-1,-0.7,-1.8
