Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Victor Joseph,31,31,913,16.7,0.543,0.493,0.488,0.275,409,2.2,8.1,5,15.9,1.7,0.6,12.6,27.1,,1.5,0.4,1.9,0.084,,1.8,-4.1,-2.3
2,Donovan Fields,31,30,999,15.5,0.511,0.461,0.256,0.228,414,1,11.3,6,29.8,2.2,0.4,15.6,24.6,,1.2,0.6,1.8,0.073,,-0.2,-2.4,-2.6
3,Jakub Niziol,30,6,548,15.4,0.534,0.497,0.78,0.236,194,2.3,12.6,7.2,9.4,1.5,2.1,7.3,21,,0.9,0.4,1.3,0.093,,1.5,-3.2,-1.7
4,Luke Meikle,31,29,789,12,0.481,0.437,0.391,0.221,259,4.1,15.8,9.8,10.2,1.1,1.1,11.4,21.1,,0.5,0.5,1,0.049,,-2.4,-2.6,-5
5,Marcellus Garrick,27,6,451,13.4,0.535,0.507,0.493,0.223,155,4,7.2,5.6,6.2,1.1,0.5,8.4,20.9,,0.7,0.1,0.8,0.069,,-0.3,-4.7,-5.1
6,Aleks Abrams,24,5,321,13.8,0.505,0.447,0,0.468,77,14.4,23,18.5,6.2,0.7,4.6,20.7,11.9,,0.3,0.3,0.7,0.081,,-3.9,0.6,-3.3
7,Hank Hollingsworth,31,21,591,10.9,0.575,0.631,0,0.569,98,7,13.7,10.3,2.4,0.7,9.3,25.3,9.9,,0.2,0.5,0.7,0.048,,-5,3.1,-1.9
8,Trevor John,23,0,206,14.6,0.646,0.622,0.857,0.122,60,2.2,5.9,4,11.5,1.2,0,7.2,14.3,,0.5,0,0.6,0.109,,2.4,-4.8,-2.4
9,Mark Crowe,31,15,549,6.4,0.399,0.387,0.619,0.155,87,4.5,12.3,8.3,9.5,2,1.5,15.9,10.3,,-0.1,0.4,0.3,0.024,,-3.6,-0.2,-3.8
10,Karlis Garoza,21,1,237,8,0.433,0.4,0.025,0.325,55,12.4,15.3,13.8,10.1,1.3,1.3,26.9,14,,0,0.2,0.1,0.018,,-5.2,-0.7,-6
11,Paulo Cruz,1,0,1,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,-0.01,,-6.9,-1.5,-8.4
12,Iziah James,26,0,247,5.3,0.471,0.407,0.407,0.296,60,1.4,8.3,4.7,13.9,2.2,0.4,25.4,17.6,,-0.2,0.1,0,-0.007,,-5.8,-2.7,-8.5
13,Josh Martin,25,11,498,11.2,0.45,0.412,0.271,0.328,185,5.2,25,14.8,14.7,1.1,3,20,27,,-0.5,0.5,0,0.002,,-6.2,-1,-7.2
