Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Kevin Mays,33,32,819,25.6,0.559,0.529,0.065,0.424,402,15.7,20,17.9,8.7,2.4,1.4,9.7,24.8,,2.6,2,4.6,0.226,,2.8,0.8,3.6
2,Dedrick Basile,33,33,966,19.5,0.563,0.546,0.426,0.179,385,2.5,10.1,6.3,25.2,3.6,0.8,14.4,21,,2.1,2.2,4.3,0.176,,3.4,1.4,4.8
3,Jaylin Airington,29,25,827,15.2,0.54,0.478,0.296,0.489,293,4.7,11.4,8.1,13.8,1.9,1.7,14.6,19.3,,1.4,1.7,3.1,0.149,,0.5,1.3,1.7
4,Brent Wrapp,33,31,942,12.5,0.508,0.437,0.31,0.643,228,3.6,10.6,7.1,24.4,2.5,1.2,23.3,11.3,,1.1,2,3,0.128,,-0.6,2.1,1.6
5,Aly Ahmed,33,33,930,16.4,0.508,0.472,0.011,0.369,391,7,17.6,12.3,7.7,1.4,4.4,16.1,26.8,,0.7,2.1,2.8,0.12,,-4,1.6,-2.4
6,Damiyne Durham,32,0,706,18,0.514,0.507,0.718,0.098,304,2.8,13.7,8.3,6.9,2.7,0.7,7.6,27.6,,1.2,1.5,2.7,0.153,,2.4,-1.9,0.6
7,Justin Pride,33,10,587,11,0.432,0.347,0.01,1.01,171,4,10,7,26.8,2.7,0.8,21.1,16,,0.3,1.2,1.5,0.104,,-3.2,1.3,-1.9
8,Matt Smith,26,1,377,15.9,0.56,0.588,0,0.506,111,11,10.6,10.8,3,2.2,5.8,12.5,15.8,,0.6,0.9,1.4,0.15,,-1.2,3,1.8
9,Justin Hollins,32,0,383,11.2,0.505,0.523,0,0.455,56,7,17.1,12.1,1.3,1.1,18,31,10,,-0.2,1.1,0.9,0.095,,-6.7,10.4,3.7
10,Bray Barnes,20,0,78,4.7,0.508,0.364,0.364,0.909,16,7.2,4.3,5.7,0,0.7,2.9,16,11.9,,0.1,0.1,0.2,0.096,,-3.7,-1.5,-5.2
11,Darryl Geyen,9,0,16,-1.5,0.127,0,0.667,0.667,1,7,13.9,10.4,0,0,0,0,12.2,,0,0,0,-0.02,,-9.3,-4.7,-14
12,PJ Posey,5,0,19,11.3,0.623,0.8,0,0.6,6,11.8,17.5,14.6,0,0,6,23.7,21.9,,0,0,0,0.071,,-5.9,-2.9,-8.8
