Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Kyle Allman,31,29,1018,22.6,0.599,0.544,0.257,0.614,549,1.2,10.5,6.1,16.2,2,0.6,12.2,28.6,,3.2,1.5,4.6,0.181,,3.3,-1.3,2
2,Jackson Rowe,30,30,898,20.8,0.663,0.631,0.245,0.432,346,5.9,20.2,13.5,11.4,1.8,3.5,18.1,19.1,,2.1,1.7,3.8,0.171,,2.3,2.7,5
3,Khalil Ahmad,31,29,968,16,0.534,0.491,0.441,0.266,431,2.2,11.5,7.1,11.7,2.3,0.8,14.4,27.3,,1.1,1.5,2.6,0.106,,-0.1,-0.9,-1
4,Arkim Robertson,31,26,483,18.7,0.659,0.649,0,0.629,168,13.8,18.4,16.2,2.9,1.3,5.9,19.7,16.5,,1,0.9,1.9,0.161,,-0.4,1.8,1.5
5,Austen Awosika,31,13,846,11.7,0.484,0.43,0.172,0.49,254,2.7,12.7,8,18.3,2.1,0.9,18.9,17.6,,0.4,1.3,1.7,0.079,,-2.4,1.2,-1.2
6,Jamal Smith,31,18,703,6.4,0.587,0.519,0.413,0.675,140,1.1,11.4,6.5,14.5,1.4,0.6,32.6,11.3,,0.1,0.9,1.1,0.062,,-2.3,0.6,-1.6
7,Davon Clare,31,3,540,9.8,0.496,0.462,0.293,0.293,126,7.2,15.4,11.6,11.6,1.6,2.1,25.6,13.3,,0.1,0.9,1,0.072,,-2.4,2.1,-0.4
8,Dominik Heinzl,29,5,294,8.6,0.582,0.551,0,0.367,66,6.4,13.2,10,2.5,1.2,1.8,25.8,13.4,,0.1,0.4,0.5,0.067,,-4.1,0.1,-4.1
9,Landon Kirkwood,10,0,49,18.2,0.773,0.773,0.545,0,15,5.1,9.1,7.2,12.6,2.3,0,15.4,13.5,,0.1,0.1,0.2,0.168,,4,-0.9,3.1
10,Josh Pitts,18,0,84,8.6,0.382,0.36,0,0.32,27,16.5,14.5,15.4,6.8,1.4,1.3,9.4,19.3,,0,0.1,0.2,0.073,,-4.2,-1.1,-5.2
11,Daniel Venzant,23,1,136,9.8,0.536,0.561,0.333,0.333,40,0,11.4,6.1,17.5,1.3,0,19.1,17.7,,0.1,0.2,0.2,0.068,,-2.8,-1.9,-4.7
12,Ian Fox,5,0,38,5.9,0.214,0.214,0.786,0,10,13.3,0,6.2,18.3,3,2.8,6.7,20.1,,-0.1,0.1,0,-0.013,,-2.4,-0.3,-2.7
13,Jose Garcia Gonzalez,1,0,4,58.3,0.286,0.286,0.286,0,6,100,27.8,73.7,0,14.3,0,0,89.1,,0,0,0,0.167,,-6.7,-23.2,-29.9
14,Dwight Ramos,17,1,119,5.2,0.371,0.359,0.5,0.174,42,9.5,6.5,7.9,14.8,1.9,0,18.1,26,,-0.2,0.1,0,-0.013,,-4.6,-2.5,-7.1
15,Johnny Wang,13,0,69,5.1,0.348,0.292,0.5,0.417,12,3.6,25.7,15.4,7.4,0.8,3,21.8,13.6,,-0.1,0.1,0,0.026,,-7,1.3,-5.7
