Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Ivan Rabb,34,34,975,24.2,0.636,0.616,0.008,0.588,413,11.3,21.3,16.5,6.6,1.1,4.1,13.4,20,,3.1,2,5.1,0.21,,3.9,4.8,8.7
2,Jordan Mathews,34,19,1011,16.8,0.59,0.553,0.631,0.307,406,2.9,9.3,6.3,8.2,0.9,0,10.4,21.6,,2.7,1.3,4,0.158,,5.6,0.6,6.2
3,Tyrone Wallace,28,25,901,19.7,0.513,0.477,0.245,0.449,446,3.5,14.2,9.1,28.5,1.8,1.3,15.1,27.4,,1.8,1.6,3.4,0.149,,3.4,3.7,7.1
4,Jabari Bird,33,22,883,16.2,0.584,0.574,0.55,0.17,300,3.3,10.2,6.9,6.9,1.1,1.2,8.5,18.2,,2,1.3,3.3,0.149,,4.4,2.1,6.5
5,Jaylen Brown,34,34,939,17.6,0.518,0.471,0.27,0.574,477,4.5,16.5,10.8,15.3,1.7,2.2,17.9,31.4,,1,1.8,2.7,0.117,,0.3,3.3,3.6
6,Kameron Rooks,33,10,566,14.3,0.578,0.573,0,0.561,140,12.8,18.2,15.6,3.8,0.5,4.5,15,10.7,,1,1.1,2.1,0.148,,1.3,5,6.3
7,Sam Singer,34,9,678,8.4,0.461,0.439,0.301,0.252,164,2.6,10.9,7,22.6,1.5,0.3,25.6,13.7,,0.2,1,1.2,0.072,,-0.7,3.1,2.4
8,Stephen Domingo,30,0,319,7.9,0.408,0.42,0.643,0.196,63,7.3,11,9.2,9,0.9,2.4,14,11.3,,0.1,0.5,0.6,0.077,,0.2,3.8,4
9,Kingsley Okoroh,31,17,335,8.4,0.56,0.606,0,0.515,49,5.6,13.6,9.8,3,0.7,9.3,31.6,9,,0,0.7,0.6,0.077,,-2.6,8.3,5.7
10,Roger Moute a Bidias,23,0,187,3.4,0.456,0.38,0.44,0.48,30,2.5,10.2,6.5,5.3,0.3,1,14,9.6,,0.1,0.2,0.3,0.069,,-1.5,2.4,1
11,Nick Kerr,7,0,11,32.6,0.75,0.75,1,0,6,0,9.6,5.1,0,0,0,0,27.5,,0.1,0,0.1,0.262,,13.4,-6.8,6.6
12,Nick Hamilton,1,0,2,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.029,,-2.8,3.6,0.8
13,Cole Welle,5,0,13,4,0.256,0.333,0,2,3,0,24.5,12.8,0,4.5,0,0,22.7,,0,0,0,-0.026,,-11.6,-0.1,-11.7
14,Brandon Chauca,9,0,38,-2.3,0.251,0.167,0.889,0.222,8,3.1,0,1.5,21.2,1.5,0,28.7,18.5,,-0.1,0,-0.1,-0.059,,-5.5,-1.3,-6.8
15,Brenden Glapion,8,0,17,-5.2,0.305,0.143,0.286,0.857,6,0,6.2,3.3,10,0,0,16.9,35.1,,-0.1,0,-0.1,-0.125,,-12.3,-3.6,-15.9
