Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Brynton Lemar,36,36,1189,17.9,0.559,0.507,0.481,0.428,544,2.1,9.5,5.8,17.8,1.3,0.4,11,24.5,,2.9,1.6,4.5,0.152,,3,-1.4,1.6
2,Chima Moneke,36,33,981,24.2,0.561,0.527,0,0.604,494,11,29.1,20.1,7.3,1.9,5.7,16.7,28.6,,1.7,2.4,4.1,0.166,,-2.5,2.8,0.4
3,Lawrence White,36,35,983,11.5,0.514,0.487,0.327,0.407,270,2.7,12.4,7.6,11.2,2.1,2.9,16.9,16.5,,0.5,1.7,2.2,0.091,,-2.3,2.6,0.3
4,J.T. Adenrele,34,33,690,13.8,0.526,0.497,0,0.405,198,9.9,19.7,14.8,5,2.4,4,20.1,16.5,,0.4,1.5,1.9,0.109,,-3.8,3.4,-0.4
5,Darius Graham,36,36,1040,9,0.532,0.498,0.528,0.261,281,1.2,6,3.6,21,1,0.1,21.5,15,,0.7,1.2,1.9,0.074,,-1.6,-1.5,-3.1
6,Siler Schneider,36,2,836,12.3,0.51,0.473,0.439,0.331,356,2.8,13.3,8.1,19.1,1.2,0.3,18.8,26.7,,0.3,1.2,1.6,0.075,,-1.7,-1.2,-2.8
7,Garrison Goode,25,4,533,6.9,0.441,0.446,0,0.625,84,8.5,12.7,10.6,6.1,1.7,0.8,24.1,9,,0,0.8,0.9,0.064,,-3.8,2.4,-1.4
8,Mikey Henn,34,1,447,6.5,0.489,0.476,0.286,0.302,136,4.4,9.5,7,10.2,1,0.7,21.7,20.5,,-0.2,0.6,0.4,0.036,,-4.9,-1,-6
9,Arell Hennings,27,0,224,6.5,0.447,0.385,0.396,0.396,60,2.1,6.7,4.4,22.8,2,0,27.8,17.6,,-0.1,0.3,0.2,0.029,,-5.4,-1.4,-6.8
10,Joe Mooney,16,0,192,3.5,0.364,0.333,0.667,0.125,37,0.6,6,3.3,8.8,1.8,0,10.6,14.8,,-0.1,0.3,0.1,0.024,,-4.8,-1.2,-6
11,Michael Onyebalu,23,0,84,4.1,0.504,0.5,0.667,0.333,13,1.4,10.9,6.2,4.4,0.7,0,17.8,10,,0,0.1,0.1,0.052,,-4.3,-1,-5.4
12,Georgi Funtarov,1,0,5,24.4,0.678,1,0,1,2,23.2,23,23.1,0,0,0,25.3,39.4,,0,0,0,-0.003,,-4.2,-11,-15.1
13,Georgi Funtarov,12,0,71,3.8,0.275,0.222,0.556,0.444,9,6.5,11.3,8.9,4.9,0.8,3.1,15.5,9.1,,-0.1,0.1,0,0.027,,-5.9,1.6,-4.3
