Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Will Davis,34,33,1012,23.3,0.567,0.543,0.003,0.29,412,10.3,17,13.9,7.4,1.1,3.4,10.4,23.4,,2.7,1.8,4.5,0.179,,1.4,1.2,2.6
2,Travis Souza,34,33,879,15.9,0.68,0.66,0.858,0.195,225,2,10.8,6.7,10.6,2,0.6,15.2,13.5,,1.9,1.3,3.3,0.148,,4.4,0.8,5.3
3,Alex Young,30,29,891,16.6,0.504,0.466,0.323,0.278,305,2.4,10.8,6.9,24,2.8,1,14.9,20.3,,1.4,1.5,2.9,0.132,,1.4,1.5,2.9
4,Jaron Martin,33,9,619,14.8,0.577,0.551,0.531,0.177,204,1.6,5,3.4,15.7,1.6,0.8,14.8,19.7,,1.2,0.7,1.9,0.122,,2,-1.5,0.5
5,Luke Nelson,28,25,820,13.4,0.478,0.443,0.57,0.265,312,1.5,9.6,5.8,26.8,2.2,0.4,19.3,25.3,,0.5,1.2,1.7,0.085,,0.5,-0.5,0
6,John Ryan,25,19,450,18.6,0.573,0.566,0,0.343,143,13.4,17.3,15.5,9.8,1.1,7.5,21.2,17.8,,0.7,0.9,1.6,0.145,,-0.3,4.8,4.5
7,Dominique Dunning,27,1,422,15.9,0.522,0.489,0.204,0.366,124,9.5,19.5,14.8,10.4,1.9,1.7,15.5,16.7,,0.6,0.8,1.5,0.141,,-0.1,2,2
8,Mike Best,34,3,399,14.6,0.499,0.465,0.01,0.343,111,7.2,14.5,11.1,4.4,1.3,5.4,8,17.2,,0.6,0.7,1.3,0.131,,-2.4,2.1,-0.2
9,Mamadou Ndiaye,15,11,298,25.6,0.617,0.634,0.01,0.564,130,9.7,19.8,15.1,1.6,0.8,8.6,15.2,27.7,,0.7,0.6,1.3,0.177,,-1.4,0.8,-0.5
10,Ioannis Dimakopoulos,34,2,369,13.7,0.484,0.476,0.167,0.103,117,5.1,12.2,8.9,8.1,0.7,6.4,12.6,22.4,,0.2,0.6,0.8,0.088,,-3.3,1.6,-1.7
11,Aaron Wright,33,5,567,8.1,0.489,0.46,0.29,0.5,136,2.7,10.4,6.8,16.6,2.9,0.4,29.2,16.9,,-0.2,1,0.8,0.054,,-3,1.7,-1.3
12,Haroldas Saprykinas,16,0,62,20.3,0.693,0.7,0.6,0.933,24,0,7.1,3.8,6.5,0,0,8.5,20.9,,0.2,0.1,0.3,0.191,,4.6,-4.7,-0.1
13,Shawn Ray,10,0,18,21,1,1,0,0,4,7,30.4,19.5,10.8,0,5.7,0,6.1,,0.1,0,0.1,0.239,,3.1,3.5,6.6
14,Reed McConnell,12,0,44,0.2,0.305,0.318,0.364,0.091,8,0,7.5,4,12.3,0,0,8,15.5,,0,0,0,-0.005,,-6.1,-2.8,-9
