Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Hayden Gray,G,34,34,1088,19.9,0.598,0.49,0.162,386.0,2.6,9.1,5.8,18.8,5.9,1.0,12.8,17.6,2.3,3.2,5.6,0.205,1.9,5.8,7.7,
2.0,Tyler McGhie,G,34,34,1033,20.3,0.573,0.656,0.169,476.0,0.9,14.3,7.6,11.4,1.8,1.0,4.5,25.8,2.8,2.4,5.2,0.201,4.1,0.3,4.4,
3.0,Aniwaniwa Tait-Jones,F,34,34,1018,30.7,0.651,0.13,0.792,659.0,5.6,15.9,10.7,26.3,2.5,2.0,11.8,29.6,5.3,2.6,7.9,0.309,7.5,3.1,10.6,
4.0,Chris Howell,G,34,34,980,14.2,0.563,0.454,0.454,250.0,4.3,10.9,7.6,17.1,4.4,1.2,17.0,11.0,1.7,2.7,4.3,0.177,-0.9,4.8,3.9,
5.0,Nordin Kapic,F,33,32,816,15.9,0.525,0.595,0.359,341.0,6.8,17.7,12.2,8.7,2.0,2.3,11.7,24.1,1.2,2.1,3.3,0.16,-0.1,0.9,0.7,
6.0,Justin Rochelin,G,34,0,653,13.5,0.578,0.582,0.176,207.0,4.1,17.1,10.6,7.2,2.0,2.3,12.8,18.1,0.9,1.6,2.5,0.154,-2.0,1.5,-0.5,
7.0,Aidan Burke,G,34,0,447,13.4,0.603,0.836,0.06,129.0,3.7,7.9,5.8,7.5,1.7,0.3,7.0,15.0,0.8,0.9,1.7,0.156,1.1,0.8,1.9,
8.0,Maximo Milovich,C,32,2,435,11.7,0.608,0.151,0.377,98.0,8.7,15.9,12.3,9.4,0.8,1.8,15.0,8.8,0.8,1.0,1.7,0.16,-2.1,1.1,-0.9,
9.0,Ryder Elisaldez,G,20,0,108,13.5,0.59,0.563,0.125,30.0,6.5,7.6,7.1,24.3,2.2,0.0,15.0,9.7,0.3,0.2,0.5,0.184,-3.3,2.8,-0.4,
10.0,Cade Pendleton,F,20,0,107,20.9,0.629,0.738,0.048,47.0,7.7,13.2,10.4,7.4,1.7,1.3,6.5,22.5,0.3,0.2,0.6,0.213,7.2,1.2,8.4,
11.0,Jasen Brooks,G,18,0,78,21.8,0.536,0.8,0.029,37.0,6.0,16.5,11.3,20.3,3.0,1.7,2.7,24.4,0.2,0.2,0.5,0.232,-0.5,-2.6,-3.1,
12.0,Milos Vicentic,F,1,0,20,-1.6,0.25,0.167,0.0,3.0,5.9,23.5,14.7,0.0,0.0,0.0,14.3,18.3,-0.1,0.0,0.0,-0.028,-5.2,-0.6,-5.7,
13.0,Yaqub Mir,G,3,0,17,21.1,0.504,0.8,0.4,6.0,0.0,13.8,6.9,20.8,7.0,0.0,0.0,18.3,0.0,0.1,0.1,0.228,-14.7,-5.5,-20.3,
,Team Totals,,34,34,6800,,0.588,0.504,0.325,,,,,,,,,,16.6,17.2,33.8,0.199,1.6,2.5,4.2,
