Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jaquori McLaughlin,25,25,801,26.4,0.616,0.562,0.361,0.416,416,2.6,10.3,6.5,31.2,2.9,0.4,13,24.7,,3.6,1.6,5.2,0.258,,6.3,1.7,8
2,Amadou Sow,25,24,651,24.6,0.624,0.573,0.058,0.447,311,10.6,25.4,18.3,4.8,1.3,2.3,15.7,26.2,,2.1,1.5,3.5,0.218,,2.2,-0.2,2
3,Devearl Ramsey,26,26,795,15.1,0.539,0.478,0.522,0.314,228,2.9,8.8,5.9,19.3,3.3,0.1,13.7,14,,1.7,1.6,3.3,0.165,,0.3,2.4,2.7
4,Miles Norris,26,24,656,19.7,0.574,0.562,0.384,0.153,233,3.9,17.9,11.1,13.5,1.7,3.8,9.9,19.3,,1.6,1.5,3.1,0.187,,3,1.8,4.8
5,Ajare Sanni,24,1,580,17.7,0.549,0.512,0.477,0.273,243,1.8,11.9,7,13.7,1.8,0,10.9,24.8,,1.3,1,2.4,0.165,,1.8,-0.6,1.2
6,Robinson Idehen,26,3,303,24.4,0.692,0.721,0,0.779,125,16.5,17.9,17.2,3.8,0.8,5.7,13.9,18.7,,1.2,0.7,1.9,0.245,,-0.8,0.7,-0.1
7,Josh Pierre-Louis,22,0,325,23.3,0.607,0.601,0.253,0.364,134,3.6,17.5,10.7,19.9,5.5,2,18.3,22.9,,0.7,1,1.7,0.209,,-0.7,5.2,4.4
8,Brandon Cyrus,26,26,399,10.1,0.574,0.566,0.344,0.148,79,4.2,10.3,7.3,8.7,1.6,0.5,13.3,9.9,,0.6,0.7,1.3,0.127,,-1.2,1.5,0.3
9,Sekou Toure,17,0,171,14.4,0.528,0.529,0.257,0.4,49,9,24.7,17.1,11,2.8,0,20.9,16.1,,0.2,0.4,0.6,0.14,,-2.6,1,-1.5
10,Destin Barnes,26,1,342,4.1,0.407,0.42,0.529,0.126,76,4.5,4.6,4.5,6.9,0.9,1.3,15.6,16.8,,-0.2,0.5,0.3,0.038,,-4.6,-1.4,-6
11,Jay Nagle,16,0,105,9.7,0.463,0.42,0.84,0.44,27,0,13.8,7.1,9.4,1.1,0,6.2,16.1,,0.1,0.2,0.3,0.11,,-0.7,-1.4,-2.2
12,Jakov Kukic,14,0,84,9.4,0.482,0.429,0,0.857,25,16.8,20.1,18.5,3.9,1.4,0,28.9,17.3,,0,0.2,0.2,0.09,,-12.1,-4,-16.1
13,Gage Gomez,8,0,21,21.5,0.707,0.625,0.5,0.5,7,0,23,11.8,24.3,0,5.1,16.8,14.9,,0.1,0,0.1,0.23,,-8.6,-0.3,-8.9
14,Niko Rocak,2,0,10,55.1,1.013,1,0,0.667,6,25.6,12.1,18.7,0,0,21.6,20.2,26,,0.1,0,0.1,0.424,,,,
15,Kyle MacLean,2,0,7,21.4,0.333,0.333,0.333,0,2,0,34.5,17.8,26.5,8.5,0,0,22.5,,0,0,0,0.165,,,,
