Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,B.J. Taylor,31,31,1058,18.6,0.557,0.475,0.459,0.669,484,1.3,5.8,3.7,19.5,1.4,0,10.3,24.5,,3.2,1.4,4.6,0.174,,4.8,-0.4,4.4
2,Aubrey Dawkins,31,31,1023,18.8,0.58,0.544,0.474,0.258,414,3.4,13,8.6,8.4,1.7,1.1,10.4,23.1,,2.5,1.9,4.3,0.17,,4.1,1.6,5.7
3,Tacko Fall,31,31,769,24.9,0.647,0.754,0,0.845,305,12.2,20.5,16.6,4.5,0.6,11.2,17.9,21.7,,1.6,1.9,3.5,0.184,,1.4,6.7,8.2
4,Terrell Allen,31,31,936,12.8,0.54,0.503,0.365,0.347,254,0.9,10.2,5.9,26.2,2.7,0,20.8,13.7,,1.3,1.7,3,0.128,,1.7,2.8,4.5
5,Chad Brown,31,1,547,16.8,0.537,0.524,0.01,0.6,153,10.2,21.9,16.5,4.3,1.1,6.5,13.5,14.9,,0.8,1.3,2.1,0.154,,-1,5.3,4.4
6,Collin Smith,31,30,693,14,0.513,0.478,0.163,0.485,265,7.7,17.9,13.2,14.4,1.5,1.3,19.4,23.3,,0.6,1.4,2,0.116,,-0.6,3,2.3
7,Dayon Griffin,26,0,444,11.4,0.488,0.468,0.718,0.227,118,2.7,10.6,7,11.6,2.5,1.8,14.1,16.7,,0.3,0.9,1.2,0.104,,1.1,3,4.2
8,Frank Bertz,31,0,354,11.2,0.488,0.473,0.769,0.099,92,5.1,8.3,6.8,7.5,3.2,0.6,12,16,,0.3,0.7,1,0.109,,1.8,2.4,4.2
9,Ceasar DeJesus,26,0,301,10.2,0.549,0.507,0.257,0.414,89,2,7,4.7,12.5,1.4,1.1,23,18.9,,0.1,0.4,0.6,0.075,,-1.8,1.1,-0.7
10,Chance McSpadden,7,0,51,5.9,0.369,0.438,0.5,0.75,10,7.1,20.6,14.4,10.6,1.2,0,21.7,14.2,,0,0.1,0.1,0.048,,-3.1,2.2,-0.9
11,Ryan Anders,7,0,15,-4.8,0.143,0.143,0.286,0,3,8.1,14,11.3,12.2,0,0,0,24.4,,-0.1,0,0,-0.101,,-10.3,-1.8,-12
12,Xavier Grant,6,0,13,18.8,0.886,0.833,0.667,0.667,5,0,16.2,8.7,0,0,0,33.6,23.9,,0,0,0,0.128,,0.2,-4.3,-4.1
13,Levy Renaud,6,0,13,-21,0,0,0,0,0,0,0,0,0,0,0,25,16.1,,-0.1,0,-0.1,-0.207,,-16,-0.7,-16.7
