Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Malachi Smith,34,33,1205,28.5,0.61,0.567,0.295,0.347,658,5.9,16.7,11.4,18.1,2.9,0.4,12.4,27.7,,5.3,2.1,7.5,0.248,,6.8,1.4,8.2
2,David Jean-Baptiste,32,31,1060,17.8,0.56,0.532,0.613,0.168,430,1.6,7.4,4.6,12.8,2.1,0.2,10.5,23.1,,2.8,1.4,4.2,0.158,,2.4,0,2.4
3,Darius Banks,34,33,1085,14.5,0.539,0.493,0.321,0.394,326,6.8,10.8,8.9,14.2,2.5,0.7,18.1,15.4,,1.9,1.6,3.6,0.132,,0,1.6,1.6
4,Silvio De Sousa,27,24,543,30.1,0.601,0.586,0.088,0.319,285,14.4,27.1,20.9,8.9,2.5,6.4,14.4,28,,1.9,1.3,3.2,0.239,,2.7,1.6,4.3
5,A.J. Caldwell,34,15,978,9.8,0.53,0.51,0.777,0.162,193,2.4,10.6,6.6,12.4,1.5,0.9,17.2,10.3,,1.2,1.3,2.4,0.1,,-0.4,1.2,0.8
6,Avery Diggs,34,1,330,23.3,0.644,0.649,0.059,0.436,140,6.8,21,14.1,8.7,1.1,3.3,14.1,22.5,,1,0.6,1.6,0.197,,1,1.3,2.3
7,Grant Ledford,32,1,471,13.2,0.528,0.525,0.718,0.099,142,3.4,12.5,8.1,6.1,1.3,1.5,8.6,18,,0.8,0.6,1.5,0.124,,-0.3,0,-0.3
8,KC Hankton,28,20,465,13.6,0.499,0.496,0.43,0.074,125,6.1,14.9,10.6,7.2,2.9,1.6,11.9,16,,0.6,0.8,1.4,0.12,,-0.2,2.1,1.9
9,Josh Ayeni,34,9,357,13,0.552,0.509,0.132,0.272,134,7.6,21.1,14.5,5.3,1.7,1,20.9,23.8,,0.3,0.6,1,0.112,,-7.9,0.3,-7.6
10,Jamaal Walker,9,0,134,12.9,0.497,0.471,0.314,0.314,38,3.7,9.7,6.8,5.2,2.3,0.9,6.9,16.9,,0.2,0.2,0.4,0.119,,-3.1,-1.3,-4.3
11,Tada Stricklen,21,1,168,4.7,0.232,0.206,0.706,0.294,18,6.6,7.7,7.2,7.2,1.4,0.7,4.9,6.3,,0,0.2,0.2,0.053,,-2.3,1.4,-0.9
12,Jaden Frazier,8,1,17,10.3,0.633,0.667,0,0.667,5,7.3,13.8,10.6,10.4,0,7.1,33.6,18.3,,0,0,0,0.078,,-15.1,1.2,-13.8
13,Ashton Smith,7,1,37,7.3,0.213,0.143,0.286,0.714,7,3.3,9.5,6.5,20.6,3.3,0,0,13.2,,0,0.1,0,0.053,,-17.1,-10,-27.1
