Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Jarron Cumberland,34,34,1097,23.2,0.538,0.482,0.398,0.422,614,4.3,12.6,8.4,25.9,2.2,1.7,13.7,32.3,,3.5,2,5.4,0.199,,6.4,2,8.4
2,Tre Scott,34,34,1034,17.4,0.524,0.494,0.148,0.366,323,9,18.2,13.6,10.1,1.7,2.2,11.2,16.9,,2,2,4,0.156,,2.2,3.9,6.1
3,Nysier Brooks,34,34,782,20.9,0.566,0.531,0,0.74,273,13.9,19.2,16.5,3.6,1,8.4,11.5,17.8,,2,1.7,3.7,0.189,,1.4,5.1,6.5
4,Justin Jenifer,33,33,854,16.2,0.597,0.577,0.618,0.213,266,0.6,7.2,3.9,22.1,1.6,0,9.5,15.2,,2.4,1.1,3.6,0.167,,5.1,-0.1,5
5,Keith Williams,34,31,875,17.1,0.523,0.489,0.261,0.325,317,6.1,8.5,7.3,9,2.7,4.7,13,22.1,,1.5,1.6,3.1,0.141,,1.8,4.2,5.9
6,Cane Broome,34,4,723,15.3,0.505,0.459,0.402,0.332,278,1.8,7.6,4.6,21.8,1.9,0.2,12.8,22.8,,1.4,1,2.4,0.133,,2.3,-0.1,2.1
7,Rashawn Fredericks,34,0,355,11.6,0.453,0.413,0.413,0.25,85,9.3,16.7,13,4.2,1.7,1.9,11.8,14.7,,0.3,0.7,1,0.111,,-0.6,2,1.4
8,Trevor Moore,33,0,395,8.4,0.451,0.439,0.793,0.085,78,4.2,9.8,7,7.9,2.2,0.3,10.5,12.4,,0.3,0.6,0.9,0.096,,1,1.8,2.8
9,Eliel Nsoseme,32,0,354,10.9,0.412,0.405,0,0.865,54,10.4,25,17.6,2,1.4,7.1,17.4,9.2,,0.1,0.8,0.9,0.104,,-3.4,5.8,2.4
10,Logan Johnson,30,0,225,15.7,0.538,0.5,0.245,0.408,70,7.9,12.4,10.1,18.2,3,4.1,24.5,17.7,,0.2,0.5,0.7,0.125,,0.6,5,5.6
11,Mamoudou Diarra,19,0,134,20.1,0.472,0.427,0.049,0.341,46,9.7,24.5,17,9.2,2.3,7.9,7.7,19.8,,0.2,0.3,0.6,0.177,,-0.9,6.2,5.3
12,Sam Martin,6,0,12,30.7,1.01,1,0,0.5,6,0,0,0,55.6,0,0,0,10.6,,0.1,0,0.1,0.355,,7.4,-13.4,-6
13,John Koz,5,0,9,3.2,0.5,0.5,0,0,2,0,27,13.3,0,0,0,33.3,17.1,,0,0,0,-0.012,,-10.9,-2.8,-13.6
