Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,PJ Hall,32,32,945,27,0.586,0.546,0.343,0.341,547,6.9,18.6,13,11.3,1.6,6.1,9.7,31.4,,3.2,1.5,4.7,0.2,,6.5,2.6,9.2
2,Joseph Girard,32,32,1046,19.6,0.639,0.58,0.669,0.337,463,0.9,10.4,5.9,16.1,1.2,0.4,11.5,22.1,,3.4,0.9,4.3,0.165,,6,1,7.1
3,Ian Schieffelin,32,32,864,22.7,0.644,0.616,0.183,0.371,349,12.9,27.2,20.4,15.2,1.3,2.1,14.4,16.7,,2.9,1.4,4.3,0.2,,5.7,2.7,8.4
4,Chase Hunter,32,32,1042,13.2,0.53,0.477,0.403,0.289,391,1.7,6.6,4.3,16.2,1,1,12.7,21.2,,1.6,0.8,2.4,0.09,,1.3,0.4,1.7
5,RJ Godfrey,32,0,491,17.8,0.598,0.6,0.044,0.319,179,7.4,17.6,12.7,9.8,1.8,4.4,16.6,19.8,,0.8,0.7,1.6,0.128,,0.2,3,3.2
6,Jack Clark,21,13,459,12.5,0.481,0.448,0.535,0.209,107,6.1,18.3,12.5,9.6,2.1,2.7,11.3,12.1,,0.5,0.7,1.2,0.101,,1.8,3.9,5.8
7,Chauncey Wiggins,32,18,585,11.1,0.542,0.529,0.497,0.134,174,3.7,10.2,7.1,9.4,0.5,1.8,13.5,17.2,,0.6,0.5,1.1,0.075,,0.9,0.4,1.3
8,Dillon Hunter,32,1,483,7.9,0.451,0.449,0.405,0.228,95,1.8,10.1,6.1,14.4,1.7,0.5,13.8,11,,0.2,0.5,0.7,0.06,,-2.1,2.4,0.3
9,Joshua Beadle,30,0,342,9.1,0.533,0.493,0.284,0.432,96,1.4,8.4,5.1,13.1,1,0.3,18.3,16.6,,0.2,0.3,0.5,0.058,,-2.4,1.1,-1.3
10,Alex Hemenway,5,0,78,11.5,0.568,0.571,0.905,0.19,25,0,4.3,2.2,15.5,1.5,1.5,14.9,18,,0.1,0.1,0.2,0.085,,1.1,0.8,1.8
11,Bas Leyte,20,0,-91,9.2,0.561,0.591,0.273,0.455,19,6.7,13.4,10.2,10.7,0.7,5,23,10,,0.1,0.1,0.2,0.084,,-2.2,3.4,1.3
12,Matt Kelly,4,0,8,2.1,0,0,0,0,0,0,0,0,0,7.4,0,0,6.5,,0,0,0,-0.02,,-7.3,4.6,-2.7
13,Andrew Latiff,4,0,7,-2.7,0.25,0.25,0.75,0,2,17.3,31.6,24.8,0,0,0,20,37.2,,0,0,0,-0.199,,-18.5,-9.4,-27.9
14,Daniel Nauseef,4,0,8,-1.5,0,0,1,0,0,0,41.5,21.7,0,0,0,0,6.5,,0,0,0,-0.021,,-9.4,-0.9,-10.3
