Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1,Jaeden Zackery,G,33,33,1166,16,0.559,0.363,0.301,387,3.5,7.6,5.6,16.1,3.6,0.3,13,17.3,2.3,2.2,4.5,0.154,1.7,4.2,5.9,
2,Chase Hunter,G,33,32,1103,20.3,0.61,0.47,0.302,490,1.8,8.9,5.4,14.8,2.6,1.7,12.8,24.3,3.2,1.9,5.1,0.184,5.4,3,8.4,
3,Ian Schieffelin,F,33,33,1102,22,0.581,0.265,0.339,454,11.3,22.6,17.1,15.2,1.5,2.7,12.7,19.9,3.2,2.3,5.5,0.201,5.8,2.8,8.6,
4,Viktor Lakhin,F,33,32,777,25.5,0.571,0.219,0.305,376,11.2,20.8,16.1,13.6,2.7,7.6,12.8,26,2.2,2,4.1,0.213,4.7,4.5,9.2,
5,Chauncey Wiggins,F,33,25,772,12.3,0.555,0.47,0.148,243,4,11.2,7.7,5.8,0.7,1.1,13.1,19.3,1,1.1,2.1,0.107,1.6,0.6,2.2,
6,Dillon Hunter,G,30,9,-678,12,0.508,0.546,0.277,173,2.4,11,6.8,14.5,2.5,0.7,8.1,13.5,1.1,1.2,2.2,0.133,0.2,3.9,4.1,
7,Jake Heidbreder,G,31,0,430,13,0.578,0.673,0.154,124,3.7,6.1,4.9,9.7,2.4,0,11.1,15.4,0.8,0.7,1.5,0.137,2,2.8,4.9,
8,Del Jones,G,31,0,365,10.3,0.484,0.376,0.145,124,4.4,10.7,7.6,15.1,1,0.6,15.5,21.4,0.2,0.5,0.8,0.085,-0.5,1.1,0.6,
9,Myles Foster,F,27,0,162,18.6,0.601,0.171,0.585,62,14.4,16.1,15.3,3.5,1.5,3.6,16,20.3,0.3,0.3,0.7,0.162,0.7,1,1.8,
10,Christian Reeves,C,28,1,143,16.1,0.57,0,0.667,41,12,23.3,17.8,5.9,2.6,5.8,24,15.3,0.2,0.4,0.5,0.145,-0.2,4.3,4.1,
11,Asa Thomas,F,12,0,28,15.1,0.613,0.8,0.3,12,0,8.5,4.3,13.5,2.2,0,20.8,27.1,0,0,0.1,0.117,3.4,0.8,4.2,
12,Andrew Latiff,G,6,0,7,6.5,,,,0,0,0,0,0,8.8,0,,0,0,0,0,0.106,-6.2,11.4,5.2,
13,Daniel Nauseef,F,7,0,7,3.6,0.256,0,2,1,0,0,0,21.2,0,0,0,14.7,0,0,0,0.021,-1.3,-0.7,-2,
14,Matt Kelly,G,6,0,7,-1.6,0.75,1,0,2,0,34,17.3,0,0,0,50,30.1,0,0,0,-0.087,-10.8,-0.9,-11.7,
15,Jackson Roberts,C,4,0,4,-4.3,0,0,0,1,30.8,0,15.1,0,0,0,0,13.2,0,0,0,-0.036,-9.9,-7.7,-17.6,
,Team Totals,,33,33,6751,,0.568,0.384,0.282,,,,,,,,,,14.5,12.6,27.1,0.16,3,3,6,
