Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Warren Gillis,34,33,1115,18.8,0.573,0.503,0.193,0.464,492,2.1,9.6,5.9,19.9,2.9,0.3,17.7,23.4,,2.4,1.9,4.3,0.153,,0.4,0.4,0.8
2,Elijah Wilson,34,34,1107,17.1,0.514,0.486,0.36,0.265,479,4.1,9.6,6.9,6.1,1.7,0.9,8.1,25.2,,2.2,1.6,3.8,0.138,,-0.5,-1.7,-2.2
3,Badou Diagne,32,15,723,18,0.613,0.591,0.358,0.392,248,8.1,23.1,15.7,7.5,1.2,3.8,19,17.5,,1.3,1.5,2.8,0.156,,-0.9,1.9,1
4,Josh Cameron,34,27,946,15.7,0.524,0.475,0.459,0.377,446,1.3,8.6,5,19.3,2,1,17.2,28,,1.3,1.4,2.7,0.113,,-0.6,-1.4,-2
5,Michel Enanga,34,19,728,12.1,0.49,0.465,0.34,0.507,198,9.9,16.7,13.4,8.6,2.4,2.7,21.9,15.4,,0.3,1.5,1.8,0.099,,-2.7,2.9,0.2
6,El Hadji Ndieguene,32,29,775,10.1,0.474,0.43,0,0.359,168,10.6,20,15.4,4.6,0.8,1.8,20.7,12,,0.3,1.4,1.7,0.089,,-4.6,1.4,-3.2
7,Colton Ray-St Cyr,28,0,342,13.9,0.57,0.568,0.523,0.182,106,3.9,14.2,9.1,13.4,1.7,2.5,19.4,17,,0.4,0.6,1,0.117,,-1.5,0.9,-0.6
8,Uros Ljeskovic,32,3,380,10.1,0.519,0.527,0,0.743,112,14.6,10.5,12.5,1,1.4,1,24.2,17.1,,0.1,0.6,0.7,0.07,,-5,-1.7,-6.7
9,Tristian Curtis,27,3,260,12.2,0.406,0.431,0.078,0.588,64,13.7,19.9,16.8,4.9,0.7,7.1,17.7,15,,0,0.5,0.5,0.075,,-6.1,2.9,-3.1
10,Eric Smith,33,7,382,7.1,0.446,0.406,0.5,0.313,83,1.2,6.5,3.9,10.4,2.1,0.3,17.9,14.4,,0,0.5,0.5,0.054,,-4.5,-0.6,-5.1
11,Ron Trapps,10,0,55,13.9,0.495,0.435,0.696,0.391,26,0,5.9,3,18.9,3.2,2.2,18,29.7,,0,0.1,0.1,0.093,,-1.8,-2.2,-4
12,Kyle Buffkin,13,0,60,-5.4,0.369,0.5,0,0.75,4,1.9,9,5.5,0,0,2.1,35.6,6.9,,-0.1,0.1,0,-0.004,,-9.4,-0.6,-9.9
