Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Braeden Smith,34,34,1026,20.1,0.506,0.461,0.439,0.298,486,1.1,19.1,10.6,36.6,3.8,0.2,16,26.2,,1.7,2.7,4.4,0.17,,0.7,2.3,3
2,Keegan Records,32,31,818,22.2,0.6,0.575,0.079,0.32,346,10.9,17.1,14.2,9.7,1.4,5.3,11.8,21.7,,2.2,1.9,4.1,0.201,,1.1,1,2.1
3,Ryan Moffatt,33,32,980,15.9,0.565,0.547,0.627,0.186,325,4.3,12.3,8.5,10.2,1.9,0.2,6.5,17.8,,2,1.9,3.9,0.161,,1.5,0.5,2
4,Jeff Woodward,34,18,656,18.9,0.61,0.62,0.006,0.582,257,10.8,14.5,12.7,13,1.3,5.6,20.5,20.8,,1.2,1.5,2.7,0.162,,-1.1,1.1,0
5,Jalen Cox,34,14,668,12.1,0.54,0.537,0.244,0.104,164,1.5,13.1,7.6,17,2.3,1.7,17,13.7,,0.6,1.5,2,0.121,,-3,2.1,-0.9
6,Brady Cummins,29,17,609,12.8,0.554,0.547,0.337,0.291,195,2.4,11.3,7.1,9,0.9,0.8,11.3,19.5,,0.7,1.1,1.8,0.117,,-2.2,-1.3,-3.4
7,Parker Jones,31,1,438,17.1,0.61,0.591,0.525,0.162,125,3.7,17.5,11,10.7,2.2,5,13.1,15,,0.7,1.1,1.8,0.167,,0.1,2.6,2.6
8,Chandler Baker,33,1,377,16.7,0.664,0.656,0.696,0.088,133,1,12.2,6.9,5.3,1.3,0.6,13.9,21.5,,0.6,0.7,1.3,0.143,,1.2,-1.4,-0.1
9,Nicolas Louis-Jacques,26,20,530,9.5,0.543,0.517,0.735,0.166,152,1.4,7,4.4,5.1,1.1,1.1,12.4,18.8,,0.4,0.9,1.2,0.094,,-1.8,-0.6,-2.3
10,Sam Thomson,32,1,484,11.5,0.511,0.491,0.027,0.5,140,4.6,15.8,10.5,9.4,1.4,0.7,16.6,18.1,,0.2,1,1.2,0.098,,-3.3,0.1,-3.1
11,Kyle Carlesimo,17,0,110,8.9,0.438,0.435,0.71,0.065,28,2.2,17.9,10.5,9.5,1.6,0,11.1,17.6,,0,0.2,0.2,0.077,,-7.2,-1.1,-8.3
12,Julian Scott,10,0,29,28.2,0.545,0.545,0,0,13,8.5,11.3,10,30.2,8.3,0,8.3,22.2,,0.1,0.1,0.2,0.244,,-2.5,4.2,1.6
13,Cooper Wright,11,0,31,20.3,0.513,0.333,0.333,2,10,20,28.2,24.3,10.2,1.9,3.7,14.6,11.9,,0.1,0.1,0.2,0.216,,-2.9,-0.5,-3.4
14,Sam Wright,11,0,41,23.6,0.505,0.44,0.52,0.48,28,9.1,16,12.7,5.5,1.5,2.8,6.1,42.8,,0.1,0.1,0.2,0.182,,-3.9,-8.4,-12.2
15,Alex Capitano,1,1,2,-14.3,0,0,1,0,0,0,54.6,29,0,0,0,0,26.9,,0,0,0,-0.263,,-21.9,-4.3,-26.3
