Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Joe Chealey,33,33,1182,22.7,0.56,0.466,0.415,0.574,615,2.3,13.5,8,20.7,1.4,0.4,9.3,27.3,,4.2,1.3,5.5,0.186,,3.8,-1.3,2.5
2,Grant Riller,32,31,1070,25.1,0.637,0.617,0.329,0.317,531,1.5,8.1,4.9,14.5,2.3,1.5,10.9,26.4,,3.8,1.3,5.1,0.19,,4.8,-0.9,3.9
3,Jarrell Brantley,23,20,737,24.2,0.588,0.545,0.252,0.303,371,7.1,19.7,13.5,11.8,2.1,2.8,14.4,28.3,,1.9,1.2,3.1,0.17,,1.4,0.9,2.3
4,Cameron Johnson,33,33,1090,12.2,0.566,0.557,0.498,0.266,292,3,9.5,6.3,10.1,1.4,1.3,14,14.8,,1.5,1.1,2.6,0.095,,0.6,0.4,1
5,Nick Harris,32,32,816,14.7,0.57,0.553,0,0.411,209,9.4,21.3,15.5,3,1,5.6,17.2,13.4,,1.1,1.3,2.4,0.116,,-2.7,2.7,0
6,Marquise Pointer,33,2,816,11.7,0.509,0.478,0.497,0.273,207,3.8,10.6,7.3,13,1.9,0.8,13.8,13.9,,0.9,0.9,1.8,0.09,,-0.3,0.5,0.2
7,Jaylen McManus,33,13,497,10,0.482,0.461,0.67,0.272,116,5,15.2,10.2,5,0.5,3.2,8.6,13.8,,0.4,0.6,1,0.081,,-1.8,-0.2,-1.9
8,Evan Bailey,25,1,237,9.2,0.531,0.5,0.8,0.2,59,3.1,11.7,7.5,3.1,1.3,0,11.7,15.5,,0.2,0.2,0.5,0.077,,-1.2,-2.5,-3.7
9,Osinachi Smart,20,0,168,11.7,0.47,0.421,0,0.842,35,12.6,21.4,17.1,3,1.8,4.1,13.1,9.8,,0.2,0.3,0.5,0.118,,-3.1,2.2,-0.9
10,Jermaine Blackmon Jr.,3,0,3,-31.6,0,0,0.5,0,0,0,0,0,0,0,0,0,35.9,,0,0,0,-0.502,,-27.5,-11.1,-38.5
11,Brevin Galloway,7,0,30,0.9,0.25,0.25,1,0,3,0,24,12.2,5.6,0,0,0,10.8,,0,0,0,0.002,,-6.1,-2.1,-8.2
12,Samba Ndiaye,20,0,76,3,0.271,0.273,0,0.364,14,18,22.1,20.1,0,0,7.5,31.7,13.4,,-0.1,0.1,0,0.003,,-10.7,-0.8,-11.5
13,Trent Robinson,2,0,3,2.4,0.288,0.333,0.333,0.333,2,0,40,20.4,0,0,0,0,62.4,,0,0,0,-0.262,,-25.8,-20.2,-46
