Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Josh Scott,26,25,802,29.4,0.603,0.546,0.017,0.64,367,13.2,18.5,15.9,8.5,1.4,6.6,7.1,21.6,,3.5,1.2,4.6,0.232,,5.8,3.7,9.5
2,Askia Booker,31,28,936,22.2,0.51,0.449,0.374,0.351,506,1.9,10.7,6.4,26.2,2.9,0.2,11.8,32.6,,2.5,1.1,3.6,0.152,,5.2,-0.3,4.9
3,Wesley Gordon,34,31,894,18.3,0.592,0.563,0.093,0.556,249,11.6,18.7,15.2,9,0.9,6.1,17.3,13.3,,1.8,1.2,3,0.134,,2.3,4.7,7
4,Xavier Johnson,29,15,706,17.2,0.534,0.506,0.335,0.394,274,7.7,18.8,13.4,6.1,1.5,1.5,15.7,24.3,,1,0.9,1.9,0.108,,0.9,-0.3,0.6
5,Tre'Shaun Fletcher,34,17,622,12,0.558,0.531,0.336,0.294,179,5.3,10.7,8.1,11.3,1.1,0.6,20.5,17,,0.7,0.5,1.2,0.076,,0.8,0,0.8
6,Jaron Hopkins,32,17,670,12.1,0.526,0.52,0.255,0.34,184,3.9,14.5,9.3,13.1,2.9,0.7,23.6,17.9,,0.2,0.9,1.1,0.065,,-0.4,2.3,1.9
7,Dustin Thomas,32,11,535,10.4,0.518,0.473,0.173,0.482,144,5.8,11.3,8.6,10.9,1.4,1.7,20.1,16.3,,0.4,0.5,0.9,0.071,,-0.5,1.2,0.7
8,Dominique Collier,30,10,579,7.2,0.441,0.41,0.482,0.331,146,1.8,8.1,5,15,1.9,1,19.1,17.7,,0,0.5,0.5,0.033,,-1.3,0.2,-1.1
9,Tory Miller,30,1,258,12.4,0.535,0.47,0,0.545,86,9.2,19.9,14.7,3.3,0.9,2.2,23.1,21.6,,0.1,0.3,0.5,0.07,,-3.9,-0.7,-4.6
10,Xavier Talton,34,15,763,5.1,0.43,0.386,0.53,0.275,152,0.6,8.1,4.4,13.4,1.6,0.5,22.2,14.7,,-0.3,0.6,0.3,0.017,,-2,0.3,-1.7
11,Eli Stalzer,19,0,113,9.3,0.475,0.481,0.667,0.111,25,2.1,9.1,5.7,8.8,2.7,1,17.4,15.7,,0,0.1,0.1,0.048,,-0.5,0.5,0
12,Geoffrey Bates,5,0,3,-5.8,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.008,,-3.5,1,-2.5
13,Brett Brady,6,0,14,-2.7,0,0,1,0,0,0,0,0,12.1,0,0,0,3.7,,0,0,0,-0.019,,-4.9,-3.5,-8.4
14,Josh Repine,4,0,4,-4.4,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.007,,-3.5,1,-2.5
