Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,David Roddy,30,30,983,31,0.649,0.634,0.262,0.392,561,7.5,21.1,14.7,19.7,2.2,4.3,13.5,29.2,,4.4,1.8,6.2,0.253,,9.1,2.5,11.6
2,Isaiah Stevens,30,30,1047,20.9,0.573,0.526,0.317,0.265,475,1.4,9.5,5.7,27.1,2.1,0.5,11.7,23.4,,3.3,1.3,4.6,0.176,,4.3,0.7,5
3,John Tonje,29,11,739,15.5,0.615,0.565,0.457,0.424,249,3.1,11.5,7.5,6.3,1,1,12.3,18.9,,1.7,0.8,2.5,0.134,,2.2,-0.3,1.9
4,Chandler Jacobs,30,7,602,13.8,0.54,0.489,0.441,0.316,168,4.2,20.9,13,6.5,2.3,2.6,14.7,16.9,,0.7,1.1,1.8,0.117,,0,1.9,1.9
5,Kendle Moore,28,28,697,12.4,0.552,0.536,0.582,0.124,182,1.5,11.2,6.6,13,2.5,0.2,14.7,15.1,,0.8,1,1.8,0.103,,0.6,2,2.6
6,Dischon Thomas,30,28,475,16.4,0.542,0.489,0.481,0.298,177,8.5,16.4,12.7,11.9,1.5,3.3,14.3,20.4,,1,0.7,1.7,0.141,,1.9,0.9,2.8
7,James Moors,30,0,374,19.6,0.668,0.68,0.027,0.48,129,8.9,15.4,12.4,11.8,1.3,3.8,16.3,16.3,,1.1,0.5,1.6,0.174,,2.7,1.7,4.4
8,Isaiah Rivera,30,0,370,13.6,0.607,0.589,0.356,0.411,98,1.8,13.6,8,7.2,2.3,2.4,15.5,15.5,,0.5,0.6,1.1,0.119,,-0.1,2.1,2
9,Jalen Lake,30,0,416,9.6,0.481,0.467,0.626,0.084,97,0.6,8.9,5,6,1.8,2.5,9,16.3,,0.1,0.5,0.7,0.064,,-0.6,0.4,-0.2
10,Adam Thistlewood,23,16,298,9.7,0.519,0.509,0.717,0.113,61,2.7,14.5,8.9,8.6,1.2,0.4,9.7,11.5,,0.3,0.4,0.7,0.091,,-0.9,0.1,-0.8
11,Nick Bassett,4,0,4,-11.9,0,0,1,0,0,0,0,0,0,0,0,0,13.8,,0,0,0,-0.188,,-1.3,-2.1,-3.4
12,Baylor Hebb,11,0,35,-1,0.5,0.5,0,0,6,0,3.4,1.8,10,0,0,40,15.8,,-0.1,0,0,-0.055,,-7.6,-3.2,-10.8
13,Jacob Jennissen,5,0,6,-8.1,0,0,1,0,0,0,20,10.5,0,0,0,0,9.2,,0,0,0,-0.089,,-18,-5.6,-23.6
14,Trace Young,4,0,4,0,,,,,0,0,0,0,0,0,0,,0,,0,0,0,0.016,,-2.8,-1.6,-4.4
