Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Nique Clifford,G,34,34,1199,25.4,0.614,0.369,0.358,644.0,5.4,26.6,16.8,26.6,2.1,1.9,14.6,27.7,3.9,2.8,6.7,0.222,7.4,3.8,11.3,
2.0,Jalen Lake,G,34,34,1054,12.7,0.543,0.566,0.154,349.0,1.4,9.1,5.5,12.5,1.0,1.2,10.3,19.8,1.3,1.5,2.9,0.108,2.2,0.9,3.1,
3.0,Kyan Evans,G,34,34,944,14.7,0.637,0.608,0.321,351.0,2.4,9.8,6.4,20.9,1.7,0.4,20.2,19.5,1.8,1.5,3.3,0.141,2.5,1.6,4.1,
4.0,Ethan Morton,G,33,9,786,11.6,0.554,0.165,0.505,171.0,5.7,10.1,8.0,16.1,2.4,1.5,16.3,9.2,1.2,1.4,2.6,0.132,0.5,4.1,4.6,
5.0,Jaylen Crocker-Johnson,F,34,27,715,17.9,0.612,0.41,0.377,282.0,7.5,16.4,12.3,7.7,0.7,4.1,11.7,21.3,1.7,1.3,3.0,0.167,2.7,1.7,4.5,
6.0,Rashaan Mbemba,G,30,27,579,15.7,0.638,0.07,0.643,214.0,9.8,12.5,11.2,8.6,1.5,2.4,20.0,19.5,1.1,1.0,2.1,0.148,0.3,2.1,2.5,
7.0,Bowen Born,G,34,0,508,11.9,0.529,0.643,0.203,172.0,2.3,7.6,5.1,18.3,2.1,0.0,13.8,19.2,0.7,0.8,1.5,0.115,0.1,1.9,2.0,
8.0,Keshawn Williams,G,34,0,481,12.9,0.583,0.355,0.199,157.0,2.5,10.8,7.0,9.8,0.9,0.2,13.0,19.8,0.6,0.7,1.3,0.107,0.7,0.6,1.3,
9.0,Kyle Jorgensen,F,32,4,433,12.0,0.535,0.4,0.291,136.0,4.6,12.5,8.8,12.3,1.3,2.7,14.9,18.3,0.5,0.7,1.2,0.112,0.0,2.0,2.0,
10.0,Nikola Djapa,F,20,1,150,12.2,0.73,0.241,0.379,45.0,6.1,18.8,13.0,7.7,0.8,1.6,26.0,16.6,0.2,0.3,0.5,0.131,-3.6,2.8,-0.8,
11.0,Luke Murphy,G,8,0,14,-8.7,0.0,0.75,0.0,2.0,0.0,8.1,4.3,32.7,0.0,0.0,20.0,19.2,-0.1,0.0,-0.1,-0.16,-13.7,-4.2,-17.9,
12.0,Jaden Steppe,F,7,0,12,14.6,0.583,0.5,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,14.3,31.4,0.0,0.0,0.0,0.058,-3.7,1.6,-2.1,
,Team Totals,,34,34,6875,,0.592,0.428,0.318,,,,,,,,,,12.9,12.1,25.0,0.145,2.3,2.2,4.5,
