Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,R.J. Cole,32,32,1069,19.5,0.534,0.482,0.408,0.299,498,2.4,9.2,5.8,24.8,2,0.2,11.5,24.6,,3.4,1.6,5,0.186,,4.7,2,6.7
2,Tyrese Martin,28,28,891,19.9,0.541,0.518,0.306,0.274,367,8.2,18.1,13.2,11.9,1.5,1.6,12.6,22.5,,2.2,1.6,3.9,0.174,,5,2.1,7.1
3,Adama Sanogo,28,27,813,24.7,0.531,0.506,0.003,0.289,395,14,19.6,16.8,7.2,1.6,7.1,14.5,28,,1.8,1.8,3.7,0.18,,2.7,2.1,4.7
4,Isaiah Whaley,31,30,878,17.3,0.576,0.55,0.282,0.276,240,8.8,9.9,9.4,7.2,1.7,8,15.3,13.6,,1.7,1.7,3.3,0.151,,3.1,4.5,7.5
5,Andre Jackson,32,31,934,14.3,0.519,0.483,0.333,0.339,252,5.2,21.1,13.2,18.2,2.4,2.2,24,14.6,,0.9,2,3,0.128,,1.2,4.5,5.7
6,Tyler Polley,32,1,648,15.1,0.555,0.5,0.708,0.297,216,5.1,4.1,4.6,3.7,1.3,1.5,5.2,17.7,,1.9,0.8,2.6,0.162,,3.5,1,4.6
7,Jalen Gaffney,32,0,415,14.1,0.496,0.414,0.41,0.543,149,1.9,10.9,6.4,27.1,2.4,0.8,19,19.5,,0.7,0.7,1.4,0.134,,-0.4,2.3,1.9
8,Akok Akok,22,7,317,17.7,0.546,0.573,0.452,0.29,76,8.7,16.6,12.7,4.5,0.9,8.3,4.1,11.5,,0.7,0.6,1.3,0.164,,3.5,3.3,6.8
9,Jordan Hawkins,27,4,300,12.4,0.498,0.45,0.583,0.281,141,3.3,11.3,7.3,6.6,1.3,2.4,14.2,22.8,,0.5,0.6,1.1,0.11,,0.8,0.7,1.5
10,Samson Johnson,13,0,68,15.6,0.58,0.583,0.278,0.111,20,13,9.7,11.4,0,0.9,4.6,9.5,15.3,,0.2,0.1,0.3,0.154,,-2.7,0.6,-2.1
11,Richie Springs,8,0,28,19.1,0.508,0.429,0,0.857,11,19.7,15.7,17.7,6.5,0,0,9.2,19.2,,0.1,0,0.1,0.18,,0.7,-1.8,-1.1
12,Matt Garry,5,0,9,-3.7,0.256,0,0,2,2,0,24.4,12.3,16.9,6.6,0,33.9,32.4,,-0.1,0,0,-0.145,,-15.7,2.2,-13.4
13,Andrew Hurley,6,0,11,-7,0,0,1,0,0,0,20,10,0,0,0,0,9,,0,0,0,-0.053,,-12.3,-0.6,-12.9
14,Rahsool Diggins,9,0,46,-4.4,0.35,0.35,0.3,0,7,0,0,0,11,1.3,2.3,37.5,17.2,,-0.1,0.1,-0.1,-0.074,,-10.3,-1.6,-11.8
