Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Alex Karaban,F,31,31,1110,19.0,0.573,0.529,0.27,434.0,6.0,12.0,9.1,14.8,0.9,5.0,9.1,20.4,3.2,1.3,4.5,0.163,5.9,1.7,7.6,
2.0,Solomon Ball,G,33,33,1050,18.3,0.606,0.625,0.225,411.0,2.7,10.9,7.0,9.8,1.4,1.3,7.2,21.6,3.2,1.1,4.3,0.162,5.7,0.9,6.6,
3.0,Hassan Diarra,G,33,26,913,18.0,0.544,0.374,0.384,358.0,5.9,10.0,8.0,36.0,3.5,1.4,22.8,18.0,2.1,1.3,3.5,0.152,3.6,2.9,6.5,
4.0,Liam McNeeley,F,25,24,799,16.4,0.539,0.459,0.409,342.0,4.1,19.2,12.0,13.2,1.0,0.9,12.7,25.5,1.7,1.0,2.7,0.134,2.7,0.6,3.3,
5.0,Tarris Reed Jr.,F,33,1,661,30.6,0.679,0.0,0.519,308.0,17.6,27.4,22.7,10.7,2.1,9.5,14.2,22.0,2.6,1.5,4.1,0.246,5.9,3.9,9.8,
6.0,Samson Johnson,F,32,32,614,22.7,0.774,0.0,0.344,207.0,8.5,12.5,10.6,10.2,2.2,8.9,18.7,16.1,1.8,1.0,2.8,0.184,3.3,5.0,8.3,
7.0,Jaylin Stewart,F,33,12,590,13.2,0.639,0.488,0.189,166.0,6.4,10.6,8.6,9.7,0.4,1.9,15.3,14.7,1.2,0.5,1.7,0.113,2.2,0.7,2.9,
8.0,Aidan Mahaney,G,32,5,399,10.5,0.499,0.473,0.229,143.0,0.7,6.9,3.9,19.6,1.1,0.0,11.6,21.8,0.6,0.3,0.9,0.09,-1.4,-0.3,-1.7,
9.0,Jayden Ross,F,32,1,375,9.7,0.476,0.57,0.076,83.0,3.1,12.8,8.2,12.2,1.5,4.0,11.8,13.1,0.3,0.5,0.8,0.085,-0.9,2.6,1.7,
10.0,Ahmad Nowell,G,18,0,115,12.2,0.431,0.571,0.25,39.0,7.9,10.4,9.2,29.5,2.2,3.0,22.3,18.6,0.1,0.1,0.2,0.082,-0.2,1.6,1.4,
11.0,Youssouf Singare,C,16,0,42,12.5,0.75,0.0,0.0,7.0,9.3,25.7,17.9,3.9,3.0,8.1,33.3,7.6,0.0,0.1,0.1,0.125,-3.6,5.6,2.0,
12.0,Isaiah Abraham,F,9,0,32,13.6,0.61,0.636,0.091,11.0,8.2,11.3,9.8,0.0,1.9,0.0,14.8,22.3,0.0,0.0,0.1,0.105,-1.6,-0.7,-2.3,
,Team Totals,,33,33,6700,,0.591,0.426,0.306,,,,,,,,,,16.8,8.8,25.6,0.153,3.6,2.0,5.6,
