Rk,Player,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/40,,OBPM,DBPM,BPM
1,Marcus Zegarowski,26,26,864,20.9,0.597,0.575,0.556,0.216,400,1.2,10.7,6.2,24.1,2.2,0.1,13.6,23.2,,2.7,1.2,3.9,0.181,,5.9,2.1,7.9
2,Damien Jefferson,28,28,855,19.7,0.597,0.593,0.336,0.32,343,6.4,13.4,10.1,14.4,2.3,1,15.5,20.2,,2.2,1.4,3.5,0.164,,4.6,2.4,7
3,Christian Bishop,28,28,640,24.5,0.66,0.675,0.022,0.536,280,7.2,20.8,14.4,10.4,1.7,5.1,16.7,22.1,,1.9,1.3,3.2,0.203,,3.5,3.6,7.1
4,Mitchell Ballock,28,28,935,13.8,0.601,0.603,0.786,0.074,263,0.3,9.4,5.1,12.4,1.5,0.7,11.9,14.8,,1.7,1.1,2.8,0.121,,4,2,5.9
5,Denzel Mahoney,27,27,829,14.3,0.489,0.455,0.576,0.249,318,2.3,12.3,7.6,9.7,2.7,0.3,9.9,23.8,,0.9,1.3,2.3,0.11,,1.3,1.7,2.9
6,Ryan Kalkbrenner,28,0,395,27.2,0.65,0.669,0.017,0.364,169,13.2,15.9,14.6,5,0.6,10.4,9.8,20,,1.5,0.7,2.2,0.222,,4.7,2.9,7.6
7,Shereef Mitchell,27,2,388,12.3,0.553,0.514,0.437,0.282,104,1.2,9.7,5.7,18.5,3.3,0.3,20.7,13.4,,0.5,0.6,1.2,0.119,,-0.7,3.9,3.2
8,Antwann Jones,28,1,321,13.7,0.48,0.444,0.411,0.333,118,5.2,17,11.4,20.3,1.3,2,16.8,20,,0.4,0.5,0.9,0.115,,0.4,2.1,2.6
9,Alex O'Connell,21,0,221,14.5,0.472,0.463,0.494,0.099,78,5.4,19,12.6,8.8,2.3,0,8.6,21.6,,0.2,0.4,0.6,0.113,,1.8,2,3.8
10,Jacob Epperson,14,0,65,16.9,0.39,0.389,0.333,0.444,22,9.1,27.4,18.8,15.1,0.9,11.7,12.1,19.6,,0,0.2,0.2,0.117,,-0.4,3.8,3.5
11,Andrew Merfeld,4,0,10,7.3,0.5,0.5,0.5,0,2,0,10.5,5.6,0,0,0,0,10.3,,0,0,0,0.057,,-2.4,-0.1,-2.4
12,Sami Osmani,8,0,21,7.9,0.375,0.375,0.375,0,6,5.6,10,7.9,0,2.7,0,0,19.6,,0,0,0,0.05,,-7.9,-0.2,-8.1
13,Nic Zeil,9,0,25,8,0.678,0.625,0.5,1,9,14.2,29.4,22.2,0,2.3,0,45.9,22.4,,0,0.1,0,0.062,,-9.3,0.2,-9.1
14,Jett Canfield,12,0,66,-2,0.333,0.333,0.667,0,3,0,0,0,6.6,1.7,0,66.7,7,,-0.1,0.1,-0.1,-0.049,,-5.1,0.5,-4.6
15,Devin Davis,7,0,15,-6.9,0.167,0.167,0.5,0,2,0,0,0,10.4,3.8,0,14.3,24,,-0.1,0,-0.1,-0.166,,-12.9,-1.8,-14.7
