Rk,Player,Pos,G,GS,MP,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards
1.0,Steven Ashworth,G,33,33,1182,17.0,0.57,0.674,0.295,596.0,1.2,10.7,6.4,35.9,1.2,0.2,19.6,26.0,2.6,1.5,4.1,0.14,4.5,0.7,5.1,
2.0,Jamiya Neal,F,34,34,1156,13.9,0.512,0.415,0.21,428.0,2.7,15.9,10.0,24.1,1.6,1.6,17.7,21.0,1.0,2.0,3.0,0.104,0.8,3.5,4.3,
3.0,Ryan Kalkbrenner,C,33,33,1129,29.9,0.685,0.145,0.391,559.0,9.0,18.7,14.4,10.2,1.0,7.5,9.0,23.8,4.6,2.3,6.9,0.245,8.0,4.5,12.5,
4.0,Jackson McAndrew,F,34,29,722,13.2,0.537,0.796,0.142,233.0,7.0,15.8,11.9,3.8,1.1,0.5,8.7,19.2,0.9,1.1,2.0,0.11,2.1,1.3,3.4,
5.0,Jasen Green,F,34,23,679,12.7,0.631,0.382,0.382,168.0,6.1,10.7,8.7,8.7,1.0,2.2,18.2,12.3,1.0,1.0,1.9,0.112,2.1,3.1,5.2,
6.0,Isaac Traudt,F,34,4,556,12.1,0.612,0.778,0.135,146.0,4.5,10.5,7.9,4.7,0.6,0.3,6.9,13.6,1.0,0.7,1.7,0.12,2.4,1.7,4.0,
7.0,Mason Miller,F,31,4,376,3.0,0.338,0.891,0.261,49.0,4.7,9.9,7.6,6.2,0.6,0.3,17.5,8.7,-0.1,0.4,0.3,0.031,-2.7,1.7,-1.0,
8.0,Pop Isaacs,G,8,8,253,17.5,0.571,0.6,0.29,125.0,1.5,13.9,8.4,24.2,0.9,0.4,16.8,28.4,0.4,0.4,0.8,0.126,5.0,2.3,7.3,
9.0,Fedor Å½ugiÄ,G,20,0,228,13.6,0.607,0.627,0.424,77.0,1.7,13.3,8.1,9.6,1.0,1.7,17.5,19.8,0.3,0.3,0.6,0.107,1.3,2.4,3.7,
10.0,Fredrick King,C,34,1,212,22.4,0.677,0.0,0.393,83.0,11.3,12.4,11.9,4.0,1.1,6.7,14.2,20.9,0.5,0.4,0.9,0.169,2.0,3.1,5.1,
11.0,Ty Davis,G,27,1,198,3.5,0.443,0.316,0.895,35.0,0.6,11.7,6.8,17.5,1.2,0.0,37.1,11.4,-0.1,0.3,0.1,0.026,-5.8,2.7,-3.1,
12.0,Shane Thomas,G,23,0,100,2.3,0.528,0.111,0.111,11.0,2.5,8.1,5.6,6.5,0.0,0.9,34.5,7.6,0.0,0.1,0.1,0.024,-5.2,1.6,-3.6,
13.0,Sterling Knox,G,4,0,24,9.1,0.6,0.0,0.0,8.0,5.2,21.0,14.0,0.0,0.0,0.0,28.6,30.6,-0.1,0.0,0.0,-0.027,-8.5,-0.1,-8.6,
14.0,Josh Townley-Thomas,F,9,0,17,5.8,0.333,0.333,0.0,4.0,7.4,5.9,6.6,0.0,3.5,0.0,0.0,18.5,0.0,0.0,0.0,0.027,-6.6,0.8,-5.7,
15.0,Sami Osmani,G,9,0,17,-0.2,0.252,0.0,0.4,4.0,0.0,17.8,9.9,19.3,0.0,0.0,14.4,21.4,0.0,0.0,0.0,-0.059,-11.3,-1.2,-12.4,
,Team Totals,,34,34,6849,,0.583,0.49,0.285,,,,,,,,,,11.8,10.5,22.3,0.131,2.7,2.5,5.1,
